"","date","ONTO"
"1","2019-10-28",35.330002
"2","2019-10-29",35.330002
"3","2019-10-30",32.52
"4","2019-10-31",32.200001
"5","2019-11-01",32.93
"6","2019-11-04",32.950001
"7","2019-11-05",33.860001
"8","2019-11-06",33.709999
"9","2019-11-07",35.07
"10","2019-11-08",34.82
"11","2019-11-11",34.389999
"12","2019-11-12",34.700001
"13","2019-11-13",34.27
"14","2019-11-14",34.330002
"15","2019-11-15",35.34
"16","2019-11-18",35.549999
"17","2019-11-19",35.099998
"18","2019-11-20",34.68
"19","2019-11-21",33.799999
"20","2019-11-22",32.700001
"21","2019-11-25",33.689999
"22","2019-11-26",33.700001
"23","2019-11-27",33.580002
"24","2019-11-29",33.560001
"25","2019-12-02",32.130001
"26","2019-12-03",31.99
"27","2019-12-04",32.07
"28","2019-12-05",31.969999
"29","2019-12-06",33.049999
"30","2019-12-09",32.439999
"31","2019-12-10",32.91
"32","2019-12-11",33.529999
"33","2019-12-12",34.25
"34","2019-12-13",34.669998
"35","2019-12-16",34.549999
"36","2019-12-17",34.970001
"37","2019-12-18",35.130001
"38","2019-12-19",35.439999
"39","2019-12-20",36.25
"40","2019-12-23",36.779999
"41","2019-12-24",36.419998
"42","2019-12-26",36.290001
"43","2019-12-27",36.310001
"44","2019-12-30",36.419998
"45","2019-12-31",36.540001
"46","2020-01-02",37.029999
"47","2020-01-03",36.509998
"48","2020-01-06",35.939999
"49","2020-01-07",36.150002
"50","2020-01-08",36.759998
"51","2020-01-09",36.639999
"52","2020-01-10",36.48
"53","2020-01-13",36.540001
"54","2020-01-14",38.080002
"55","2020-01-15",37.93
"56","2020-01-16",40.130001
"57","2020-01-17",40.150002
"58","2020-01-21",39.5
"59","2020-01-22",38.959999
"60","2020-01-23",39.259998
"61","2020-01-24",38.549999
"62","2020-01-27",38.02
"63","2020-01-28",38.630001
"64","2020-01-29",37.939999
"65","2020-01-30",38.25
"66","2020-01-31",37.939999
"67","2020-02-03",38.240002
"68","2020-02-04",39.98
"69","2020-02-05",41.080002
"70","2020-02-06",41.470001
"71","2020-02-07",38.450001
"72","2020-02-10",37.799999
"73","2020-02-11",38.709999
"74","2020-02-12",39.049999
"75","2020-02-13",39.27
"76","2020-02-14",39.630001
"77","2020-02-18",38.700001
"78","2020-02-19",38.509998
"79","2020-02-20",38.18
"80","2020-02-21",37.18
"81","2020-02-24",34.880001
"82","2020-02-25",33.259998
"83","2020-02-26",33.16
"84","2020-02-27",31.309999
"85","2020-02-28",30.57
"86","2020-03-02",31.73
"87","2020-03-03",31.24
"88","2020-03-04",32.939999
"89","2020-03-05",32.549999
"90","2020-03-06",31.540001
"91","2020-03-09",28.43
"92","2020-03-10",29.34
"93","2020-03-11",27.16
"94","2020-03-12",24.77
"95","2020-03-13",27.98
"96","2020-03-16",25.43
"97","2020-03-17",28.33
"98","2020-03-18",20.82
"99","2020-03-19",21.540001
"100","2020-03-20",21.530001
"101","2020-03-23",24.040001
"102","2020-03-24",27.940001
"103","2020-03-25",29.48
"104","2020-03-26",30.5
"105","2020-03-27",28.52
"106","2020-03-30",29.83
"107","2020-03-31",29.67
"108","2020-04-01",28.66
"109","2020-04-02",27.91
"110","2020-04-03",27.9
"111","2020-04-06",30.49
"112","2020-04-07",31.129999
"113","2020-04-08",32
