"","date","XLRN"
"1","2013-09-19",19.99
"2","2013-09-20",20.99
"3","2013-09-23",20.030001
"4","2013-09-24",21.700001
"5","2013-09-25",22.57
"6","2013-09-26",22.139999
"7","2013-09-27",22.92
"8","2013-09-30",22.23
"9","2013-10-01",22.5
"10","2013-10-02",23.49
"11","2013-10-03",25.790001
"12","2013-10-04",25.889999
"13","2013-10-07",25.9
"14","2013-10-08",23.200001
"15","2013-10-09",19.98
"16","2013-10-10",20.629999
"17","2013-10-11",22.120001
"18","2013-10-14",21.280001
"19","2013-10-15",22.129999
"20","2013-10-16",22.620001
"21","2013-10-17",22.049999
"22","2013-10-18",22.799999
"23","2013-10-21",22.370001
"24","2013-10-22",22.75
"25","2013-10-23",23.059999
"26","2013-10-24",23.25
"27","2013-10-25",22.85
"28","2013-10-28",23.76
"29","2013-10-29",22.74
"30","2013-10-30",22.85
"31","2013-10-31",22.540001
"32","2013-11-01",21.24
"33","2013-11-04",20.280001
"34","2013-11-05",21.459999
"35","2013-11-06",19.530001
"36","2013-11-07",17.4
"37","2013-11-08",18.5
"38","2013-11-11",19.030001
"39","2013-11-12",19.01
"40","2013-11-13",19.459999
"41","2013-11-14",19.290001
"42","2013-11-15",19.709999
"43","2013-11-18",19.469999
"44","2013-11-19",19.77
"45","2013-11-20",19.76
"46","2013-11-21",20.52
"47","2013-11-22",21.07
"48","2013-11-25",21.24
"49","2013-11-26",21.450001
"50","2013-11-27",21.68
"51","2013-11-29",21.77
"52","2013-12-02",22.09
"53","2013-12-03",23.280001
"54","2013-12-04",24.08
"55","2013-12-05",24.110001
"56","2013-12-06",25.99
"57","2013-12-09",27.24
"58","2013-12-10",29.92
"59","2013-12-11",28.07
"60","2013-12-12",29.219999
"61","2013-12-13",29.190001
"62","2013-12-16",28.719999
"63","2013-12-17",27.620001
"64","2013-12-18",27.209999
"65","2013-12-19",28.74
"66","2013-12-20",30
"67","2013-12-23",32.970001
"68","2013-12-24",32.75
"69","2013-12-26",35.139999
"70","2013-12-27",35.25
"71","2013-12-30",35.259998
"72","2013-12-31",39.599998
"73","2014-01-02",38.110001
"74","2014-01-03",39.009998
"75","2014-01-06",40.939999
"76","2014-01-07",41.669998
"77","2014-01-08",41.259998
"78","2014-01-09",48.990002
"79","2014-01-10",47.150002
"80","2014-01-13",46.310001
"81","2014-01-14",48.52
"82","2014-01-15",48.73
"83","2014-01-16",47.419998
"84","2014-01-17",49.139999
"85","2014-01-21",51.66
