"","date","SFL"
"1","2007-01-03",23.41
"2","2007-01-04",22.98
"3","2007-01-05",22.639999
"4","2007-01-08",22.549999
"5","2007-01-09",22.35
"6","2007-01-10",22.26
"7","2007-01-11",22.24
"8","2007-01-12",22.860001
"9","2007-01-16",22.799999
"10","2007-01-17",23.030001
"11","2007-01-18",23.16
"12","2007-01-19",23.379999
"13","2007-01-22",23.379999
"14","2007-01-23",23.860001
"15","2007-01-24",23.639999
"16","2007-01-25",23.709999
"17","2007-01-26",23.459999
"18","2007-01-29",23.549999
"19","2007-01-30",23.790001
"20","2007-01-31",23.73
"21","2007-02-01",23.860001
"22","2007-02-02",24.35
"23","2007-02-05",24.41
"24","2007-02-06",24.33
"25","2007-02-07",24.5
"26","2007-02-08",24.6
"27","2007-02-09",24.620001
"28","2007-02-12",24.440001
"29","2007-02-13",24.74
"30","2007-02-14",25.1
"31","2007-02-15",25.139999
"32","2007-02-16",25.52
"33","2007-02-20",25.99
"34","2007-02-21",25.959999
"35","2007-02-22",26.1
"36","2007-02-23",26
"37","2007-02-26",25.34
"38","2007-02-27",24.790001
"39","2007-02-28",26
"40","2007-03-01",25.629999
"41","2007-03-02",25.690001
"42","2007-03-05",25.15
"43","2007-03-06",26.09
"44","2007-03-07",26.74
"45","2007-03-08",26.860001
"46","2007-03-09",27.48
"47","2007-03-12",27.9
"48","2007-03-13",27.200001
"49","2007-03-14",26.83
"50","2007-03-15",26.790001
"51","2007-03-16",26.73
"52","2007-03-19",26.559999
"53","2007-03-20",26.790001
"54","2007-03-21",27.040001
"55","2007-03-22",27.25
"56","2007-03-23",27.280001
"57","2007-03-26",27.610001
"58","2007-03-27",27.379999
"59","2007-03-28",27.4
"60","2007-03-29",27.799999
"61","2007-03-30",27.43
"62","2007-04-02",27.629999
"63","2007-04-03",27.440001
"64","2007-04-04",27.700001
"65","2007-04-05",27.860001
"66","2007-04-09",28.389999
"67","2007-04-10",28.209999
"68","2007-04-11",28.25
"69","2007-04-12",28.559999
"70","2007-04-13",27.98
"71","2007-04-16",28.25
"72","2007-04-17",28
"73","2007-04-18",28.9
"74","2007-04-19",28.33
"75","2007-04-20",28.77
"76","2007-04-23",29.299999
"77","2007-04-24",29.450001
"78","2007-04-25",29.940001
"79","2007-04-26",29.6
"80","2007-04-27",29.83
"81","2007-04-30",29.74
"82","2007-05-01",29.65
"83","2007-05-02",29.290001
"84","2007-05-03",29.530001
"85","2007-05-04",29.77
"86","2007-05-07",30.17
"87","2007-05-08",30.52
