"","date","LOB"
"1","2015-07-23",19.07
"2","2015-07-24",19.26
"3","2015-07-27",19.5
"4","2015-07-28",19.799999
"5","2015-07-29",20.540001
"6","2015-07-30",20.15
"7","2015-07-31",20.16
"8","2015-08-03",20.17
"9","2015-08-04",20.360001
"10","2015-08-05",20.65
"11","2015-08-06",20.610001
"12","2015-08-07",20.209999
"13","2015-08-10",19.99
"14","2015-08-11",20.139999
"15","2015-08-12",20.09
"16","2015-08-13",19.92
"17","2015-08-14",19.219999
"18","2015-08-17",19.52
"19","2015-08-18",19.82
"20","2015-08-19",19.85
"21","2015-08-20",19.52
"22","2015-08-21",19.110001
"23","2015-08-24",18.620001
"24","2015-08-25",19.15
"25","2015-08-26",19.68
"26","2015-08-27",19.5
"27","2015-08-28",19.360001
"28","2015-08-31",19.27
"29","2015-09-01",19.27
"30","2015-09-02",19.25
"31","2015-09-03",19.360001
"32","2015-09-04",18.780001
"33","2015-09-08",19.459999
"34","2015-09-09",18.9
"35","2015-09-10",19.08
"36","2015-09-11",19.139999
"37","2015-09-14",19.42
"38","2015-09-15",19.700001
"39","2015-09-16",19.709999
"40","2015-09-17",19.700001
"41","2015-09-18",19.51
"42","2015-09-21",19.77
"43","2015-09-22",19.92
"44","2015-09-23",19.889999
"45","2015-09-24",20.09
"46","2015-09-25",19.799999
"47","2015-09-28",19.969999
"48","2015-09-29",20.01
"49","2015-09-30",19.639999
"50","2015-10-01",19.34
"51","2015-10-02",18.860001
"52","2015-10-05",19
"53","2015-10-06",18.549999
"54","2015-10-07",18.58
"55","2015-10-08",18.48
"56","2015-10-09",19.299999
"57","2015-10-12",19.110001
"58","2015-10-13",18.74
"59","2015-10-14",18.59
"60","2015-10-15",18.549999
"61","2015-10-16",18.08
"62","2015-10-19",17.48
"63","2015-10-20",17.549999
"64","2015-10-21",16.91
"65","2015-10-22",16.01
"66","2015-10-23",16.42
"67","2015-10-26",16.360001
"68","2015-10-27",15.48
"69","2015-10-28",15.51
"70","2015-10-29",14.41
"71","2015-10-30",14.34
"72","2015-11-02",14.93
"73","2015-11-03",15.06
"74","2015-11-04",14.8
"75","2015-11-05",14.55
"76","2015-11-06",14.61
"77","2015-11-09",14.48
"78","2015-11-10",14.51
"79","2015-11-11",14.6
"80","2015-11-12",14.4
"81","2015-11-13",14.08
"82","2015-11-16",14.43
"83","2015-11-17",14.28
"84","2015-11-18",14.4
"85","2015-11-19",14.55
"86","2015-11-20",14.99
"87","2015-11-23",14.8
"88","2015-11-24",14.91
"89","2015-11-25",15.19
"90","2015-11-27",15.26
"91","2015-11-30",15.8
"92","2015-12-01",15.21
"93","2015-12-02",14.37
"94","2015-12-03",14.38
"95","2015-12-04",14.61
"96","2015-12-07",14.1
"97","2015-12-08",13.19
"98","2015-12-09",13.43
"99","2015-12-10",13.06
"100","2015-12-11",13.01
"101","2015-12-14",12.88
"102","2015-12-15",13.24
"103","2015-12-16",14.05
"104","2015-12-17",14.01
"105","2015-12-18",13.86
"106","2015-12-21",13.6
"107","2015-12-22",14
"108","2015-12-23",14.44
"109","2015-12-24",14.63
"110","2015-12-28",14.45
"111","2015-12-29",14.36
"112","2015-12-30",14.1
"113","2015-12-31",14.2
"114","2016-01-04",13.4
"115","2016-01-05",13.24
"116","2016-01-06",13.1
"117","2016-01-07",12.97
"118","2016-01-08",12.14
"119","2016-01-11",12.49
"120","2016-01-12",12.82
"121","2016-01-13",12.61
"122","2016-01-14",12.75
"123","2016-01-15",12.65
"124","2016-01-19",12.6
"125","2016-01-20",12.97
"126","2016-01-21",13.22
"127","2016-01-22",13.2
"128","2016-01-25",12.69
