"","date","AHPI"
"1","2007-01-03",10.64
"2","2007-01-04",10.8
"3","2007-01-05",10.58
"4","2007-01-08",10.48
"5","2007-01-09",10.42
"6","2007-01-10",10.22
"7","2007-01-11",10.2
"8","2007-01-12",10.14
"9","2007-01-16",10.44
"10","2007-01-17",10.46
"11","2007-01-18",10.26
"12","2007-01-19",10.28
"13","2007-01-22",10.1
"14","2007-01-23",10.36
"15","2007-01-24",10.2
"16","2007-01-25",10.24
"17","2007-01-26",10.24
"18","2007-01-29",10.24
"19","2007-01-30",10.16
"20","2007-01-31",10.2
"21","2007-02-01",10.16
"22","2007-02-02",10.2
"23","2007-02-05",10.16
"24","2007-02-06",10.12
"25","2007-02-07",10.22
"26","2007-02-08",10.2
"27","2007-02-09",10.62
"28","2007-02-12",10.2
"29","2007-02-13",10.26
"30","2007-02-14",10.44
"31","2007-02-15",10.5
"32","2007-02-16",10.5
"33","2007-02-20",10.6
"34","2007-02-21",10.6
"35","2007-02-22",10.7
"36","2007-02-23",10.98
"37","2007-02-26",10.72
"38","2007-02-27",10.78
"39","2007-02-28",11.96
"40","2007-03-01",11.98
"41","2007-03-02",12.36
"42","2007-03-05",12
"43","2007-03-06",11.84
"44","2007-03-07",11.9
"45","2007-03-08",12.06
"46","2007-03-09",12.34
"47","2007-03-12",12.36
"48","2007-03-13",12.28
"49","2007-03-14",12.28
"50","2007-03-15",11.96
"51","2007-03-16",12
"52","2007-03-19",12.32
"53","2007-03-20",12.3
"54","2007-03-21",12.28
"55","2007-03-22",12.38
"56","2007-03-23",12.1
"57","2007-03-26",12.02
"58","2007-03-27",11.82
"59","2007-03-28",12.3
"60","2007-03-29",12.04
"61","2007-03-30",12.02
"62","2007-04-02",12.1
"63","2007-04-03",12.1
"64","2007-04-04",12.3
"65","2007-04-05",12.5
"66","2007-04-09",12.6
"67","2007-04-10",12.4
"68","2007-04-11",12.4
"69","2007-04-12",12.4
"70","2007-04-13",12.4
"71","2007-04-16",12.5
"72","2007-04-17",12.5
"73","2007-04-18",12.4
"74","2007-04-19",12.74
"75","2007-04-20",12.72
"76","2007-04-23",12.82
"77","2007-04-24",12.76
"78","2007-04-25",12.9
"79","2007-04-26",12.88
"80","2007-04-27",12.88
"81","2007-04-30",13.22
"82","2007-05-01",13.4
"83","2007-05-02",13.7
"84","2007-05-03",13.9
"85","2007-05-04",13.4
"86","2007-05-07",13.4
"87","2007-05-08",13.04
"88","2007-05-09",13
