"","date","OTEX"
"1","2007-01-03",5.0125
"2","2007-01-04",4.955
"3","2007-01-05",4.785
"4","2007-01-08",4.72
"5","2007-01-09",4.6375
"6","2007-01-10",4.625
"7","2007-01-11",4.66
"8","2007-01-12",4.6725
"9","2007-01-16",4.7825
"10","2007-01-17",4.78
"11","2007-01-18",4.835
"12","2007-01-19",4.7475
"13","2007-01-22",4.7575
"14","2007-01-23",4.8025
"15","2007-01-24",4.9525
"16","2007-01-25",4.8225
"17","2007-01-26",4.7625
"18","2007-01-29",4.7
"19","2007-01-30",4.7525
"20","2007-01-31",4.695
"21","2007-02-01",4.74
"22","2007-02-02",4.7425
"23","2007-02-05",4.7175
"24","2007-02-06",4.7825
"25","2007-02-07",4.8975
"26","2007-02-08",4.885
"27","2007-02-09",5.7
"28","2007-02-12",5.825
"29","2007-02-13",5.82
"30","2007-02-14",5.8075
"31","2007-02-15",5.9475
"32","2007-02-16",5.9425
"33","2007-02-20",5.9125
"34","2007-02-21",5.7425
"35","2007-02-22",5.7325
"36","2007-02-23",5.69
"37","2007-02-26",5.7
"38","2007-02-27",5.4775
"39","2007-02-28",5.4625
"40","2007-03-01",5.5
"41","2007-03-02",5.365
"42","2007-03-05",5.15
"43","2007-03-06",5.335
"44","2007-03-07",5.3125
"45","2007-03-08",5.4025
"46","2007-03-09",5.39
"47","2007-03-12",5.295
"48","2007-03-13",5.1975
"49","2007-03-14",5.2325
"50","2007-03-15",5.3125
"51","2007-03-16",5.345
"52","2007-03-19",5.4975
"53","2007-03-20",5.5975
"54","2007-03-21",5.625
"55","2007-03-22",5.6325
"56","2007-03-23",5.6625
"57","2007-03-26",5.69
"58","2007-03-27",5.6075
"59","2007-03-28",5.5275
"60","2007-03-29",5.49
"61","2007-03-30",5.49
"62","2007-04-02",5.4975
"63","2007-04-03",5.5725
"64","2007-04-04",5.5425
"65","2007-04-05",5.5175
"66","2007-04-09",5.535
"67","2007-04-10",5.5125
"68","2007-04-11",5.4825
"69","2007-04-12",5.535
"70","2007-04-13",5.54
"71","2007-04-16",5.69
"72","2007-04-17",5.685
"73","2007-04-18",5.8125
"74","2007-04-19",5.745
"75","2007-04-20",5.795
"76","2007-04-23",5.895
"77","2007-04-24",5.785
"78","2007-04-25",5.86
"79","2007-04-26",5.8575
"80","2007-04-27",6.11
"81","2007-04-30",5.755
"82","2007-05-01",6.24
"83","2007-05-02",6.0725
"84","2007-05-03",5.84
"85","2007-05-04",5.7475
"86","2007-05-07",5.8125
"87","2007-05-08",5.87
"88","2007-05-09",5.8675
"89","2007-05-10",5.8075
"90","2007-05-11",5.8575
"91","2007-05-14",5.8275
"92","2007-05-15",5.7325
"93","2007-05-16",5.725
"94","2007-05-17",5.66
"95","2007-05-18",5.715
