"","date","PCRX"
"1","2011-02-03",7.02
"2","2011-02-04",7.03
"3","2011-02-07",7.04
"4","2011-02-08",6.72
"5","2011-02-09",6.23
"6","2011-02-10",6.65
"7","2011-02-11",6.92
"8","2011-02-14",7
"9","2011-02-15",6.91
"10","2011-02-16",6.58
"11","2011-02-17",6.94
"12","2011-02-18",6.45
"13","2011-02-22",6.93
"14","2011-02-23",6.91
"15","2011-02-24",6.89
"16","2011-02-25",7.1
"17","2011-02-28",6.9
"18","2011-03-01",6.93
"19","2011-03-02",6.94
"20","2011-03-03",7.05
"21","2011-03-04",6.93
"22","2011-03-07",6.91
"23","2011-03-08",6.9
"24","2011-03-09",6.81
"25","2011-03-10",6.8
"26","2011-03-11",6.88
"27","2011-03-14",6.87
"28","2011-03-15",6.84
"29","2011-03-16",6.85
"30","2011-03-17",7.05
"31","2011-03-18",7
"32","2011-03-21",7
"33","2011-03-22",7.01
"34","2011-03-23",7.05
"35","2011-03-24",7.07
"36","2011-03-25",7.05
"37","2011-03-28",7.04
"38","2011-03-29",7.02
"39","2011-03-30",7.19
"40","2011-03-31",7.1
"41","2011-04-01",7.03
"42","2011-04-04",7.12
"43","2011-04-05",7.04
"44","2011-04-06",7.16
"45","2011-04-07",7.07
"46","2011-04-08",7.05
"47","2011-04-11",7.06
"48","2011-04-12",7.07
"49","2011-04-13",7.02
"50","2011-04-14",6.95
"51","2011-04-15",7.15
"52","2011-04-18",7.16
"53","2011-04-19",7.19
"54","2011-04-20",7.8
"55","2011-04-21",7.87
"56","2011-04-25",8.64
"57","2011-04-26",9
"58","2011-04-27",10.32
"59","2011-04-28",10.51
"60","2011-04-29",10.54
"61","2011-05-02",10.01
"62","2011-05-03",11
"63","2011-05-04",10.59
"64","2011-05-05",10.43
"65","2011-05-06",10.86
"66","2011-05-09",10.8
"67","2011-05-10",10.66
"68","2011-05-11",10.34
"69","2011-05-12",10.65
"70","2011-05-13",10.26
"71","2011-05-16",10.4
"72","2011-05-17",10.49
"73","2011-05-18",10.59
"74","2011-05-19",10.75
"75","2011-05-20",10.97
"76","2011-05-23",11.9
"77","2011-05-24",13.83
"78","2011-05-25",15.19
"79","2011-05-26",14.65
"80","2011-05-27",14.59
"81","2011-05-31",14.3
"82","2011-06-01",13.79
"83","2011-06-02",13.98
"84","2011-06-03",13.84
"85","2011-06-06",12.92
"86","2011-06-07",13.19
"87","2011-06-08",13
"88","2011-06-09",12.59
"89","2011-06-10",12.7
"90","2011-06-13",13.22
"91","2011-06-14",11.6
"92","2011-06-15",11.55
"93","2011-06-16",11.05
"94","2011-06-17",10.55
"95","2011-06-20",11.18
"96","2011-06-21",11.61
"97","2011-06-22",12.45
"98","2011-06-23",12.45
"99","2011-06-24",12
"100","2011-06-27",12
"101","2011-06-28",11.96
"102","2011-06-29",11.98
"103","2011-06-30",12
"104","2011-07-01",12.03
"105","2011-07-05",11.9
"106","2011-07-06",11.71
"107","2011-07-07",11.38
"108","2011-07-08",11.92
"109","2011-07-11",11.42
"110","2011-07-12",11.24
"111","2011-07-13",11.8
"112","2011-07-14",11.76
"113","2011-07-15",11.46
"114","2011-07-18",11.26
"115","2011-07-19",11.91
"116","2011-07-20",11.73
"117","2011-07-21",11.88
"118","2011-07-22",11.81
"119","2011-07-25",11.56
"120","2011-07-26",11.31
"121","2011-07-27",10.61
"122","2011-07-28",9.85
"123","2011-07-29",10.02
"124","2011-08-01",10.36
"125","2011-08-02",10.31
"126","2011-08-03",10.31
"127","2011-08-04",9.78
"128","2011-08-05",10.4
"129","2011-08-08",8.78
"130","2011-08-09",9.35
"131","2011-08-10",8.82
"132","2011-08-11",9.05
"133","2011-08-12",8.99
"134","2011-08-15",9.1
"135","2011-08-16",9.02
"136","2011-08-17",9.19
"137","2011-08-18",8.76
"138","2011-08-19",9.24
"139","2011-08-22",9.02
"140","2011-08-23",8.9
"141","2011-08-24",8.8
"142","2011-08-25",8.7
"143","2011-08-26",8.68
"144","2011-08-29",8.63
"145","2011-08-30",8.33
"146","2011-08-31",7.66
"147","2011-09-01",7.34
"148","2011-09-02",7.33
"149","2011-09-06",7.74
"150","2011-09-07",8.25
"151","2011-09-08",8.5
"152","2011-09-09",8.33
"153","2011-09-12",8.52
"154","2011-09-13",9.42
"155","2011-09-14",9.59
"156","2011-09-15",9.65
"157","2011-09-16",10.56
"158","2011-09-19",10.5
"159","2011-09-20",10.93
"160","2011-09-21",10.45
"161","2011-09-22",9.78
"162","2011-09-23",10.42
"163","2011-09-26",10.5
"164","2011-09-27",10.27
"165","2011-09-28",9.67
"166","2011-09-29",9.78
"167","2011-09-30",9.93
"168","2011-10-03",8.8
"169","2011-10-04",9.74
"170","2011-10-05",9.27
"171","2011-10-06",9.22
"172","2011-10-07",9.21
"173","2011-10-10",9.52
"174","2011-10-11",9.82
"175","2011-10-12",9.87
"176","2011-10-13",10.01
"177","2011-10-14",10.05
"178","2011-10-17",9.47
"179","2011-10-18",9.46
"180","2011-10-19",9.25
"181","2011-10-20",9.38
"182","2011-10-21",9.65
"183","2011-10-24",10.23
"184","2011-10-25",10.15
"185","2011-10-26",10.79
"186","2011-10-27",10.41
"187","2011-10-28",10.18
"188","2011-10-31",9.78
"189","2011-11-01",9.19
"190","2011-11-02",8.18
"191","2011-11-03",7.01
"192","2011-11-04",7.71
"193","2011-11-07",7.94
"194","2011-11-08",7.5
"195","2011-11-09",7.25
"196","2011-11-10",7.26
"197","2011-11-11",7.22
"198","2011-11-14",6.75
"199","2011-11-15",6.88
"200","2011-11-16",7.38
"201","2011-11-17",7.31
"202","2011-11-18",7.21
"203","2011-11-21",7.33
"204","2011-11-22",7.47
"205","2011-11-23",7.41
"206","2011-11-25",7.15
"207","2011-11-28",7.12
"208","2011-11-29",7.03
"209","2011-11-30",7.32
"210","2011-12-01",7.89
"211","2011-12-02",7.81
"212","2011-12-05",8.37
"213","2011-12-06",8.76
"214","2011-12-07",8.36
"215","2011-12-08",8.15
"216","2011-12-09",8.62
"217","2011-12-12",8.19
"218","2011-12-13",8.17
"219","2011-12-14",8.19
"220","2011-12-15",8.17
"221","2011-12-16",8.08
"222","2011-12-19",8.21
"223","2011-12-20",8.19
"224","2011-12-21",8.38
"225","2011-12-22",8.33
"226","2011-12-23",8.49
"227","2011-12-27",8.8
"228","2011-12-28",8.64
"229","2011-12-29",8.54
"230","2011-12-30",8.65
"231","2012-01-03",8.73
"232","2012-01-04",8.55
"233","2012-01-05",8.6
"234","2012-01-06",8.5
"235","2012-01-09",7.99
"236","2012-01-10",7.95
"237","2012-01-11",8
"238","2012-01-12",7.97
"239","2012-01-13",7.99
"240","2012-01-17",8.2
