"","date","TTGT"
"1","2007-05-17",14.79
"2","2007-05-18",15.07
"3","2007-05-21",15.07
"4","2007-05-22",14.96
"5","2007-05-23",14.7
"6","2007-05-24",14.71
"7","2007-05-25",14.71
"8","2007-05-29",14.75
"9","2007-05-30",14.6
"10","2007-05-31",14.72
"11","2007-06-01",15.8
"12","2007-06-04",14.82
"13","2007-06-05",15.01
"14","2007-06-06",14.76
"15","2007-06-07",14.59
"16","2007-06-08",14.16
"17","2007-06-11",14.48
"18","2007-06-12",14.3
"19","2007-06-13",14.48
"20","2007-06-14",14.56
"21","2007-06-15",14.59
"22","2007-06-18",14.5
"23","2007-06-19",14.76
"24","2007-06-20",15.32
"25","2007-06-21",14.59
"26","2007-06-22",14.1
"27","2007-06-25",13.87
"28","2007-06-26",13.75
"29","2007-06-27",14.25
"30","2007-06-28",13.31
"31","2007-06-29",12.85
"32","2007-07-02",12.62
"33","2007-07-03",12.35
"34","2007-07-05",12.41
"35","2007-07-06",12.54
"36","2007-07-09",12.24
"37","2007-07-10",11.67
"38","2007-07-11",13.48
"39","2007-07-12",13.49
"40","2007-07-13",13.66
"41","2007-07-16",13.53
"42","2007-07-17",13.68
"43","2007-07-18",13.62
"44","2007-07-19",13.52
"45","2007-07-20",13.28
"46","2007-07-23",12.83
"47","2007-07-24",12.63
"48","2007-07-25",13
"49","2007-07-26",13.17
"50","2007-07-27",12.51
"51","2007-07-30",12.54
"52","2007-07-31",13.48
"53","2007-08-01",13.29
"54","2007-08-02",12.54
"55","2007-08-03",12.5
"56","2007-08-06",13.55
"57","2007-08-07",12.58
"58","2007-08-08",12.75
"59","2007-08-09",12.38
"60","2007-08-10",12.79
"61","2007-08-13",12.17
"62","2007-08-14",12.43
"63","2007-08-15",12.4
"64","2007-08-16",12.65
"65","2007-08-17",12.56
"66","2007-08-20",12.57
"67","2007-08-21",12.48
"68","2007-08-22",12.56
"69","2007-08-23",12.54
"70","2007-08-24",12.75
"71","2007-08-27",13.15
"72","2007-08-28",13.12
"73","2007-08-29",13.46
"74","2007-08-30",13.15
"75","2007-08-31",13.02
"76","2007-09-04",13.81
"77","2007-09-05",13.6
"78","2007-09-06",13.44
"79","2007-09-07",13.67
"80","2007-09-10",13.86
"81","2007-09-11",14.3
"82","2007-09-12",14.7
"83","2007-09-13",15.5
"84","2007-09-14",15.53
"85","2007-09-17",15.21
"86","2007-09-18",15.93
"87","2007-09-19",17
"88","2007-09-20",16.959999
"89","2007-09-21",17.030001
"90","2007-09-24",17.190001
"91","2007-09-25",17.65
"92","2007-09-26",18.049999
"93","2007-09-27",18.23
"94","2007-09-28",16.9
"95","2007-10-01",16.98
"96","2007-10-02",17.4
"97","2007-10-03",17.41
"98","2007-10-04",16.549999
"99","2007-10-05",15.96
"100","2007-10-08",16
"101","2007-10-09",16.610001
"102","2007-10-10",16.799999
"103","2007-10-11",16.959999
"104","2007-10-12",17.66
"105","2007-10-15",17.42
"106","2007-10-16",17.459999
"107","2007-10-17",17.4
"108","2007-10-18",16.450001
"109","2007-10-19",15.04
"110","2007-10-22",15.7
"111","2007-10-23",16.49
"112","2007-10-24",16.01
"113","2007-10-25",16
"114","2007-10-26",17.08
"115","2007-10-29",17.58
"116","2007-10-30",17.049999
"117","2007-10-31",17.290001
"118","2007-11-01",15.68
"119","2007-11-02",16.360001
"120","2007-11-05",17.32
"121","2007-11-06",17.370001
"122","2007-11-07",17.049999
"123","2007-11-08",16.4
"124","2007-11-09",13.97
"125","2007-11-12",15.23
"126","2007-11-13",15.97
"127","2007-11-14",15.67
"128","2007-11-15",15.26
"129","2007-11-16",15.25
"130","2007-11-19",14.97
"131","2007-11-20",15.07
"132","2007-11-21",14.71
"133","2007-11-23",14.5
"134","2007-11-26",11.77
"135","2007-11-27",12.61
"136","2007-11-28",14.89
"137","2007-11-29",15.03
"138","2007-11-30",13.66
"139","2007-12-03",13.18
"140","2007-12-04",12.57
"141","2007-12-05",13.32
"142","2007-12-06",13.5
"143","2007-12-07",13.66
"144","2007-12-10",13.79
"145","2007-12-11",13.82
"146","2007-12-12",13.29
"147","2007-12-13",13.84
"148","2007-12-14",14.01
"149","2007-12-17",13.72
"150","2007-12-18",14.29
"151","2007-12-19",14.24
"152","2007-12-20",14.4
"153","2007-12-21",14.75
"154","2007-12-24",14.87
"155","2007-12-26",15.05
"156","2007-12-27",14.99
"157","2007-12-28",14.86
"158","2007-12-31",14.78
"159","2008-01-02",15.23
"160","2008-01-03",14.93
"161","2008-01-04",14.19
"162","2008-01-07",14.53
"163","2008-01-08",13.84
"164","2008-01-09",13.62
"165","2008-01-10",14.33
