"","date","TALO"
"1","2018-05-10",36.349998
"2","2018-05-11",33.849998
"3","2018-05-14",33.18
"4","2018-05-15",32.790001
"5","2018-05-16",32.389999
"6","2018-05-17",32.66
"7","2018-05-18",32.959999
"8","2018-05-21",33.619999
"9","2018-05-22",33.419998
"10","2018-05-23",32.080002
"11","2018-05-24",32.130001
"12","2018-05-25",32.119999
"13","2018-05-29",32.150002
"14","2018-05-30",33.48
"15","2018-05-31",32.119999
"16","2018-06-01",32.91
"17","2018-06-04",31.469999
"18","2018-06-05",31.41
"19","2018-06-06",31.370001
"20","2018-06-07",31.940001
"21","2018-06-08",31.440001
"22","2018-06-11",32.099998
"23","2018-06-12",32.25
"24","2018-06-13",33.110001
"25","2018-06-14",33.25
"26","2018-06-15",32.990002
"27","2018-06-18",32.779999
"28","2018-06-19",32.779999
"29","2018-06-20",32.450001
"30","2018-06-21",30.790001
"31","2018-06-22",33.259998
"32","2018-06-25",32.939999
"33","2018-06-26",33.630001
"34","2018-06-27",33.650002
"35","2018-06-28",32.43
"36","2018-06-29",32.130001
"37","2018-07-02",32.150002
"38","2018-07-03",33.150002
"39","2018-07-05",33.18
"40","2018-07-06",34.07
"41","2018-07-09",35.209999
"42","2018-07-10",34.740002
"43","2018-07-11",33.759998
"44","2018-07-12",33.400002
"45","2018-07-13",33.189999
"46","2018-07-16",32.529999
"47","2018-07-17",32.41
"48","2018-07-18",33.09
"49","2018-07-19",34.110001
"50","2018-07-20",34.549999
"51","2018-07-23",34.939999
"52","2018-07-24",35.27
"53","2018-07-25",35.369999
"54","2018-07-26",35.470001
"55","2018-07-27",34.25
"56","2018-07-30",36.91
"57","2018-07-31",37.139999
"58","2018-08-01",36.830002
"59","2018-08-02",37.470001
"60","2018-08-03",36.919998
"61","2018-08-06",37.09
"62","2018-08-07",35.84
"63","2018-08-08",35.279999
"64","2018-08-09",34.290001
"65","2018-08-10",33.950001
"66","2018-08-13",32.450001
"67","2018-08-14",32.450001
"68","2018-08-15",31.370001
"69","2018-08-16",31.01
"70","2018-08-17",31.440001
"71","2018-08-20",30.33
"72","2018-08-21",30.360001
"73","2018-08-22",30.969999
"74","2018-08-23",30.82
"75","2018-08-24",30.860001
"76","2018-08-27",33.630001
"77","2018-08-28",33.830002
"78","2018-08-29",34.169998
"79","2018-08-30",34.310001
"80","2018-08-31",34.52
"81","2018-09-04",33.41
"82","2018-09-05",33.939999
"83","2018-09-06",33.799999
"84","2018-09-07",34.419998
"85","2018-09-10",35.07
"86","2018-09-11",35.470001
"87","2018-09-12",36.040001
"88","2018-09-13",34.439999
"89","2018-09-14",34.84
"90","2018-09-17",32.619999
"91","2018-09-18",31.950001
"92","2018-09-19",32.5
"93","2018-09-20",31.17
"94","2018-09-21",31.6
"95","2018-09-24",32.540001
"96","2018-09-25",32.529999
"97","2018-09-26",32.16
"98","2018-09-27",32.27
"99","2018-09-28",32.82
"100","2018-10-01",33.630001
"101","2018-10-02",33.299999
"102","2018-10-03",33.830002
"103","2018-10-04",33.330002
"104","2018-10-05",33.439999
"105","2018-10-08",33.169998
"106","2018-10-09",33.259998
"107","2018-10-10",31.940001
"108","2018-10-11",30.84
"109","2018-10-12",31.190001
"110","2018-10-15",31.18
"111","2018-10-16",31.379999
"112","2018-10-17",29.83
"113","2018-10-18",29.200001
"114","2018-10-19",29.549999
"115","2018-10-22",29.959999
"116","2018-10-23",29.15
"117","2018-10-24",27.190001
"118","2018-10-25",27.469999
"119","2018-10-26",26.610001
"120","2018-10-29",25.32
"121","2018-10-30",25.450001
"122","2018-10-31",26.059999
"123","2018-11-01",26.059999
"124","2018-11-02",24.969999
"125","2018-11-05",25.379999
"126","2018-11-06",25.59
"127","2018-11-07",24.42
"128","2018-11-08",23.52
"129","2018-11-09",22.809999
"130","2018-11-12",22.51
"131","2018-11-13",21.719999
"132","2018-11-14",21.58
"133","2018-11-15",21.91
"134","2018-11-16",21.389999
"135","2018-11-19",21.290001
"136","2018-11-20",18.870001
"137","2018-11-21",19.620001
"138","2018-11-23",19.370001
"139","2018-11-26",19.639999
"140","2018-11-27",19.139999
"141","2018-11-28",19.559999
