"","date","ZKIN"
"1","2017-09-01",8.45
"2","2017-09-05",9.485
"3","2017-09-06",10.27
"4","2017-09-07",8.86
"5","2017-09-08",8.32
"6","2017-09-11",7.92
"7","2017-09-12",7.91
"8","2017-09-13",8
"9","2017-09-14",7.92
"10","2017-09-15",8.15
"11","2017-09-18",8.1
"12","2017-09-19",8.26
"13","2017-09-20",8.49
"14","2017-09-21",8.48
"15","2017-09-22",8.35
"16","2017-09-25",8.42
"17","2017-09-26",8.37
"18","2017-09-27",8.57
"19","2017-09-28",8.62
"20","2017-09-29",8.68
"21","2017-10-02",8.65
"22","2017-10-03",8.5
"23","2017-10-04",8.44
"24","2017-10-05",8.5
"25","2017-10-06",8.69
"26","2017-10-09",8.73
"27","2017-10-10",9.25
"28","2017-10-11",9.33
"29","2017-10-12",9.41
"30","2017-10-13",9.87
"31","2017-10-16",8.877
"32","2017-10-17",8.11
"33","2017-10-18",8
"34","2017-10-19",8.16
"35","2017-10-20",8.23
"36","2017-10-23",7.88
"37","2017-10-24",7.76
"38","2017-10-25",6.81
"39","2017-10-26",6.88
"40","2017-10-27",6.84
"41","2017-10-30",6.9
"42","2017-10-31",7.1
"43","2017-11-01",7.15
"44","2017-11-02",7.33
"45","2017-11-03",7.34
"46","2017-11-06",7.48
"47","2017-11-07",7.42
"48","2017-11-08",7.26
"49","2017-11-09",7.33
"50","2017-11-10",7.41
"51","2017-11-13",7.44
"52","2017-11-14",7.5
"53","2017-11-15",7.45
"54","2017-11-16",7.5
"55","2017-11-17",7.67
"56","2017-11-20",7.73
"57","2017-11-21",7.76
"58","2017-11-22",7.66
"59","2017-11-24",7.67
"60","2017-11-27",7.76
"61","2017-11-28",7.69
"62","2017-11-29",7.82
"63","2017-11-30",7.83
"64","2017-12-01",7.89
"65","2017-12-04",7.91
"66","2017-12-05",7.8
"67","2017-12-06",7.97
"68","2017-12-07",8.25
"69","2017-12-08",8.174
"70","2017-12-11",8.06
"71","2017-12-12",8.11
"72","2017-12-13",8.05
"73","2017-12-14",8.21
"74","2017-12-15",8.12
"75","2017-12-18",8.39
"76","2017-12-19",8.44
"77","2017-12-20",8.53
"78","2017-12-21",8.65
"79","2017-12-22",8.74
"80","2017-12-26",8.92
"81","2017-12-27",9.11
"82","2017-12-28",10.1
"83","2017-12-29",9.8
"84","2018-01-02",11.47
"85","2018-01-03",11.5
"86","2018-01-04",11.57
"87","2018-01-05",11.42
"88","2018-01-08",12.09
"89","2018-01-09",12.11
"90","2018-01-10",11.35
"91","2018-01-11",10.63
"92","2018-01-12",10.61
"93","2018-01-16",9.8
"94","2018-01-17",8.95
"95","2018-01-18",9.77
"96","2018-01-19",10.11
"97","2018-01-22",10.11
"98","2018-01-23",10.38
"99","2018-01-24",10.44
