"","date","OSS"
"1","2018-02-01",4.88
"2","2018-02-02",4.7
"3","2018-02-05",4.6
"4","2018-02-06",4.9
"5","2018-02-07",4.65
"6","2018-02-08",5.06
"7","2018-02-09",4.91
"8","2018-02-12",4.63
"9","2018-02-13",4.704
"10","2018-02-14",4.775
"11","2018-02-15",4.76
"12","2018-02-16",5
"13","2018-02-20",4.7
"14","2018-02-21",4.89
"15","2018-02-22",4.755
"16","2018-02-23",4.91
"17","2018-02-26",4.93
"18","2018-02-27",4.91
"19","2018-02-28",4.784
"20","2018-03-01",4.79
"21","2018-03-02",4.9
"22","2018-03-05",4.8
"23","2018-03-06",4.8
"24","2018-03-07",5.15
"25","2018-03-08",5.75
"26","2018-03-09",6.1
"27","2018-03-12",5.78
"28","2018-03-13",5.75
"29","2018-03-14",5.4
"30","2018-03-15",5.21
"31","2018-03-16",5.11
"32","2018-03-19",5.05
"33","2018-03-20",5.065
"34","2018-03-21",5.21
"35","2018-03-22",5.15
"36","2018-03-23",5
"37","2018-03-26",5.07
"38","2018-03-27",4.87
"39","2018-03-28",4.69
"40","2018-03-29",4.4
"41","2018-04-02",4.17
"42","2018-04-03",4.19
"43","2018-04-04",4.35
"44","2018-04-05",4.21
"45","2018-04-06",4.28
"46","2018-04-09",4.25
"47","2018-04-10",4.365
"48","2018-04-11",4.17
"49","2018-04-12",4.43
"50","2018-04-13",4.51
"51","2018-04-16",4.6
"52","2018-04-17",4.49
"53","2018-04-18",4.65
"54","2018-04-19",4.86
"55","2018-04-20",4.94
"56","2018-04-23",4.81
"57","2018-04-24",4.69
"58","2018-04-25",4.51
"59","2018-04-26",4.35
"60","2018-04-27",4.36
"61","2018-04-30",4.47
"62","2018-05-01",4.55
"63","2018-05-02",4.58
"64","2018-05-03",4.5
"65","2018-05-04",4.5
"66","2018-05-07",4.5
"67","2018-05-08",4.75
"68","2018-05-09",4.52
"69","2018-05-10",4.53
"70","2018-05-11",4.5
"71","2018-05-14",4.535
"72","2018-05-15",4.58
"73","2018-05-16",4.57
"74","2018-05-17",4.64
"75","2018-05-18",4.56
"76","2018-05-21",4.59
"77","2018-05-22",4.49
"78","2018-05-23",4.5
"79","2018-05-24",4.6
"80","2018-05-25",4.6
