"","date","FMNB"
"1","2007-01-03",10.7
"2","2007-01-04",10.7
"3","2007-01-05",10.55
"4","2007-01-08",10.75
"5","2007-01-09",10.74
"6","2007-01-10",10.61
"7","2007-01-11",10.55
"8","2007-01-12",10.73
"9","2007-01-16",10.6
"10","2007-01-17",10.55
"11","2007-01-18",10.51
"12","2007-01-19",10.51
"13","2007-01-22",10.5
"14","2007-01-23",10.65
"15","2007-01-24",10.6
"16","2007-01-25",10.65
"17","2007-01-26",10.6
"18","2007-01-29",10.53
"19","2007-01-30",10.55
"20","2007-01-31",10.5
"21","2007-02-01",10.5
"22","2007-02-02",10.51
"23","2007-02-05",10.5
"24","2007-02-06",10.55
"25","2007-02-07",10.56
"26","2007-02-08",10.55
"27","2007-02-09",10.64
"28","2007-02-12",10.56
"29","2007-02-13",10.56
"30","2007-02-14",10.56
"31","2007-02-15",10.6
"32","2007-02-16",10.55
"33","2007-02-20",10.56
"34","2007-02-21",10.56
"35","2007-02-22",10.5
"36","2007-02-23",10.55
"37","2007-02-26",10.6
"38","2007-02-27",10.55
"39","2007-02-28",10.5
"40","2007-03-01",10.5
"41","2007-03-02",10.55
"42","2007-03-05",10.65
"43","2007-03-06",10.66
"44","2007-03-07",10.51
"45","2007-03-08",10.66
"46","2007-03-09",10.74
"47","2007-03-12",10.52
"48","2007-03-13",10.64
"49","2007-03-14",10.65
"50","2007-03-15",10.65
"51","2007-03-16",10.51
"52","2007-03-19",10.5
"53","2007-03-20",10.64
"54","2007-03-21",10.5
"55","2007-03-22",10.52
"56","2007-03-23",10.6
"57","2007-03-26",10.5
"58","2007-03-27",10.55
"59","2007-03-28",10.5
"60","2007-03-29",10.5
"61","2007-03-30",10.6
"62","2007-04-02",10.57
"63","2007-04-03",10.52
"64","2007-04-04",10.5
"65","2007-04-05",10.5
"66","2007-04-09",10.6
"67","2007-04-10",10.51
"68","2007-04-11",10.6
"69","2007-04-12",10.5
"70","2007-04-13",10.51
"71","2007-04-16",10.51
"72","2007-04-17",10.5
"73","2007-04-18",10.6
"74","2007-04-19",10.5
"75","2007-04-20",10.57
"76","2007-04-23",10.5
"77","2007-04-24",10.5
"78","2007-04-25",10.55
"79","2007-04-26",10.54
"80","2007-04-27",10.51
"81","2007-04-30",10.5
"82","2007-05-01",10.51
"83","2007-05-02",10.5
"84","2007-05-03",10.55
"85","2007-05-04",10.5
"86","2007-05-07",10.5
"87","2007-05-08",10.51
"88","2007-05-09",10.5
"89","2007-05-10",10.5
"90","2007-05-11",10.55
"91","2007-05-14",10.5
"92","2007-05-15",10.5
"93","2007-05-16",10.5
"94","2007-05-17",10.5
"95","2007-05-18",10.5
"96","2007-05-21",10.5
"97","2007-05-22",10.5
"98","2007-05-23",10.5
"99","2007-05-24",10.5
"100","2007-05-25",10.5
"101","2007-05-29",10.5
"102","2007-05-30",10.5
"103","2007-05-31",10.55
"104","2007-06-01",10.55
"105","2007-06-04",10.55
"106","2007-06-05",10.55
"107","2007-06-06",10.57
"108","2007-06-07",10.5
"109","2007-06-08",10.5
"110","2007-06-11",10.55
"111","2007-06-12",10.55
"112","2007-06-13",10.5
"113","2007-06-14",10.5
"114","2007-06-15",10.5
"115","2007-06-18",10.55
"116","2007-06-19",10.6
"117","2007-06-20",10.5
"118","2007-06-21",10.65
"119","2007-06-22",10.55
"120","2007-06-25",10.5
"121","2007-06-26",10.75
"122","2007-06-27",10.68
"123","2007-06-28",10.6
"124","2007-06-29",10.7
"125","2007-07-02",10.8
"126","2007-07-03",10.8
"127","2007-07-05",10.57
"128","2007-07-06",10.55
"129","2007-07-09",10.5
"130","2007-07-10",10.5
"131","2007-07-11",10.5
"132","2007-07-12",10.48
"133","2007-07-13",10.32
"134","2007-07-16",10.4
"135","2007-07-17",10.5
"136","2007-07-18",10.2
"137","2007-07-19",10.3
