"","date","SWKH"
"1","2007-01-03",31.700001
"2","2007-01-04",31.6
"3","2007-01-05",31.700001
"4","2007-01-08",32
"5","2007-01-09",31
"6","2007-01-10",30.9
"7","2007-01-11",31.5
"8","2007-01-12",31.799999
"9","2007-01-16",31.700001
"10","2007-01-17",31.6
"11","2007-01-18",31.5
"12","2007-01-19",30.700001
"13","2007-01-22",30.299999
"14","2007-01-23",30.299999
"15","2007-01-24",30.299999
"16","2007-01-25",28.700001
"17","2007-01-26",28
"18","2007-01-29",29.799999
"19","2007-01-30",30.299999
"20","2007-01-31",30.299999
"21","2007-02-01",31
"22","2007-02-02",31
"23","2007-02-05",31.299999
"24","2007-02-06",31
"25","2007-02-07",31.200001
"26","2007-02-08",31.200001
"27","2007-02-09",31.200001
"28","2007-02-12",31.5
"29","2007-02-13",31.299999
"30","2007-02-14",31.299999
"31","2007-02-15",31.299999
"32","2007-02-16",30.9
"33","2007-02-20",31.700001
"34","2007-02-21",32.799999
"35","2007-02-22",35.599998
"36","2007-02-23",35.700001
"37","2007-02-26",36.099998
"38","2007-02-27",34.5
"39","2007-02-28",34.599998
"40","2007-03-01",34
"41","2007-03-02",34
"42","2007-03-05",33.5
"43","2007-03-06",35
"44","2007-03-07",35.099998
"45","2007-03-08",35.099998
"46","2007-03-09",35.099998
"47","2007-03-12",35
"48","2007-03-13",35.799999
"49","2007-03-14",36
"50","2007-03-15",36
"51","2007-03-16",36
"52","2007-03-19",35.200001
"53","2007-03-20",35.900002
"54","2007-03-21",35.799999
"55","2007-03-22",35.900002
"56","2007-03-23",35.900002
"57","2007-03-26",36
"58","2007-03-27",36.200001
"59","2007-03-28",36.299999
"60","2007-03-29",37
"61","2007-03-30",37
"62","2007-04-02",36.5
"63","2007-04-03",35.900002
"64","2007-04-04",36
"65","2007-04-05",35.5
"66","2007-04-09",35.5
"67","2007-04-10",35.400002
"68","2007-04-11",35
"69","2007-04-12",35.900002
"70","2007-04-13",35.599998
"71","2007-04-16",35.700001
"72","2007-04-17",35.700001
"73","2007-04-18",36
"74","2007-04-19",36
"75","2007-04-20",35.799999
"76","2007-04-23",35.299999
"77","2007-04-24",36
"78","2007-04-25",36
"79","2007-04-26",36
"80","2007-04-27",36
"81","2007-04-30",35.799999
"82","2007-05-01",36
"83","2007-05-02",35.5
"84","2007-05-03",36
"85","2007-05-04",36
"86","2007-05-07",37.5
"87","2007-05-08",32.799999
"88","2007-05-09",33.5
"89","2007-05-10",32.299999
"90","2007-05-11",33
"91","2007-05-14",32.900002
"92","2007-05-15",33.200001
"93","2007-05-16",33
"94","2007-05-17",32.599998
"95","2007-05-18",32.5
"96","2007-05-21",31.700001
"97","2007-05-22",31.700001
"98","2007-05-23",31.4
"99","2007-05-24",31.200001
