"","date","PEI"
"1","2007-01-03",38.970001
"2","2007-01-04",39.669998
"3","2007-01-05",39.130001
"4","2007-01-08",39.299999
"5","2007-01-09",40.200001
"6","2007-01-10",40.299999
"7","2007-01-11",40.650002
"8","2007-01-12",40.59
"9","2007-01-16",41.02
"10","2007-01-17",41.060001
"11","2007-01-18",40.950001
"12","2007-01-19",41.139999
"13","2007-01-22",41.049999
"14","2007-01-23",41.380001
"15","2007-01-24",41.959999
"16","2007-01-25",41.560001
"17","2007-01-26",41.939999
"18","2007-01-29",42.16
"19","2007-01-30",42.709999
"20","2007-01-31",42.700001
"21","2007-02-01",42.82
"22","2007-02-02",43.080002
"23","2007-02-05",43.599998
"24","2007-02-06",44.099998
"25","2007-02-07",45.02
"26","2007-02-08",44.84
"27","2007-02-09",44.130001
"28","2007-02-12",43.900002
"29","2007-02-13",44.41
"30","2007-02-14",44.439999
"31","2007-02-15",44.950001
"32","2007-02-16",45.060001
"33","2007-02-20",45.540001
"34","2007-02-21",45.27
"35","2007-02-22",45.25
"36","2007-02-23",45.009998
"37","2007-02-26",44.580002
"38","2007-02-27",42.450001
"39","2007-02-28",43.16
"40","2007-03-01",43.25
"41","2007-03-02",43.889999
"42","2007-03-05",42.669998
"43","2007-03-06",44.110001
"44","2007-03-07",43.32
"45","2007-03-08",44.18
"46","2007-03-09",44.599998
"47","2007-03-12",44.799999
"48","2007-03-13",43.98
"49","2007-03-14",43.849998
"50","2007-03-15",44.009998
"51","2007-03-16",43.689999
"52","2007-03-19",43.900002
"53","2007-03-20",44.060001
"54","2007-03-21",44.580002
"55","2007-03-22",44.560001
"56","2007-03-23",44.919998
"57","2007-03-26",44.709999
"58","2007-03-27",44.57
"59","2007-03-28",44.349998
"60","2007-03-29",44.400002
"61","2007-03-30",44.330002
"62","2007-04-02",45.380001
"63","2007-04-03",46.830002
"64","2007-04-04",46.75
"65","2007-04-05",47.48
"66","2007-04-09",47.32
"67","2007-04-10",47.369999
"68","2007-04-11",46.68
"69","2007-04-12",46.380001
"70","2007-04-13",46.849998
"71","2007-04-16",47.18
"72","2007-04-17",47.490002
