"","date","USDP"
"1","2014-10-09",16
"2","2014-10-10",16.700001
"3","2014-10-13",16.58
"4","2014-10-14",16.200001
"5","2014-10-15",16.25
"6","2014-10-16",16.639999
"7","2014-10-17",16.469999
"8","2014-10-20",16.379999
"9","2014-10-21",16.91
"10","2014-10-22",17.200001
"11","2014-10-23",17.190001
"12","2014-10-24",17
"13","2014-10-27",16.93
"14","2014-10-28",16.92
"15","2014-10-29",16.389999
"16","2014-10-30",16.24
"17","2014-10-31",16.620001
"18","2014-11-03",16.701
"19","2014-11-04",16.700001
"20","2014-11-05",16.75
"21","2014-11-06",16.6
"22","2014-11-07",16.74
"23","2014-11-10",16.75
"24","2014-11-11",16.75
"25","2014-11-12",16.6
"26","2014-11-13",16.450001
"27","2014-11-14",16.43
"28","2014-11-17",16.6
"29","2014-11-18",16.42
"30","2014-11-19",16.469999
"31","2014-11-20",16.5
"32","2014-11-21",16.5
"33","2014-11-24",16.15
"34","2014-11-25",16.450001
"35","2014-11-26",16.18
"36","2014-11-28",14.93
"37","2014-12-01",12.14
"38","2014-12-02",12.32
"39","2014-12-03",12.65
"40","2014-12-04",12.77
"41","2014-12-05",12.66
"42","2014-12-08",12.45
"43","2014-12-09",14.25
"44","2014-12-10",13.29
"45","2014-12-11",13.94
"46","2014-12-12",13.2
"47","2014-12-15",12.74
"48","2014-12-16",13.25
"49","2014-12-17",13.23
"50","2014-12-18",13.42
"51","2014-12-19",12.67
"52","2014-12-22",12.83
"53","2014-12-23",13.55
"54","2014-12-24",13.6
"55","2014-12-26",13.86
"56","2014-12-29",14.19
"57","2014-12-30",14.14
"58","2014-12-31",14.17
"59","2015-01-02",14.41
"60","2015-01-05",14.2
"61","2015-01-06",14.08
"62","2015-01-07",13.3
"63","2015-01-08",14
"64","2015-01-09",14.03
"65","2015-01-12",14.7
"66","2015-01-13",14.45
"67","2015-01-14",14.01
"68","2015-01-15",14.26
"69","2015-01-16",14.45
"70","2015-01-20",13.97
"71","2015-01-21",13.79
"72","2015-01-22",13.96
"73","2015-01-23",13.98
"74","2015-01-26",13.79
"75","2015-01-27",13.58
"76","2015-01-28",13
"77","2015-01-29",13.02
"78","2015-01-30",13.06
"79","2015-02-02",13.06
"80","2015-02-03",13
"81","2015-02-04",12.83
"82","2015-02-05",12.89
"83","2015-02-06",12.97
"84","2015-02-09",12.58
"85","2015-02-10",12.87
"86","2015-02-11",13.21
"87","2015-02-12",13.09
"88","2015-02-13",12.78
"89","2015-02-17",12.89
"90","2015-02-18",12.83
"91","2015-02-19",12.9
"92","2015-02-20",13.19
"93","2015-02-23",12.89
"94","2015-02-24",12.89
"95","2015-02-25",12.51
"96","2015-02-26",12.87
"97","2015-02-27",13.21
"98","2015-03-02",12.92
"99","2015-03-03",12.36
"100","2015-03-04",12.26
"101","2015-03-05",12.75
"102","2015-03-06",12.8
"103","2015-03-09",12.905
"104","2015-03-10",12.97
"105","2015-03-11",12.65
"106","2015-03-12",12.74
"107","2015-03-13",12.8
"108","2015-03-16",12.72
"109","2015-03-17",12.62
"110","2015-03-18",12.86
"111","2015-03-19",13.45
"112","2015-03-20",12.6
"113","2015-03-23",12.92
"114","2015-03-24",13.04
"115","2015-03-25",13.37
"116","2015-03-26",13.33
"117","2015-03-27",13.56
"118","2015-03-30",13.92
"119","2015-03-31",13.98
"120","2015-04-01",14.09
"121","2015-04-02",14.04
"122","2015-04-06",14.08
"123","2015-04-07",14.39
"124","2015-04-08",14.64
"125","2015-04-09",14.47
"126","2015-04-10",14.58
"127","2015-04-13",14.5
"128","2015-04-14",14.77
"129","2015-04-15",14.51
"130","2015-04-16",14.6
"131","2015-04-17",14.67
"132","2015-04-20",14.65
"133","2015-04-21",14.5
"134","2015-04-22",14.54
"135","2015-04-23",14.535
"136","2015-04-24",14.5
"137","2015-04-27",14.98
"138","2015-04-28",14.51
"139","2015-04-29",14.54
"140","2015-04-30",14.41
"141","2015-05-01",14.33
"142","2015-05-04",14.68
"143","2015-05-05",15
"144","2015-05-06",14.8
"145","2015-05-07",14.22
"146","2015-05-08",14.18
"147","2015-05-11",13.95
"148","2015-05-12",13.17
"149","2015-05-13",13.52
"150","2015-05-14",14.51
"151","2015-05-15",15.09
"152","2015-05-18",14.76
"153","2015-05-19",14.7
"154","2015-05-20",14.4
"155","2015-05-21",13.97
"156","2015-05-22",14.17
"157","2015-05-26",13.98
"158","2015-05-27",13.59
"159","2015-05-28",13.27
"160","2015-05-29",13.5
"161","2015-06-01",13.01
"162","2015-06-02",13.14
"163","2015-06-03",12.92
"164","2015-06-04",12.64
"165","2015-06-05",12.32
"166","2015-06-08",12.07
"167","2015-06-09",12.59
"168","2015-06-10",12.45
"169","2015-06-11",12.43
"170","2015-06-12",12.5
"171","2015-06-15",13.05
"172","2015-06-16",12.86
"173","2015-06-17",12.89
"174","2015-06-18",12.75
"175","2015-06-19",12.99
"176","2015-06-22",13
"177","2015-06-23",12.79
"178","2015-06-24",12.96
"179","2015-06-25",12.73
"180","2015-06-26",12.2
"181","2015-06-29",11.85
"182","2015-06-30",11.79
"183","2015-07-01",12.03
"184","2015-07-02",11.46
"185","2015-07-06",11.58
"186","2015-07-07",11.6
"187","2015-07-08",11.7
"188","2015-07-09",11.59
