"","date","ATRS"
"1","2007-01-03",1.2
"2","2007-01-04",1.19
"3","2007-01-05",1.2
"4","2007-01-08",1.25
"5","2007-01-09",1.28
"6","2007-01-10",1.25
"7","2007-01-11",1.25
"8","2007-01-12",1.25
"9","2007-01-16",1.23
"10","2007-01-17",1.23
"11","2007-01-18",1.19
"12","2007-01-19",1.2
"13","2007-01-22",1.14
"14","2007-01-23",1.13
"15","2007-01-24",1.15
"16","2007-01-25",1.17
"17","2007-01-26",1.18
"18","2007-01-29",1.21
"19","2007-01-30",1.21
"20","2007-01-31",1.18
"21","2007-02-01",1.22
"22","2007-02-02",1.27
"23","2007-02-05",1.25
"24","2007-02-06",1.23
"25","2007-02-07",1.25
"26","2007-02-08",1.27
"27","2007-02-09",1.24
"28","2007-02-12",1.22
"29","2007-02-13",1.23
"30","2007-02-14",1.22
"31","2007-02-15",1.23
"32","2007-02-16",1.22
"33","2007-02-20",1.21
"34","2007-02-21",1.23
"35","2007-02-22",1.24
"36","2007-02-23",1.25
"37","2007-02-26",1.25
"38","2007-02-27",1.18
"39","2007-02-28",1.17
"40","2007-03-01",1.18
"41","2007-03-02",1.15
"42","2007-03-05",1.11
"43","2007-03-06",1.13
"44","2007-03-07",1.11
"45","2007-03-08",1.24
"46","2007-03-09",1.25
"47","2007-03-12",1.25
"48","2007-03-13",1.23
"49","2007-03-14",1.2
"50","2007-03-15",1.19
"51","2007-03-16",1.17
"52","2007-03-19",1.17
"53","2007-03-20",1.18
"54","2007-03-21",1.19
"55","2007-03-22",1.18
"56","2007-03-23",1.2
"57","2007-03-26",1.18
"58","2007-03-27",1.19
"59","2007-03-28",1.17
"60","2007-03-29",1.19
"61","2007-03-30",1.29
"62","2007-04-02",1.46
"63","2007-04-03",1.5
"64","2007-04-04",1.59
"65","2007-04-05",1.5
"66","2007-04-09",1.55
"67","2007-04-10",1.53
"68","2007-04-11",1.49
"69","2007-04-12",1.45
"70","2007-04-13",1.42
"71","2007-04-16",1.44
"72","2007-04-17",1.47
"73","2007-04-18",1.48
"74","2007-04-19",1.51
"75","2007-04-20",1.51
"76","2007-04-23",1.49
"77","2007-04-24",1.58
"78","2007-04-25",1.57
"79","2007-04-26",1.58
"80","2007-04-27",1.53
"81","2007-04-30",1.5
"82","2007-05-01",1.5
"83","2007-05-02",1.53
"84","2007-05-03",1.5
"85","2007-05-04",1.54
"86","2007-05-07",1.71
"87","2007-05-08",1.71
"88","2007-05-09",1.7
"89","2007-05-10",1.65
"90","2007-05-11",1.74
"91","2007-05-14",1.76
"92","2007-05-15",1.79
