"","date","SFST"
"1","2007-01-03",16.183321
"2","2007-01-04",16.153269
"3","2007-01-05",16.243425
"4","2007-01-08",16.296019
"5","2007-01-09",16.168295
"6","2007-01-10",16.153269
"7","2007-01-11",16.250938
"8","2007-01-12",16.175808
"9","2007-01-16",16.153269
"10","2007-01-17",16.326071
"11","2007-01-18",16.326071
"12","2007-01-19",16.326071
"13","2007-01-22",16.356123
"14","2007-01-23",16.356123
"15","2007-01-24",16.228399
"16","2007-01-25",16.228399
"17","2007-01-26",16.250938
"18","2007-01-29",16.250938
"19","2007-01-30",16.235912
"20","2007-01-31",16.235912
"21","2007-02-01",16.235912
"22","2007-02-02",16.168295
"23","2007-02-05",16.153269
"24","2007-02-06",16.115702
"25","2007-02-07",16.160782
"26","2007-02-08",15.987979
"27","2007-02-09",15.987979
"28","2007-02-12",15.987979
"29","2007-02-13",15.770098
"30","2007-02-14",15.777611
"31","2007-02-15",15.755072
"32","2007-02-16",15.995492
"33","2007-02-20",15.927874
"34","2007-02-21",15.96544
"35","2007-02-22",16.003006
"36","2007-02-23",16.160782
"37","2007-02-26",16.145756
"38","2007-02-27",16.108189
"39","2007-02-28",16.168295
"40","2007-03-01",16.078136
"41","2007-03-02",16.078136
"42","2007-03-05",15.762585
"43","2007-03-06",15.762585
"44","2007-03-07",15.627348
"45","2007-03-08",15.379414
"46","2007-03-09",15.477085
"47","2007-03-12",15.319309
"48","2007-03-13",15.146506
"49","2007-03-14",15.071375
"50","2007-03-15",15.093914
"51","2007-03-16",15.747559
"52","2007-03-19",16.153269
"53","2007-03-20",16.145756
"54","2007-03-21",16.145756
"55","2007-03-22",16.145756
"56","2007-03-23",16.20586
"57","2007-03-26",15.845229
"58","2007-03-27",15.717505
"59","2007-03-28",15.717505
"60","2007-03-29",16.06311
"61","2007-03-30",16.108189
"62","2007-04-02",16.108189
"63","2007-04-03",15.619835
"64","2007-04-04",15.612322
"65","2007-04-05",15.612322
"66","2007-04-09",15.619835
"67","2007-04-10",15.582269
"68","2007-04-11",15.51465
"69","2007-04-12",15.53719
"70","2007-04-13",15.53719
"71","2007-04-16",15.53719
"72","2007-04-17",15.589782
