"","date","ATEX"
"1","2015-02-03",40
"2","2015-02-04",41
"3","2015-02-05",42
"4","2015-02-06",43
"5","2015-02-09",43.970001
"6","2015-02-10",46
"7","2015-02-11",46.950001
"8","2015-02-12",43.907001
"9","2015-02-13",46
"10","2015-02-17",54
"11","2015-02-18",55
"12","2015-02-19",52.669998
"13","2015-02-20",55
"14","2015-02-23",54
"15","2015-02-24",53.790001
"16","2015-02-25",52.639999
"17","2015-02-26",54.5
"18","2015-02-27",54
"19","2015-03-02",50.990002
"20","2015-03-03",50.27
"21","2015-03-04",50
"22","2015-03-05",48.369999
"23","2015-03-06",50
"24","2015-03-09",50
"25","2015-03-10",46.93
"26","2015-03-11",48.490002
"27","2015-03-12",49
"28","2015-03-13",47
"29","2015-03-16",45.470001
"30","2015-03-17",45
"31","2015-03-18",44.990002
"32","2015-03-19",45
"33","2015-03-20",48.290001
"34","2015-03-23",49.900002
"35","2015-03-24",50
"36","2015-03-25",49.689999
"37","2015-03-26",48.25
"38","2015-03-27",48.34
"39","2015-03-30",49.990002
"40","2015-03-31",50
"41","2015-04-01",49.990002
"42","2015-04-02",49.5
"43","2015-04-06",49.990002
"44","2015-04-07",50
"45","2015-04-08",49.990002
"46","2015-04-09",50
"47","2015-04-10",50
"48","2015-04-13",48.810001
"49","2015-04-14",48.990002
"50","2015-04-15",49.990002
"51","2015-04-16",50
"52","2015-04-17",49.5
"53","2015-04-20",49.799999
"54","2015-04-21",50.27
"55","2015-04-22",50.060001
"56","2015-04-23",50.68
"57","2015-04-24",52.959999
"58","2015-04-27",50.23
"59","2015-04-28",49.41
"60","2015-04-29",49.200001
"61","2015-04-30",49.445
"62","2015-05-01",49.16
"63","2015-05-04",49.5
"64","2015-05-05",50
"65","2015-05-06",50
"66","2015-05-07",49.349998
"67","2015-05-08",48.389999
"68","2015-05-11",43.880001
"69","2015-05-12",41.450001
"70","2015-05-13",44.110001
"71","2015-05-14",44.509998
"72","2015-05-15",44.98
"73","2015-05-18",45.259998
"74","2015-05-19",45.5
"75","2015-05-20",48.779999
"76","2015-05-21",48.5
"77","2015-05-22",47.599998
