"","date","PBFS"
"1","2019-07-18",14.75
"2","2019-07-19",14.37
"3","2019-07-22",14.35
"4","2019-07-23",14.54
"5","2019-07-24",14.25
"6","2019-07-25",14.285
"7","2019-07-26",14.32
"8","2019-07-29",14.2
"9","2019-07-30",14.24
"10","2019-07-31",14.4
"11","2019-08-01",14.29
"12","2019-08-02",14.27
"13","2019-08-05",14.045
"14","2019-08-06",14.17
"15","2019-08-07",14.14
"16","2019-08-08",14.19
"17","2019-08-09",14.21
"18","2019-08-12",14.12
"19","2019-08-13",14.13
"20","2019-08-14",13.97
"21","2019-08-15",14
"22","2019-08-16",14.03
"23","2019-08-19",14.03
"24","2019-08-20",14.14
"25","2019-08-21",14.13
"26","2019-08-22",14.25
"27","2019-08-23",14.12
"28","2019-08-26",14.02
"29","2019-08-27",14.05
"30","2019-08-28",14.04
"31","2019-08-29",14.05
"32","2019-08-30",14.02
"33","2019-09-03",14.49
"34","2019-09-04",14.6
"35","2019-09-05",14.69
"36","2019-09-06",14.73
"37","2019-09-09",14.79
"38","2019-09-10",15.02
"39","2019-09-11",15.06
"40","2019-09-12",13.86
"41","2019-09-13",13.9
"42","2019-09-16",13.54
"43","2019-09-17",13.6
"44","2019-09-18",13.42
"45","2019-09-19",13.36
"46","2019-09-20",12.99
"47","2019-09-23",12.97
"48","2019-09-24",12.85
"49","2019-09-25",12.99
"50","2019-09-26",12.69
"51","2019-09-27",12.67
"52","2019-09-30",12.49
"53","2019-10-01",12.35
"54","2019-10-02",12.64
"55","2019-10-03",12.79
"56","2019-10-04",12.64
"57","2019-10-07",12.62
"58","2019-10-08",12.64
"59","2019-10-09",12.65
"60","2019-10-10",12.68
"61","2019-10-11",12.72
"62","2019-10-14",12.72
"63","2019-10-15",12.89
"64","2019-10-16",12.92
"65","2019-10-17",12.92
"66","2019-10-18",12.98
"67","2019-10-21",13
"68","2019-10-22",13.54
"69","2019-10-23",13.43
"70","2019-10-24",13.18
"71","2019-10-25",13.36
"72","2019-10-28",13.45
"73","2019-10-29",13.5
"74","2019-10-30",13.44
"75","2019-10-31",13.5
"76","2019-11-01",13.26
"77","2019-11-04",13.27
"78","2019-11-05",13.44
"79","2019-11-06",13.45
"80","2019-11-07",13.4
"81","2019-11-08",13.4
"82","2019-11-11",13.39
"83","2019-11-12",13.4
"84","2019-11-13",13.35
"85","2019-11-14",13.01
"86","2019-11-15",13.14
"87","2019-11-18",13.25
"88","2019-11-19",13.23
"89","2019-11-20",13.15
"90","2019-11-21",13.13
"91","2019-11-22",13.11
"92","2019-11-25",13.12
"93","2019-11-26",13.1
"94","2019-11-27",13.05
"95","2019-11-29",13.28
"96","2019-12-02",13.49
"97","2019-12-03",13.5
"98","2019-12-04",13.57
"99","2019-12-05",13.62
"100","2019-12-06",13.81
"101","2019-12-09",13.61
"102","2019-12-10",13.67
"103","2019-12-11",13.64
"104","2019-12-12",13.96
"105","2019-12-13",14.2
"106","2019-12-16",14.74
"107","2019-12-17",14.7
"108","2019-12-18",15.01
"109","2019-12-19",15
"110","2019-12-20",15.01
"111","2019-12-23",14.99
"112","2019-12-24",15.02
"113","2019-12-26",15
"114","2019-12-27",15.17
"115","2019-12-30",15.11
"116","2019-12-31",15.31
"117","2020-01-02",15.24
"118","2020-01-03",15.23
"119","2020-01-06",14.94
"120","2020-01-07",14.58
"121","2020-01-08",14.91
"122","2020-01-09",15.08
"123","2020-01-10",15.05
"124","2020-01-13",15
"125","2020-01-14",14.83
"126","2020-01-15",14.88
"127","2020-01-16",14.95
"128","2020-01-17",15
"129","2020-01-21",15
"130","2020-01-22",14.88
"131","2020-01-23",14.94
"132","2020-01-24",14.93
"133","2020-01-27",15.03
"134","2020-01-28",14.94
"135","2020-01-29",14.94
"136","2020-01-30",15
"137","2020-01-31",14.68
"138","2020-02-03",14.95
"139","2020-02-04",14.95
"140","2020-02-05",15.2
"141","2020-02-06",15.16
"142","2020-02-07",14.91
"143","2020-02-10",14.75
"144","2020-02-11",14.87
"145","2020-02-12",14.92
"146","2020-02-13",14.86
