"","date","IPLDP"
"1","2013-03-18",24.93
"2","2013-03-19",24.98
"3","2013-03-20",25.049999
"4","2013-03-21",25
"5","2013-03-22",25.1
"6","2013-03-25",25.08
"7","2013-03-26",25.09
"8","2013-03-27",25.120001
"9","2013-03-28",25.23
"10","2013-04-01",25.299999
"11","2013-04-02",25.32
"12","2013-04-03",25.299999
"13","2013-04-04",25.33
"14","2013-04-05",25.379999
"15","2013-04-08",25.549999
"16","2013-04-09",25.57
"17","2013-04-10",25.59
"18","2013-04-11",25.530001
"19","2013-04-12",25.700001
"20","2013-04-15",25.65
"21","2013-04-16",25.73
"22","2013-04-17",25.809999
"23","2013-04-18",25.74
"24","2013-04-19",25.52
"25","2013-04-22",25.559999
"26","2013-04-23",25.41
"27","2013-04-24",25.48
"28","2013-04-25",25.57
"29","2013-04-26",25.620001
"30","2013-04-29",25.57
"31","2013-04-30",25.530001
"32","2013-05-01",25.59
"33","2013-05-02",25.620001
"34","2013-05-03",25.6
"35","2013-05-06",25.65
"36","2013-05-07",25.98
"37","2013-05-08",26.1
"38","2013-05-09",26
"39","2013-05-10",25.99
"40","2013-05-13",26
"41","2013-05-14",25.9
"42","2013-05-15",25.75
"43","2013-05-16",25.969999
"44","2013-05-17",26
"45","2013-05-20",25.950001
"46","2013-05-21",25.870001
"47","2013-05-22",25.780001
"48","2013-05-23",25.9
"49","2013-05-24",25.969999
"50","2013-05-28",25.969999
"51","2013-05-29",25.5
"52","2013-05-30",25.469999
"53","2013-05-31",25.15
"54","2013-06-03",24.959999
"55","2013-06-04",25
"56","2013-06-05",24.68
"57","2013-06-06",24.76
"58","2013-06-07",24.91
"59","2013-06-10",24.91
"60","2013-06-11",24.200001
"61","2013-06-12",23.860001
"62","2013-06-13",23.9
"63","2013-06-14",24.18
"64","2013-06-17",24.389999
"65","2013-06-18",24.309999
"66","2013-06-19",24
"67","2013-06-20",23.35
"68","2013-06-21",23.07
"69","2013-06-24",22.959999
"70","2013-06-25",23
"71","2013-06-26",23.309999
"72","2013-06-27",23.530001
"73","2013-06-28",23.549999
"74","2013-07-01",23.5
"75","2013-07-02",23.629999
"76","2013-07-03",23.49
"77","2013-07-05",22.93
"78","2013-07-08",22.879999
"79","2013-07-09",22.940001
"80","2013-07-10",23.17
"81","2013-07-11",23.33
"82","2013-07-12",23.4
"83","2013-07-15",23.200001
"84","2013-07-16",23.25
"85","2013-07-17",23.549999
"86","2013-07-18",23.360001
"87","2013-07-19",23.629999
"88","2013-07-22",23.76
"89","2013-07-23",23.860001
"90","2013-07-24",23.73
"91","2013-07-25",23.450001
"92","2013-07-26",23.450001
"93","2013-07-29",23.120001
"94","2013-07-30",23.120001
"95","2013-07-31",23.15
"96","2013-08-01",22.85
"97","2013-08-02",22.9
"98","2013-08-05",22.200001
"99","2013-08-06",22.200001
"100","2013-08-07",22.1
"101","2013-08-08",22.01
"102","2013-08-09",22.35
"103","2013-08-12",22.219999
"104","2013-08-13",21.51
"105","2013-08-14",21.290001
"106","2013-08-15",21.15
"107","2013-08-16",20.889999
"108","2013-08-19",20.41
"109","2013-08-20",20.700001
"110","2013-08-21",20.6
"111","2013-08-22",20.780001
"112","2013-08-23",21.01
"113","2013-08-26",21.049999
"114","2013-08-27",21.25
"115","2013-08-28",20.709999
"116","2013-08-29",20.92
"117","2013-08-30",20.93
"118","2013-09-03",20.719999
"119","2013-09-04",20.77
"120","2013-09-05",20.58
"121","2013-09-06",20.959999
"122","2013-09-09",20.799999
"123","2013-09-10",20.83
"124","2013-09-11",20.870001
"125","2013-09-12",20.780001
"126","2013-09-13",21.08
"127","2013-09-16",20.969999
"128","2013-09-17",20.860001
"129","2013-09-18",20.969999
"130","2013-09-19",21.049999
"131","2013-09-20",20.950001
"132","2013-09-23",20.889999
"133","2013-09-24",20.99
"134","2013-09-25",20.99
"135","2013-09-26",21.110001
"136","2013-09-27",21.139999
"137","2013-09-30",21.190001
"138","2013-10-01",21.110001
"139","2013-10-02",21.02
"140","2013-10-03",21.01
"141","2013-10-04",21.110001
"142","2013-10-07",21.07
"143","2013-10-08",21.040001
"144","2013-10-09",21.26
"145","2013-10-10",21.120001
"146","2013-10-11",21.15
"147","2013-10-14",21.16
"148","2013-10-15",20.98
"149","2013-10-16",21.030001
"150","2013-10-17",21.18
"151","2013-10-18",21.08
"152","2013-10-21",21.290001
"153","2013-10-22",21.58
"154","2013-10-23",21.73
"155","2013-10-24",21.690001
"156","2013-10-25",21.59
"157","2013-10-28",21.370001
"158","2013-10-29",21.68
"159","2013-10-30",21.67
"160","2013-10-31",21.629999
"161","2013-11-01",21.52
"162","2013-11-04",21.66
"163","2013-11-05",21.77
"164","2013-11-06",21.700001
"165","2013-11-07",21.73
"166","2013-11-08",21.620001
"167","2013-11-11",21.540001
"168","2013-11-12",21.32
"169","2013-11-13",21.139999
"170","2013-11-14",21.040001
"171","2013-11-15",21.219999
"172","2013-11-18",21.139999
"173","2013-11-19",21.200001
"174","2013-11-20",21.18
"175","2013-11-21",21.32
