"","date","ELVT"
"1","2017-04-06",7.76
"2","2017-04-07",7.4
"3","2017-04-10",7.68
"4","2017-04-11",7.73
"5","2017-04-12",7.7
"6","2017-04-13",7.59
"7","2017-04-17",8.08
"8","2017-04-18",8.05
"9","2017-04-19",8.16
"10","2017-04-20",8.29
"11","2017-04-21",8.11
"12","2017-04-24",8.24
"13","2017-04-25",8.67
"14","2017-04-26",8.45
"15","2017-04-27",8.14
"16","2017-04-28",8.25
"17","2017-05-01",8
"18","2017-05-02",7.64
"19","2017-05-03",7.65
"20","2017-05-04",7.83
"21","2017-05-05",7.98
"22","2017-05-08",7.93
"23","2017-05-09",8.05
"24","2017-05-10",7.99
"25","2017-05-11",8.08
"26","2017-05-12",7.99
"27","2017-05-15",7.85
"28","2017-05-16",7.88
"29","2017-05-17",7.81
"30","2017-05-18",7.54
"31","2017-05-19",7.48
"32","2017-05-22",7.64
"33","2017-05-23",7.49
"34","2017-05-24",7.59
"35","2017-05-25",7.3
"36","2017-05-26",7.19
"37","2017-05-30",7.14
"38","2017-05-31",7
"39","2017-06-01",7.19
"40","2017-06-02",7.1
"41","2017-06-05",7.1
"42","2017-06-06",7.31
"43","2017-06-07",7.33
"44","2017-06-08",7.44
"45","2017-06-09",7.5
"46","2017-06-12",7.75
"47","2017-06-13",8.17
"48","2017-06-14",8.46
"49","2017-06-15",8.7
"50","2017-06-16",8.38
"51","2017-06-19",8.19
"52","2017-06-20",8.09
"53","2017-06-21",8.29
"54","2017-06-22",7.84
"55","2017-06-23",8.04
"56","2017-06-26",8.25
"57","2017-06-27",8.18
"58","2017-06-28",8.23
"59","2017-06-29",8.05
"60","2017-06-30",7.92
"61","2017-07-03",7.9
"62","2017-07-05",7.8
"63","2017-07-06",7.88
"64","2017-07-07",8.07
"65","2017-07-10",8.06
"66","2017-07-11",8.21
"67","2017-07-12",8.44
"68","2017-07-13",8.65
"69","2017-07-14",9.38
"70","2017-07-17",8.94
"71","2017-07-18",8.63
"72","2017-07-19",8.59
"73","2017-07-20",8.21
"74","2017-07-21",8.1
"75","2017-07-24",8.33
"76","2017-07-25",8.44
"77","2017-07-26",8.31
"78","2017-07-27",8.21
"79","2017-07-28",8.31
"80","2017-07-31",8.23
"81","2017-08-01",8.07
"82","2017-08-02",8.04
"83","2017-08-03",8.01
"84","2017-08-04",7.93
"85","2017-08-07",7.55
"86","2017-08-08",7.42
"87","2017-08-09",7.22
"88","2017-08-10",7.09
"89","2017-08-11",7.02
"90","2017-08-14",7.17
"91","2017-08-15",7.18
"92","2017-08-16",7.02
"93","2017-08-17",6.75
"94","2017-08-18",6.71
"95","2017-08-21",6.6
"96","2017-08-22",6.47
"97","2017-08-23",6.21
"98","2017-08-24",6.47
"99","2017-08-25",6.32
"100","2017-08-28",6.42
"101","2017-08-29",6.1
"102","2017-08-30",6.31
"103","2017-08-31",6.33
"104","2017-09-01",6.29
"105","2017-09-05",6.12
"106","2017-09-06",6.46
"107","2017-09-07",6.18
"108","2017-09-08",6.11
"109","2017-09-11",6.19
"110","2017-09-12",6.15
"111","2017-09-13",6.15
"112","2017-09-14",6.07
"113","2017-09-15",6.08
"114","2017-09-18",6.22
"115","2017-09-19",6.04
"116","2017-09-20",6
"117","2017-09-21",6.18
"118","2017-09-22",6.14
"119","2017-09-25",6.03
"120","2017-09-26",6.09
"121","2017-09-27",6.24
"122","2017-09-28",6.26
"123","2017-09-29",6.11
"124","2017-10-02",6.27
"125","2017-10-03",6.06
"126","2017-10-04",6.31
"127","2017-10-05",6.55
"128","2017-10-06",7.26
"129","2017-10-09",7.15
"130","2017-10-10",7.25
"131","2017-10-11",7.29
"132","2017-10-12",7.25
"133","2017-10-13",7.37
"134","2017-10-16",7.26
