"","date","AXLA"
"1","2019-05-09",13.8
"2","2019-05-10",13.92
"3","2019-05-13",13.95
"4","2019-05-14",14.09
"5","2019-05-15",13.75
"6","2019-05-16",13.87
"7","2019-05-17",13.8
"8","2019-05-20",14.06
"9","2019-05-21",14.4
"10","2019-05-22",14.28
"11","2019-05-23",14
"12","2019-05-24",14.18
"13","2019-05-28",14.2
"14","2019-05-29",13.71
"15","2019-05-30",14.2
"16","2019-05-31",14.27
"17","2019-06-03",14.77
"18","2019-06-04",14.95
"19","2019-06-05",14.92
"20","2019-06-06",14.4
"21","2019-06-07",14.17
"22","2019-06-10",13.18
"23","2019-06-11",12.87
"24","2019-06-12",12.62
"25","2019-06-13",12.82
"26","2019-06-14",10.96
"27","2019-06-17",9.95
"28","2019-06-18",9.82
"29","2019-06-19",10.1
"30","2019-06-20",10.08
"31","2019-06-21",9.95
"32","2019-06-24",9.93
"33","2019-06-25",9.2
"34","2019-06-26",8.51
"35","2019-06-27",9.12
"36","2019-06-28",9.31
"37","2019-07-01",8.7
"38","2019-07-02",8.75
"39","2019-07-03",9.04
"40","2019-07-05",9.26
"41","2019-07-08",8.79
"42","2019-07-09",8.15
"43","2019-07-10",8.31
"44","2019-07-11",8.21
"45","2019-07-12",7.89
"46","2019-07-15",7.9
"47","2019-07-16",7.88
"48","2019-07-17",7.77
"49","2019-07-18",8.11
"50","2019-07-19",7.71
"51","2019-07-22",7.36
"52","2019-07-23",7.52
"53","2019-07-24",7.32
"54","2019-07-25",7.48
"55","2019-07-26",8.08
"56","2019-07-29",8.28
"57","2019-07-30",8.21
"58","2019-07-31",8.48
"59","2019-08-01",7.07
"60","2019-08-02",7.42
"61","2019-08-05",7.08
"62","2019-08-06",7.75
"63","2019-08-07",7.5
"64","2019-08-08",7.56
"65","2019-08-09",7.26
"66","2019-08-12",7
"67","2019-08-13",7.68
"68","2019-08-14",7.94
"69","2019-08-15",7.6
"70","2019-08-16",7.91
"71","2019-08-19",7.94
"72","2019-08-20",7.92
"73","2019-08-21",8.11
"74","2019-08-22",7.91
"75","2019-08-23",7.79
"76","2019-08-26",7.9
"77","2019-08-27",7.815
"78","2019-08-28",7.73
"79","2019-08-29",7.16
"80","2019-08-30",6.93
"81","2019-09-03",7
"82","2019-09-04",7.24
"83","2019-09-05",6.9
"84","2019-09-06",7.2
"85","2019-09-09",7.2
"86","2019-09-10",7.1
"87","2019-09-11",6.85
"88","2019-09-12",6.9
"89","2019-09-13",6.76
"90","2019-09-16",6.77
"91","2019-09-17",6.4
"92","2019-09-18",6.19
"93","2019-09-19",6.2
"94","2019-09-20",6.29
"95","2019-09-23",5.95
"96","2019-09-24",5.47
"97","2019-09-25",5.4
"98","2019-09-26",5.31
"99","2019-09-27",5.25
"100","2019-09-30",5.66
"101","2019-10-01",5.32
"102","2019-10-02",5.3
"103","2019-10-03",5.645
"104","2019-10-04",5.3
"105","2019-10-07",5.1
"106","2019-10-08",5.3
"107","2019-10-09",5.41
"108","2019-10-10",5.52
"109","2019-10-11",5.65
"110","2019-10-14",5.48
"111","2019-10-15",5.75
"112","2019-10-16",5.23
"113","2019-10-17",5.24
"114","2019-10-18",5.15
"115","2019-10-21",5.25
"116","2019-10-22",5.25
"117","2019-10-23",5.25
"118","2019-10-24",5.25
"119","2019-10-25",5
"120","2019-10-28",5
"121","2019-10-29",4.9
"122","2019-10-30",5
"123","2019-10-31",5.29
"124","2019-11-01",5.55
"125","2019-11-04",5
"126","2019-11-05",5.9
"127","2019-11-06",5.1
"128","2019-11-07",4.76
"129","2019-11-08",4.5
"130","2019-11-11",4.22
"131","2019-11-12",3.95
"132","2019-11-13",3.83
"133","2019-11-14",3.58
"134","2019-11-15",3.5
"135","2019-11-18",3.08
"136","2019-11-19",3.38
"137","2019-11-20",3.56
"138","2019-11-21",3.35
"139","2019-11-22",3.43
"140","2019-11-25",3.43
"141","2019-11-26",3.58
"142","2019-11-27",3.97
"143","2019-11-29",4
"144","2019-12-02",4.36
"145","2019-12-03",4.7
"146","2019-12-04",4.62
"147","2019-12-05",4.49
"148","2019-12-06",3.59
"149","2019-12-09",3.5
"150","2019-12-10",3.49
"151","2019-12-11",3.535
"152","2019-12-12",3.55
"153","2019-12-13",3.48
"154","2019-12-16",3.36
"155","2019-12-17",3.41
"156","2019-12-18",3.4
"157","2019-12-19",3.39
"158","2019-12-20",3.41
"159","2019-12-23",3.45
"160","2019-12-24",3.56
"161","2019-12-26",4.1
"162","2019-12-27",3.83
"163","2019-12-30",3.7
"164","2019-12-31",4.01
"165","2020-01-02",4.12
"166","2020-01-03",3.92
"167","2020-01-06",3.97
"168","2020-01-07",4.09
"169","2020-01-08",4.58
"170","2020-01-09",4.98
"171","2020-01-10",4.99
"172","2020-01-13",4.9
"173","2020-01-14",4.67
"174","2020-01-15",4.57
"175","2020-01-16",4.88
"176","2020-01-17",4.98
"177","2020-01-21",5.06
"178","2020-01-22",5.08
"179","2020-01-23",5.08
"180","2020-01-24",5.09
"181","2020-01-27",5.24
"182","2020-01-28",5.21
"183","2020-01-29",5.07
"184","2020-01-30",4.85
"185","2020-01-31",4.84
"186","2020-02-03",4.85
"187","2020-02-04",4.75
"188","2020-02-05",4.84
"189","2020-02-06",4.91
"190","2020-02-07",4.85
"191","2020-02-10",4.71
"192","2020-02-11",4.66
"193","2020-02-12",4.72
"194","2020-02-13",4.68
"195","2020-02-14",4.64
"196","2020-02-18",4.61
"197","2020-02-19",4.62
"198","2020-02-20",4.75
"199","2020-02-21",4.95
"200","2020-02-24",4.6
"201","2020-02-25",4.54
"202","2020-02-26",3.73
"203","2020-02-27",3.63
"204","2020-02-28",3.765
"205","2020-03-02",3.8
"206","2020-03-03",3.38
"207","2020-03-04",3.45
"208","2020-03-05",3.58
"209","2020-03-06",3.76
"210","2020-03-09",3.31
"211","2020-03-10",3.27
"212","2020-03-11",3.32
"213","2020-03-12",2.86
"214","2020-03-13",3.08
"215","2020-03-16",2.49
"216","2020-03-17",2.4
"217","2020-03-18",2.25
"218","2020-03-19",2.39
"219","2020-03-20",3
"220","2020-03-23",2.7
"221","2020-03-24",2.95
"222","2020-03-25",2.8
"223","2020-03-26",2.98
"224","2020-03-27",2.61
"225","2020-03-30",3.4
"226","2020-03-31",3.42
"227","2020-04-01",2.94
"228","2020-04-02",3.24
"229","2020-04-03",3.38
"230","2020-04-06",3.5
"231","2020-04-07",3.42
"232","2020-04-08",3.46
"233","2020-04-09",3.49
"234","2020-04-13",3.42
"235","2020-04-14",3.44
"236","2020-04-15",3.25
"237","2020-04-16",3.47
"238","2020-04-17",3.5
"239","2020-04-20",3.8
"240","2020-04-21",3.92
"241","2020-04-22",4.18
"242","2020-04-23",4.38
"243","2020-04-24",4.37
"244","2020-04-27",4.9
"245","2020-04-28",4.72
"246","2020-04-29",4.88
"247","2020-04-30",4.66
"248","2020-05-01",4.83
"249","2020-05-04",4.78
"250","2020-05-05",4.86
"251","2020-05-06",5.65
"252","2020-05-07",6.7
"253","2020-05-08",7.33
"254","2020-05-11",7.7
"255","2020-05-12",5.99
"256","2020-05-13",5.34
"257","2020-05-14",4.39
"258","2020-05-15",3.97
"259","2020-05-18",4.11
"260","2020-05-19",4.22
"261","2020-05-20",4.2
"262","2020-05-21",5.25
"263","2020-05-22",6.2
"264","2020-05-26",5.45
"265","2020-05-27",5.17
"266","2020-05-28",5.67
"267","2020-05-29",6
"268","2020-06-01",6.03
"269","2020-06-02",5.96
"270","2020-06-03",5.79
"271","2020-06-04",5.5
"272","2020-06-05",5.33
"273","2020-06-08",5.59
"274","2020-06-09",5.63
"275","2020-06-10",5.32
"276","2020-06-11",4.83
"277","2020-06-12",5.02
"278","2020-06-15",5.44
"279","2020-06-16",5.39
"280","2020-06-17",5.53
"281","2020-06-18",5.75
"282","2020-06-19",5.83
"283","2020-06-22",5.7
"284","2020-06-23",5.39
"285","2020-06-24",5
"286","2020-06-25",5.29
"287","2020-06-26",5.08
"288","2020-06-29",5.22
"289","2020-06-30",5.53
"290","2020-07-01",5.48
"291","2020-07-02",5.29
"292","2020-07-06",5.08
"293","2020-07-07",5.04
"294","2020-07-08",5.15
"295","2020-07-09",5.14
"296","2020-07-10",5.09
"297","2020-07-13",4.49
"298","2020-07-14",4.29
"299","2020-07-15",4.435
"300","2020-07-16",4.69
"301","2020-07-17",5.11
"302","2020-07-20",4.95
"303","2020-07-21",4.8
"304","2020-07-22",4.62
"305","2020-07-23",4.51
"306","2020-07-24",4.41
"307","2020-07-27",4.2
"308","2020-07-28",4.5
"309","2020-07-29",4.51
"310","2020-07-30",4.61
"311","2020-07-31",4.49
"312","2020-08-03",4.98
"313","2020-08-04",5.22
"314","2020-08-05",5.3
"315","2020-08-06",5.23
"316","2020-08-07",5.155
"317","2020-08-10",5.24
"318","2020-08-11",5.48
"319","2020-08-12",5.89
"320","2020-08-13",5.43
"321","2020-08-14",5.71
"322","2020-08-17",5.91
"323","2020-08-18",5.76
"324","2020-08-19",5.73
"325","2020-08-20",5.69
"326","2020-08-21",5.32
"327","2020-08-24",5.25
"328","2020-08-25",5.34
"329","2020-08-26",5.32
"330","2020-08-27",5.17
"331","2020-08-28",5.075
"332","2020-08-31",5
"333","2020-09-01",4.89
"334","2020-09-02",4.67
"335","2020-09-03",4.48
"336","2020-09-04",4.42
"337","2020-09-08",4.67
"338","2020-09-09",4.68
"339","2020-09-10",4.68
"340","2020-09-11",4.55
"341","2020-09-14",4.86
"342","2020-09-15",4.73
"343","2020-09-16",4.725
"344","2020-09-17",4.775
"345","2020-09-18",4.81
"346","2020-09-21",4.66
"347","2020-09-22",4.7
"348","2020-09-23",4.29
"349","2020-09-24",4.12
"350","2020-09-25",4.71
"351","2020-09-28",4.64
"352","2020-09-29",4.69
"353","2020-09-30",4.62
"354","2020-10-01",4.7
"355","2020-10-02",4.71
"356","2020-10-05",4.83
"357","2020-10-06",4.79
"358","2020-10-07",4.96
"359","2020-10-08",5.06
"360","2020-10-09",4.93
"361","2020-10-12",4.93
"362","2020-10-13",5.07
"363","2020-10-14",4.94
"364","2020-10-15",4.84
"365","2020-10-16",4.82
"366","2020-10-19",4.62
"367","2020-10-20",4.53
"368","2020-10-21",4.47
"369","2020-10-22",4.5
"370","2020-10-23",4.45
"371","2020-10-26",4.43
"372","2020-10-27",4.75
"373","2020-10-28",4.4
"374","2020-10-29",4.42
"375","2020-10-30",4.24
"376","2020-11-02",4.51
"377","2020-11-03",4.63
"378","2020-11-04",4.81
"379","2020-11-05",4.75
"380","2020-11-06",4.61
"381","2020-11-09",4.79
"382","2020-11-10",5.04
"383","2020-11-11",5.33
"384","2020-11-12",5.15
"385","2020-11-13",5.29
"386","2020-11-16",5.33
"387","2020-11-17",5.21
"388","2020-11-18",5.28
"389","2020-11-19",5.41
"390","2020-11-20",5.35
"391","2020-11-23",5.39
"392","2020-11-24",5.97
"393","2020-11-25",5.65
"394","2020-11-27",5.74
