"","date","SUPN"
"1","2012-05-01",5.37
"2","2012-05-02",5.74
"3","2012-05-03",6.06
"4","2012-05-04",5.97
"5","2012-05-07",6.35
"6","2012-05-08",6.69
"7","2012-05-09",6.71
"8","2012-05-10",6.7
"9","2012-05-11",6.5
"10","2012-05-14",6.54
"11","2012-05-15",6.31
"12","2012-05-16",6.11
"13","2012-05-17",5.8
"14","2012-05-18",6.3
"15","2012-05-21",5.54
"16","2012-05-22",5.5
"17","2012-05-23",5.99
"18","2012-05-24",5.98
"19","2012-05-25",5.94
"20","2012-05-29",6.05
"21","2012-05-30",5.69
"22","2012-05-31",5.49
"23","2012-06-01",5.43
"24","2012-06-04",5
"25","2012-06-05",4.65
"26","2012-06-06",4.8
"27","2012-06-07",5.24
"28","2012-06-08",5.07
"29","2012-06-11",4.93
"30","2012-06-12",4.93
"31","2012-06-13",5
"32","2012-06-14",5.09
"33","2012-06-15",5.01
"34","2012-06-18",5.14
"35","2012-06-19",5.1
"36","2012-06-20",5.05
"37","2012-06-21",5.07
"38","2012-06-22",5.15
"39","2012-06-25",5.71
"40","2012-06-26",12.23
"41","2012-06-27",11.48
"42","2012-06-28",10.3
"43","2012-06-29",9.36
"44","2012-07-02",9.9
"45","2012-07-03",9.77
"46","2012-07-05",9.66
"47","2012-07-06",12.05
"48","2012-07-09",11.51
"49","2012-07-10",12.01
"50","2012-07-11",11.79
"51","2012-07-12",11.1
"52","2012-07-13",10.3
"53","2012-07-16",9.88
"54","2012-07-17",10.69
"55","2012-07-18",14.64
"56","2012-07-19",14.86
"57","2012-07-20",13.26
"58","2012-07-23",11.67
"59","2012-07-24",12.5
"60","2012-07-25",12.67
"61","2012-07-26",12.89
"62","2012-07-27",12.94
"63","2012-07-30",12.97
"64","2012-07-31",12.23
"65","2012-08-01",11.98
"66","2012-08-02",11.31
"67","2012-08-03",11.81
"68","2012-08-06",11.78
"69","2012-08-07",12.25
"70","2012-08-08",12.55
"71","2012-08-09",12.92
"72","2012-08-10",12.48
"73","2012-08-13",13.23
"74","2012-08-14",12.47
"75","2012-08-15",12.82
"76","2012-08-16",12.5
"77","2012-08-17",12.38
"78","2012-08-20",12.35
"79","2012-08-21",12.36
"80","2012-08-22",12.35
"81","2012-08-23",11.87
"82","2012-08-24",11.38
"83","2012-08-27",11.78
"84","2012-08-28",12.25
"85","2012-08-29",12.37
"86","2012-08-30",12.29
"87","2012-08-31",12.28
"88","2012-09-04",12.2
"89","2012-09-05",12.33
"90","2012-09-06",12.3
"91","2012-09-07",12.13
"92","2012-09-10",11.85
"93","2012-09-11",11.86
"94","2012-09-12",11.76
"95","2012-09-13",11.65
"96","2012-09-14",11.43
"97","2012-09-17",11.3
"98","2012-09-18",10.96
"99","2012-09-19",10.61
"100","2012-09-20",9.77
"101","2012-09-21",11.58
"102","2012-09-24",11.06
"103","2012-09-25",11.17
"104","2012-09-26",11.41
"105","2012-09-27",11.35
"106","2012-09-28",11.55
"107","2012-10-01",11.74
"108","2012-10-02",11.71
"109","2012-10-03",11.81
"110","2012-10-04",12.6
"111","2012-10-05",12.85
"112","2012-10-08",12.84
"113","2012-10-09",12.77
"114","2012-10-10",12.68
"115","2012-10-11",12.87
"116","2012-10-12",12.88
"117","2012-10-15",12.96
"118","2012-10-16",12.66
"119","2012-10-17",13.23
"120","2012-10-18",12.83
"121","2012-10-19",12.97
"122","2012-10-22",12.91
"123","2012-10-23",12.27
"124","2012-10-24",11.43
"125","2012-10-25",11.54
"126","2012-10-26",10.95
"127","2012-10-31",11.47
"128","2012-11-01",11.67
"129","2012-11-02",11.55
"130","2012-11-05",12
"131","2012-11-06",12.49
"132","2012-11-07",11.95
"133","2012-11-08",12
"134","2012-11-09",12.19
"135","2012-11-12",12.65
"136","2012-11-13",12.65
"137","2012-11-14",11.54
"138","2012-11-15",12.65
"139","2012-11-16",12.23
"140","2012-11-19",12.58
"141","2012-11-20",12.72
"142","2012-11-21",11.59
"143","2012-11-23",12.05
"144","2012-11-26",11.39
"145","2012-11-27",10.97
"146","2012-11-28",10.96
"147","2012-11-29",9.83
"148","2012-11-30",7.99
"149","2012-12-03",8
"150","2012-12-04",7.88
"151","2012-12-05",7.83
"152","2012-12-06",7.86
"153","2012-12-07",7.81
"154","2012-12-10",7.93
"155","2012-12-11",7.77
"156","2012-12-12",7.78
"157","2012-12-13",7.19
"158","2012-12-14",7.41
"159","2012-12-17",6.91
"160","2012-12-18",7.39
"161","2012-12-19",7.2
"162","2012-12-20",7.26
"163","2012-12-21",7.11
"164","2012-12-24",7.3
"165","2012-12-26",7.13
"166","2012-12-27",7.16
"167","2012-12-28",7.11
"168","2012-12-31",7.17
"169","2013-01-02",7.29
"170","2013-01-03",7.15
"171","2013-01-04",7.22
"172","2013-01-07",7.17
"173","2013-01-08",7.18
"174","2013-01-09",7.31
"175","2013-01-10",7.17
"176","2013-01-11",7.08
"177","2013-01-14",7.16
"178","2013-01-15",7.25
"179","2013-01-16",7.11
"180","2013-01-17",7.14
"181","2013-01-18",7.35
"182","2013-01-22",7.73
"183","2013-01-23",7.58
"184","2013-01-24",7.43
"185","2013-01-25",7.48
"186","2013-01-28",7.7
"187","2013-01-29",7.54
"188","2013-01-30",7.7
"189","2013-01-31",7.67
"190","2013-02-01",7.76
"191","2013-02-04",7.86
"192","2013-02-05",7.9
"193","2013-02-06",7.89
"194","2013-02-07",7.62
"195","2013-02-08",7.47
"196","2013-02-11",7.65
"197","2013-02-12",7.52
"198","2013-02-13",7.52
"199","2013-02-14",7.56
"200","2013-02-15",7.5
"201","2013-02-19",7.46
"202","2013-02-20",7.46
"203","2013-02-21",7.39
"204","2013-02-22",7.4
"205","2013-02-25",7.47
"206","2013-02-26",7.52
"207","2013-02-27",7.65
"208","2013-02-28",7.66
"209","2013-03-01",7.45
"210","2013-03-04",7.48
"211","2013-03-05",7.73
"212","2013-03-06",7.78
"213","2013-03-07",7.87
"214","2013-03-08",7.85
"215","2013-03-11",7.66
"216","2013-03-12",7.33
"217","2013-03-13",7.16
"218","2013-03-14",6.9
"219","2013-03-15",5.54
"220","2013-03-18",5
"221","2013-03-19",4.99
"222","2013-03-20",5.5
"223","2013-03-21",5.55
"224","2013-03-22",5.82
"225","2013-03-25",5.88
"226","2013-03-26",5.56
"227","2013-03-27",5.62
"228","2013-03-28",5.62
"229","2013-04-01",5.34
"230","2013-04-02",5.33
"231","2013-04-03",5.17
"232","2013-04-04",5.06
"233","2013-04-05",5.45
"234","2013-04-08",5.41
"235","2013-04-09",5.34
"236","2013-04-10",5.35
"237","2013-04-11",5.4
"238","2013-04-12",5.35
"239","2013-04-15",5.27
"240","2013-04-16",5.32
"241","2013-04-17",5.2
"242","2013-04-18",5.26
"243","2013-04-19",5.3
"244","2013-04-22",5.2
"245","2013-04-23",5.23
"246","2013-04-24",5.19
"247","2013-04-25",4.51
"248","2013-04-26",4.95
"249","2013-04-29",5.15
"250","2013-04-30",5.14
"251","2013-05-01",4.99
"252","2013-05-02",5.09
"253","2013-05-03",5.15
"254","2013-05-06",5.12
"255","2013-05-07",5.5
"256","2013-05-08",5.4
"257","2013-05-09",5.15
"258","2013-05-10",4.9
"259","2013-05-13",5.12
"260","2013-05-14",5.39
"261","2013-05-15",5.48
"262","2013-05-16",5.84
"263","2013-05-17",6
"264","2013-05-20",6.26
"265","2013-05-21",6.3
"266","2013-05-22",6.6
"267","2013-05-23",6.65
"268","2013-05-24",6.86
"269","2013-05-28",6.87
"270","2013-05-29",6.97
"271","2013-05-30",6.9
"272","2013-05-31",6.91
"273","2013-06-03",7
"274","2013-06-04",7.09
"275","2013-06-05",6.96
"276","2013-06-06",6.79
"277","2013-06-07",6.82
"278","2013-06-10",6.85
"279","2013-06-11",6.8
"280","2013-06-12",6.58
"281","2013-06-13",6.48
"282","2013-06-14",6.31
"283","2013-06-17",6.65
"284","2013-06-18",6.67
"285","2013-06-19",6.71
"286","2013-06-20",6.44
"287","2013-06-21",6.44
"288","2013-06-24",6.51
"289","2013-06-25",6.4
"290","2013-06-26",6.27
"291","2013-06-27",6.37
"292","2013-06-28",6.43
"293","2013-07-01",6.4
"294","2013-07-02",6.58
"295","2013-07-03",6.64
"296","2013-07-05",6.68
"297","2013-07-08",6.5
"298","2013-07-09",6.43
"299","2013-07-10",6.66
"300","2013-07-11",6.6
"301","2013-07-12",6.53
"302","2013-07-15",6.54
"303","2013-07-16",6.54
"304","2013-07-17",6.52
"305","2013-07-18",6.59
"306","2013-07-19",6.51
"307","2013-07-22",6.54
"308","2013-07-23",6.54
"309","2013-07-24",6.83
"310","2013-07-25",6.95
"311","2013-07-26",6.84
