"","date","CUK"
"1","2007-01-03",52.259998
"2","2007-01-04",52.560001
"3","2007-01-05",51.549999
"4","2007-01-08",51.700001
"5","2007-01-09",52.299999
"6","2007-01-10",52.18
"7","2007-01-11",52.939999
"8","2007-01-12",53.349998
"9","2007-01-16",53.400002
"10","2007-01-17",53.950001
"11","2007-01-18",54.389999
"12","2007-01-19",55.389999
"13","2007-01-22",54.799999
"14","2007-01-23",54.970001
"15","2007-01-24",55.139999
"16","2007-01-25",54.540001
"17","2007-01-26",54.900002
"18","2007-01-29",55
"19","2007-01-30",55.189999
"20","2007-01-31",54.619999
"21","2007-02-01",55.080002
"22","2007-02-02",54.919998
"23","2007-02-05",53.66
"24","2007-02-06",51.77
"25","2007-02-07",52.599998
"26","2007-02-08",52.189999
"27","2007-02-09",51.490002
"28","2007-02-12",51.57
"29","2007-02-13",51.689999
"30","2007-02-14",51.91
"31","2007-02-15",51.560001
"32","2007-02-16",50.900002
"33","2007-02-20",51.09
"34","2007-02-21",50.580002
"35","2007-02-22",50.810001
"36","2007-02-23",49.869999
"37","2007-02-26",49.240002
"38","2007-02-27",47.549999
"39","2007-02-28",47.82
"40","2007-03-01",47.59
"41","2007-03-02",47.029999
"42","2007-03-05",46.209999
"43","2007-03-06",46.849998
"44","2007-03-07",47.110001
"45","2007-03-08",47.970001
"46","2007-03-09",47.880001
"47","2007-03-12",47.860001
"48","2007-03-13",46.75
"49","2007-03-14",46.209999
"50","2007-03-15",46.689999
"51","2007-03-16",47.060001
"52","2007-03-19",47.09
"53","2007-03-20",47.07
"54","2007-03-21",48.73
"55","2007-03-22",48.970001
"56","2007-03-23",49.23
"57","2007-03-26",49.110001
"58","2007-03-27",48.470001
"59","2007-03-28",47.580002
"60","2007-03-29",48
"61","2007-03-30",48.139999
"62","2007-04-02",48.5
"63","2007-04-03",48.740002
"64","2007-04-04",48.400002
"65","2007-04-05",48.23
"66","2007-04-09",48.02
"67","2007-04-10",48.139999
"68","2007-04-11",47.009998
"69","2007-04-12",47.299999
"70","2007-04-13",47.32
"71","2007-04-16",48.560001
"72","2007-04-17",48.509998
"73","2007-04-18",48.139999
"74","2007-04-19",48.09
"75","2007-04-20",48.650002
"76","2007-04-23",48.93
"77","2007-04-24",49.580002
"78","2007-04-25",50.369999
"79","2007-04-26",50.029999
"80","2007-04-27",50.349998
"81","2007-04-30",50.540001
"82","2007-05-01",50.099998
"83","2007-05-02",50.549999
"84","2007-05-03",49.939999
"85","2007-05-04",49.860001
"86","2007-05-07",49.619999
"87","2007-05-08",49.23
"88","2007-05-09",49.98
"89","2007-05-10",49.59
"90","2007-05-11",50.360001
"91","2007-05-14",49.68
"92","2007-05-15",49.529999
"93","2007-05-16",49.259998
"94","2007-05-17",48.830002
"95","2007-05-18",50.080002
"96","2007-05-21",50.389999
"97","2007-05-22",51.009998
"98","2007-05-23",50.93
"99","2007-05-24",50.439999
"100","2007-05-25",51.029999
"101","2007-05-29",51.700001
"102","2007-05-30",51.77
"103","2007-05-31",51.959999
"104","2007-06-01",52.080002
"105","2007-06-04",52.279999
"106","2007-06-05",52.279999
"107","2007-06-06",51.07
"108","2007-06-07",50.009998
"109","2007-06-08",50.150002
"110","2007-06-11",50.029999
"111","2007-06-12",50.509998
"112","2007-06-13",50.529999
