"","date","ZNGA"
"1","2011-12-16",9.5
"2","2011-12-19",9.05
"3","2011-12-20",9.24
"4","2011-12-21",9.47
"5","2011-12-22",9.47
"6","2011-12-23",9.39
"7","2011-12-27",9.75
"8","2011-12-28",9.5
"9","2011-12-29",9.37
"10","2011-12-30",9.41
"11","2012-01-03",9.45
"12","2012-01-04",9.19
"13","2012-01-05",8.91
"14","2012-01-06",8.81
"15","2012-01-09",8
"16","2012-01-10",8.53
"17","2012-01-11",8.33
"18","2012-01-12",8.45
"19","2012-01-13",8.87
"20","2012-01-17",9.22
"21","2012-01-18",8.65
"22","2012-01-19",8.53
"23","2012-01-20",9.09
"24","2012-01-23",9.12
"25","2012-01-24",9.71
"26","2012-01-25",9.53
"27","2012-01-26",9.52
"28","2012-01-27",10.05
"29","2012-01-30",10.39
"30","2012-01-31",10.49
"31","2012-02-01",10.6
"32","2012-02-02",12.39
"33","2012-02-03",13.39
"34","2012-02-06",12.77
"35","2012-02-07",13.31
"36","2012-02-08",13.69
"37","2012-02-09",13.25
"38","2012-02-10",13.33
"39","2012-02-13",13.42
"40","2012-02-14",14.35
"41","2012-02-15",11.8
"42","2012-02-16",12.06
"43","2012-02-17",12.93
"44","2012-02-21",13.03
"45","2012-02-22",12.66
"46","2012-02-23",12.81
"47","2012-02-24",12.93
"48","2012-02-27",13.24
"49","2012-02-28",13.3
"50","2012-02-29",13.17
"51","2012-03-01",14.48
"52","2012-03-02",14.69
"53","2012-03-05",13.97
"54","2012-03-06",14.06
"55","2012-03-07",13.77
"56","2012-03-08",13.67
"57","2012-03-09",13.89
"58","2012-03-12",13.76
"59","2012-03-13",13.38
"60","2012-03-14",13.35
"61","2012-03-15",13.06
"62","2012-03-16",13.03
"63","2012-03-19",13.24
"64","2012-03-20",13.39
"65","2012-03-21",13.72
"66","2012-03-22",13.76
"67","2012-03-23",13.4
"68","2012-03-26",13.08
"69","2012-03-27",13.01
"70","2012-03-28",12.24
"71","2012-03-29",12.84
"72","2012-03-30",13.15
"73","2012-04-02",12.88
"74","2012-04-03",12.29
"75","2012-04-04",12.22
"76","2012-04-05",11.91
"77","2012-04-09",12
"78","2012-04-10",11.51
"79","2012-04-11",11.52
"80","2012-04-12",12.13
"81","2012-04-13",11.85
"82","2012-04-16",10.95
"83","2012-04-17",10.31
"84","2012-04-18",10.04
"85","2012-04-19",9.58
"86","2012-04-20",9.22
"87","2012-04-23",9
"88","2012-04-24",8.6
