"","date","PFHD"
"1","2020-01-02",18.85
"2","2020-01-03",18.77
"3","2020-01-06",18.9
"4","2020-01-07",19
"5","2020-01-08",18.799999
"6","2020-01-09",19
"7","2020-01-10",19
"8","2020-01-13",19
"9","2020-01-14",19.049999
"10","2020-01-15",19.09
"11","2020-01-16",19.5
"12","2020-01-17",19.5
"13","2020-01-21",19.5
"14","2020-01-22",19.5
"15","2020-01-23",19.75
"16","2020-01-24",20
"17","2020-01-27",20
"18","2020-01-28",20
"19","2020-01-29",20
"20","2020-01-30",20
"21","2020-01-31",19.75
"22","2020-02-03",19.75
"23","2020-02-04",19.98
"24","2020-02-05",19.879999
"25","2020-02-06",19.75
"26","2020-02-07",19.549999
"27","2020-02-10",19.99
"28","2020-02-11",19.945
"29","2020-02-12",19.450001
"30","2020-02-13",19.5
"31","2020-02-14",20
"32","2020-02-18",19.6
"33","2020-02-19",19.75
"34","2020-02-20",19.940001
"35","2020-02-21",19.75
"36","2020-02-24",19.700001
"37","2020-02-25",18.67
"38","2020-02-26",19.49
"39","2020-02-27",19.040001
"40","2020-02-28",18.620001
"41","2020-03-02",18.74
"42","2020-03-03",18.809999
"43","2020-03-04",18.950001
"44","2020-03-05",18.799999
"45","2020-03-06",18.940001
"46","2020-03-09",18.75
"47","2020-03-10",18.01
"48","2020-03-11",17.5
"49","2020-03-12",17.5
"50","2020-03-13",17.76
"51","2020-03-16",16
"52","2020-03-17",16.5
"53","2020-03-18",14.24
"54","2020-03-19",15.74
"55","2020-03-20",15.18
"56","2020-03-23",15.12
"57","2020-03-24",15.83
"58","2020-03-25",15.69
"59","2020-03-26",15.21
"60","2020-03-27",14.66
"61","2020-03-30",15.95
"62","2020-03-31",15.95
"63","2020-04-01",14.88
"64","2020-04-02",15.17
"65","2020-04-03",15.22
"66","2020-04-06",16.129999
"67","2020-04-07",16.629999
"68","2020-04-08",17
"69","2020-04-09",17.75
"70","2020-04-13",15.73
"71","2020-04-14",16.58
"72","2020-04-15",15.42
"73","2020-04-16",14.82
"74","2020-04-17",15
"75","2020-04-20",13.59
"76","2020-04-21",13.24
"77","2020-04-22",13.07
"78","2020-04-23",12.7
"79","2020-04-24",15
"80","2020-04-27",14.05
"81","2020-04-28",15.38
"82","2020-04-29",15.3
"83","2020-04-30",14.69
"84","2020-05-01",15
"85","2020-05-04",15.7
"86","2020-05-05",15.53
"87","2020-05-06",15.54
"88","2020-05-07",15.28
"89","2020-05-08",15.31
"90","2020-05-11",15.55
"91","2020-05-12",15.55
"92","2020-05-13",15.23
"93","2020-05-14",15.15
"94","2020-05-15",15.24
"95","2020-05-18",15.56
"96","2020-05-19",15.52
"97","2020-05-20",15.5
"98","2020-05-21",15.27
"99","2020-05-22",15.49
"100","2020-05-26",15.65
"101","2020-05-27",15.29
"102","2020-05-28",14.6
"103","2020-05-29",14.18
"104","2020-06-01",14.05
"105","2020-06-02",14.03
"106","2020-06-03",15.1
"107","2020-06-04",15.35
"108","2020-06-05",15.6
"109","2020-06-08",15.43
"110","2020-06-09",15.22
"111","2020-06-10",14.86
"112","2020-06-11",14.03
"113","2020-06-12",14
"114","2020-06-15",15.26
"115","2020-06-16",14.99
"116","2020-06-17",15.12
"117","2020-06-18",14.8
"118","2020-06-19",14.18
"119","2020-06-22",14.2
"120","2020-06-23",14.29
"121","2020-06-24",13.75
"122","2020-06-25",14.15
"123","2020-06-26",13.41
"124","2020-06-29",13.93
"125","2020-06-30",13.88
"126","2020-07-01",13.59
"127","2020-07-02",13.47
"128","2020-07-06",13.33
"129","2020-07-07",13.21
"130","2020-07-08",12.8
"131","2020-07-09",12.07
"132","2020-07-10",12.25
"133","2020-07-13",12.22
"134","2020-07-14",11.93
"135","2020-07-15",12.56
"136","2020-07-16",12.06
"137","2020-07-17",11.85
"138","2020-07-20",11.73
"139","2020-07-21",11.66
"140","2020-07-22",11.61
"141","2020-07-23",11.4
"142","2020-07-24",11.28
"143","2020-07-27",10.61
"144","2020-07-28",10.45
"145","2020-07-29",10.5
"146","2020-07-30",11.08
"147","2020-07-31",11.31
"148","2020-08-03",11.47
"149","2020-08-04",11.55
"150","2020-08-05",12.13
"151","2020-08-06",12.18
"152","2020-08-07",12.97
"153","2020-08-10",12.73
"154","2020-08-11",13.45
"155","2020-08-12",13.45
"156","2020-08-13",13.35
"157","2020-08-14",13.27
"158","2020-08-17",14.35
"159","2020-08-18",13.24
"160","2020-08-19",13.27
"161","2020-08-20",13.3
"162","2020-08-21",13.4
"163","2020-08-24",13.68
"164","2020-08-25",13.27
"165","2020-08-26",12.48
"166","2020-08-27",11.93
"167","2020-08-28",12.04
"168","2020-08-31",11.57
"169","2020-09-01",12.65
"170","2020-09-02",13.39
"171","2020-09-03",12.37
"172","2020-09-04",13.36
"173","2020-09-08",12.92
"174","2020-09-09",13.06
"175","2020-09-10",13.6
"176","2020-09-11",12.79
"177","2020-09-14",13.14
"178","2020-09-15",12.48
"179","2020-09-16",12.61
"180","2020-09-17",12.28
"181","2020-09-18",12.39
"182","2020-09-21",12.13
"183","2020-09-22",12.29
"184","2020-09-23",12.17
"185","2020-09-24",13.48
"186","2020-09-25",13.4
"187","2020-09-28",13.52
"188","2020-09-29",13.37
"189","2020-09-30",13.41
"190","2020-10-01",13.54
"191","2020-10-02",13.5
"192","2020-10-05",13.55
"193","2020-10-06",13.78
"194","2020-10-07",14.15
"195","2020-10-08",14.39
"196","2020-10-09",14.07
"197","2020-10-12",14.4
"198","2020-10-13",14.1
"199","2020-10-14",13.62
"200","2020-10-15",13.99
"201","2020-10-16",13.95
"202","2020-10-19",13.94
"203","2020-10-20",14
"204","2020-10-21",14
"205","2020-10-22",13.95
"206","2020-10-23",13.91
"207","2020-10-26",13.37
"208","2020-10-27",13.41
"209","2020-10-28",13.76
