"","date","ECL"
"1","2007-01-03",44.5
"2","2007-01-04",43.950001
"3","2007-01-05",43.959999
"4","2007-01-08",43.82
"5","2007-01-09",43.830002
"6","2007-01-10",43.799999
"7","2007-01-11",44.310001
"8","2007-01-12",44.66
"9","2007-01-16",44.880001
"10","2007-01-17",44.689999
"11","2007-01-18",44.380001
"12","2007-01-19",44.119999
"13","2007-01-22",44.110001
"14","2007-01-23",44.240002
"15","2007-01-24",44.41
"16","2007-01-25",43.849998
"17","2007-01-26",43.16
"18","2007-01-29",43.470001
"19","2007-01-30",43.139999
"20","2007-01-31",43.900002
"21","2007-02-01",44.169998
"22","2007-02-02",44.27
"23","2007-02-05",43.73
"24","2007-02-06",44.25
"25","2007-02-07",44.240002
"26","2007-02-08",44
"27","2007-02-09",43.93
"28","2007-02-12",44.099998
"29","2007-02-13",43.900002
"30","2007-02-14",44.07
"31","2007-02-15",44.349998
"32","2007-02-16",44.52
"33","2007-02-20",44.599998
"34","2007-02-21",44.700001
"35","2007-02-22",44.119999
"36","2007-02-23",43.849998
"37","2007-02-26",43.43
"38","2007-02-27",42.18
"39","2007-02-28",42.299999
"40","2007-03-01",41.75
"41","2007-03-02",41.389999
"42","2007-03-05",40.830002
"43","2007-03-06",42.060001
"44","2007-03-07",42.16
"45","2007-03-08",42.57
"46","2007-03-09",43.009998
"47","2007-03-12",43.060001
"48","2007-03-13",41.810001
"49","2007-03-14",42.610001
"50","2007-03-15",42.869999
"51","2007-03-16",42.16
"52","2007-03-19",43
"53","2007-03-20",42.740002
"54","2007-03-21",43.080002
"55","2007-03-22",42.98
"56","2007-03-23",42.990002
"57","2007-03-26",43.299999
"58","2007-03-27",43
"59","2007-03-28",42.52
"60","2007-03-29",42.720001
"61","2007-03-30",43
"62","2007-04-02",43.18
"63","2007-04-03",43.73
"64","2007-04-04",43.57
"65","2007-04-05",43.73
"66","2007-04-09",43.810001
"67","2007-04-10",43.68
"68","2007-04-11",43.619999
"69","2007-04-12",44.049999
"70","2007-04-13",43.779999
"71","2007-04-16",44.41
"72","2007-04-17",44.189999
"73","2007-04-18",43.950001
"74","2007-04-19",43.990002
"75","2007-04-20",44.639999
"76","2007-04-23",44.490002
"77","2007-04-24",44
"78","2007-04-25",44.169998
"79","2007-04-26",44.099998
"80","2007-04-27",43.970001
"81","2007-04-30",42.990002
"82","2007-05-01",42.259998
"83","2007-05-02",42.700001
"84","2007-05-03",43.200001
"85","2007-05-04",42.759998
"86","2007-05-07",42.919998
"87","2007-05-08",42.080002
"88","2007-05-09",42.060001
"89","2007-05-10",41.779999
"90","2007-05-11",42.310001
"91","2007-05-14",42.720001
"92","2007-05-15",44.049999
"93","2007-05-16",44.209999
"94","2007-05-17",43.91
"95","2007-05-18",43.959999
"96","2007-05-21",43.75
"97","2007-05-22",43.799999
"98","2007-05-23",43.709999
"99","2007-05-24",42.959999
