"","date","UNH"
"1","2007-01-03",52.57
"2","2007-01-04",52.91
"3","2007-01-05",52.549999
"4","2007-01-08",53.32
"5","2007-01-09",52.68
"6","2007-01-10",52.830002
"7","2007-01-11",54.450001
"8","2007-01-12",55.099998
"9","2007-01-16",55.75
"10","2007-01-17",55.650002
"11","2007-01-18",53.799999
"12","2007-01-19",53.200001
"13","2007-01-22",52.189999
"14","2007-01-23",51.470001
"15","2007-01-24",51.799999
"16","2007-01-25",52.099998
"17","2007-01-26",51.540001
"18","2007-01-29",51.73
"19","2007-01-30",52.209999
"20","2007-01-31",52.259998
"21","2007-02-01",52.799999
"22","2007-02-02",52.91
"23","2007-02-05",52.330002
"24","2007-02-06",50.990002
"25","2007-02-07",51.25
"26","2007-02-08",51.240002
"27","2007-02-09",50.880001
"28","2007-02-12",51.619999
"29","2007-02-13",51.610001
"30","2007-02-14",51.639999
"31","2007-02-15",53.610001
"32","2007-02-16",53.950001
"33","2007-02-20",53.82
"34","2007-02-21",53.529999
"35","2007-02-22",53.720001
"36","2007-02-23",53.029999
"37","2007-02-26",53.209999
"38","2007-02-27",51.709999
"39","2007-02-28",52.18
"40","2007-03-01",52.740002
"41","2007-03-02",54.18
"42","2007-03-05",52.959999
"43","2007-03-06",53.98
"44","2007-03-07",53.799999
"45","2007-03-08",53.330002
"46","2007-03-09",53
"47","2007-03-12",53.27
"48","2007-03-13",53
"49","2007-03-14",53.369999
"50","2007-03-15",54.049999
"51","2007-03-16",53.130001
"52","2007-03-19",54.299999
"53","2007-03-20",54.099998
"54","2007-03-21",55.029999
"55","2007-03-22",55.689999
"56","2007-03-23",56.509998
"57","2007-03-26",56.880001
"58","2007-03-27",55.849998
"59","2007-03-28",54.810001
"60","2007-03-29",52.84
"61","2007-03-30",52.970001
"62","2007-04-02",53.73
"63","2007-04-03",54.610001
"64","2007-04-04",55.060001
"65","2007-04-05",55.330002
"66","2007-04-09",54.880001
"67","2007-04-10",54.240002
"68","2007-04-11",53.139999
"69","2007-04-12",53.119999
"70","2007-04-13",52.950001
"71","2007-04-16",53.849998
"72","2007-04-17",54.619999
"73","2007-04-18",54.209999
"74","2007-04-19",52.049999
"75","2007-04-20",53.200001
"76","2007-04-23",53.950001
"77","2007-04-24",54.23
"78","2007-04-25",52.939999
"79","2007-04-26",52.709999
"80","2007-04-27",53.150002
"81","2007-04-30",53.060001
"82","2007-05-01",52.75
"83","2007-05-02",53.790001
"84","2007-05-03",53.189999
"85","2007-05-04",53.57
"86","2007-05-07",53.25
"87","2007-05-08",53.110001
"88","2007-05-09",53.09
"89","2007-05-10",53.02
"90","2007-05-11",53.59
"91","2007-05-14",52.830002
"92","2007-05-15",52.68
"93","2007-05-16",53.799999
"94","2007-05-17",53.650002
"95","2007-05-18",53.470001
"96","2007-05-21",53.5
"97","2007-05-22",53.889999
"98","2007-05-23",53.93
"99","2007-05-24",54.209999
"100","2007-05-25",54.41
"101","2007-05-29",54.57
"102","2007-05-30",54.57
"103","2007-05-31",54.77
"104","2007-06-01",55.209999
"105","2007-06-04",55.200001
"106","2007-06-05",54.700001
"107","2007-06-06",53.970001
"108","2007-06-07",53.360001
"109","2007-06-08",53.669998
"110","2007-06-11",53.189999
"111","2007-06-12",52.990002
"112","2007-06-13",53.110001
"113","2007-06-14",52.950001
"114","2007-06-15",52.900002
"115","2007-06-18",52.869999
"116","2007-06-19",52.740002
"117","2007-06-20",51.5
"118","2007-06-21",51.77
"119","2007-06-22",51.299999
"120","2007-06-25",51.5
"121","2007-06-26",51.790001
"122","2007-06-27",51.75
"123","2007-06-28",52.099998
"124","2007-06-29",51.139999
"125","2007-07-02",52.220001
"126","2007-07-03",52.139999
"127","2007-07-05",52.450001
"128","2007-07-06",53.02
"129","2007-07-09",51.970001
"130","2007-07-10",51.549999
"131","2007-07-11",51.41
"132","2007-07-12",53.09
"133","2007-07-13",52.98
"134","2007-07-16",52.950001
"135","2007-07-17",53
"136","2007-07-18",53.580002
"137","2007-07-19",51.889999
"138","2007-07-20",51.32
"139","2007-07-23",51.169998
"140","2007-07-24",51
"141","2007-07-25",51.209999
"142","2007-07-26",50.209999
"143","2007-07-27",49.130001
"144","2007-07-30",48.939999
"145","2007-07-31",48.43
"146","2007-08-01",47.990002
"147","2007-08-02",48.360001
"148","2007-08-03",47.5
"149","2007-08-06",48.5
"150","2007-08-07",47.990002
"151","2007-08-08",47.57
"152","2007-08-09",46.330002
"153","2007-08-10",47.48
"154","2007-08-13",49.040001
"155","2007-08-14",48.48
"156","2007-08-15",49.119999
"157","2007-08-16",48.860001
"158","2007-08-17",49.799999
"159","2007-08-20",49.549999
"160","2007-08-21",49.560001
"161","2007-08-22",48.650002
"162","2007-08-23",48.619999
"163","2007-08-24",49.610001
"164","2007-08-27",49.189999
"165","2007-08-28",48.630001
"166","2007-08-29",48.689999
"167","2007-08-30",49.049999
"168","2007-08-31",50.009998
"169","2007-09-04",50.189999
"170","2007-09-05",49.290001
"171","2007-09-06",49.599998
"172","2007-09-07",49.189999
"173","2007-09-10",49.119999
"174","2007-09-11",49.57
"175","2007-09-12",49.470001
"176","2007-09-13",49.549999
"177","2007-09-14",49.91
"178","2007-09-17",49.950001
