"","date","METC"
"1","2017-02-03",13.55
"2","2017-02-06",13
"3","2017-02-07",12.8
"4","2017-02-08",12.15
"5","2017-02-09",11.89
"6","2017-02-10",11.89
"7","2017-02-13",12.15
"8","2017-02-14",11.15
"9","2017-02-15",11.3
"10","2017-02-16",11.1
"11","2017-02-17",10.94
"12","2017-02-21",11.2
"13","2017-02-22",10.99
"14","2017-02-23",11.02
"15","2017-02-24",10.92
"16","2017-02-27",10.89
"17","2017-02-28",10.9
"18","2017-03-01",11.91
"19","2017-03-02",12.49
"20","2017-03-03",13
"21","2017-03-06",12.84
"22","2017-03-07",12.33
"23","2017-03-08",10.62
"24","2017-03-09",10.7
"25","2017-03-10",10.49
"26","2017-03-13",10.6
"27","2017-03-14",10.58
"28","2017-03-15",10.59
"29","2017-03-16",10.25
"30","2017-03-17",9.78
"31","2017-03-20",9.03
"32","2017-03-21",9.26
"33","2017-03-22",8.81
"34","2017-03-23",8.86
"35","2017-03-24",8.75
"36","2017-03-27",8.84
"37","2017-03-28",10
"38","2017-03-29",10.27
"39","2017-03-30",10.49
"40","2017-03-31",9.67
"41","2017-04-03",9.52
"42","2017-04-04",9.24
"43","2017-04-05",9.38
"44","2017-04-06",9.42
"45","2017-04-07",9.44
"46","2017-04-10",8.91
"47","2017-04-11",9
"48","2017-04-12",8.61
"49","2017-04-13",8.35
"50","2017-04-17",7.73
"51","2017-04-18",7.52
"52","2017-04-19",7.15
"53","2017-04-20",7.24
"54","2017-04-21",7.23
"55","2017-04-24",7.59
"56","2017-04-25",7.68
"57","2017-04-26",7.81
"58","2017-04-27",7.85
"59","2017-04-28",7.76
"60","2017-05-01",7.4
"61","2017-05-02",7.43
"62","2017-05-03",7.15
"63","2017-05-04",6.45
"64","2017-05-05",6.12
"65","2017-05-08",6.08
"66","2017-05-09",5.94
"67","2017-05-10",5.87
"68","2017-05-11",6.11
"69","2017-05-12",6.32
"70","2017-05-15",6.42
"71","2017-05-16",5.91
"72","2017-05-17",6.35
"73","2017-05-18",6.31
"74","2017-05-19",6.52
"75","2017-05-22",7.08
"76","2017-05-23",7.41
"77","2017-05-24",6.88
"78","2017-05-25",6.66
"79","2017-05-26",6.57
"80","2017-05-30",6.45
"81","2017-05-31",6.28
"82","2017-06-01",6.14
"83","2017-06-02",5.89
"84","2017-06-05",5.58
"85","2017-06-06",5.85
"86","2017-06-07",5.76
"87","2017-06-08",5.48
"88","2017-06-09",5.4
"89","2017-06-12",5.31
"90","2017-06-13",5.33
"91","2017-06-14",5.24
"92","2017-06-15",5.14
"93","2017-06-16",5.12
"94","2017-06-19",5.2
"95","2017-06-20",5.19
"96","2017-06-21",5.22
"97","2017-06-22",5.6
"98","2017-06-23",5.47
"99","2017-06-26",5.42
"100","2017-06-27",5.77
"101","2017-06-28",5.82
"102","2017-06-29",6.23
"103","2017-06-30",6.05
"104","2017-07-03",6.03
"105","2017-07-05",5.8
"106","2017-07-06",5.98
"107","2017-07-07",5.88
"108","2017-07-10",6.02
"109","2017-07-11",6.32
"110","2017-07-12",6.34
"111","2017-07-13",6.24
"112","2017-07-14",6.32
"113","2017-07-17",6.55
"114","2017-07-18",6.58
"115","2017-07-19",7.11
"116","2017-07-20",6.76
"117","2017-07-21",6.66
"118","2017-07-24",6.58
"119","2017-07-25",6.78
"120","2017-07-26",6.87
"121","2017-07-27",6.68
"122","2017-07-28",6.25
"123","2017-07-31",6.31
"124","2017-08-01",6.46
"125","2017-08-02",6.53
"126","2017-08-03",6.66
"127","2017-08-04",7.1
"128","2017-08-07",7.47
"129","2017-08-08",7.83
"130","2017-08-09",7.6
"131","2017-08-10",7.5
"132","2017-08-11",7.2
"133","2017-08-14",6.8
"134","2017-08-15",6.59
"135","2017-08-16",6.7
"136","2017-08-17",7.01
"137","2017-08-18",7.02
"138","2017-08-21",7.13
"139","2017-08-22",7.43
"140","2017-08-23",7.88
"141","2017-08-24",7.74
"142","2017-08-25",7.98
"143","2017-08-28",8.13
"144","2017-08-29",7.92
"145","2017-08-30",7.84
"146","2017-08-31",7.77
"147","2017-09-01",7.83
"148","2017-09-05",7.68
"149","2017-09-06",7.59
"150","2017-09-07",7.5
"151","2017-09-08",7.35
"152","2017-09-11",7.29
"153","2017-09-12",6.98
"154","2017-09-13",7.11
"155","2017-09-14",7.1
"156","2017-09-15",6.97
"157","2017-09-18",6.84
"158","2017-09-19",6.74
"159","2017-09-20",6.89
"160","2017-09-21",6.77
"161","2017-09-22",6.81
"162","2017-09-25",6.95
"163","2017-09-26",6.82
"164","2017-09-27",6.87
"165","2017-09-28",6.74
"166","2017-09-29",6.63
"167","2017-10-02",6.91
"168","2017-10-03",6.85
"169","2017-10-04",6.8
"170","2017-10-05",6.84
"171","2017-10-06",6.62
"172","2017-10-09",6.51
"173","2017-10-10",6.27
"174","2017-10-11",6.43
"175","2017-10-12",6.34
"176","2017-10-13",6.21
"177","2017-10-16",6.04
"178","2017-10-17",6.26
"179","2017-10-18",6.08
"180","2017-10-19",6.11
"181","2017-10-20",6.31
"182","2017-10-23",6.2
"183","2017-10-24",6.17
"184","2017-10-25",6.12
"185","2017-10-26",6.01
"186","2017-10-27",5.92
"187","2017-10-30",5.74
"188","2017-10-31",5.86
"189","2017-11-01",6.04
"190","2017-11-02",6.1
"191","2017-11-03",6.09
"192","2017-11-06",5.98
"193","2017-11-07",5.83
"194","2017-11-08",6
"195","2017-11-09",4.76
"196","2017-11-10",4.29
"197","2017-11-13",4.3
"198","2017-11-14",4.1
"199","2017-11-15",3.99
"200","2017-11-16",4.11
"201","2017-11-17",4.21
