"","date","SGMA"
"1","2007-01-03",9.77
"2","2007-01-04",9.93
"3","2007-01-05",9.68
"4","2007-01-08",9.83
"5","2007-01-09",9.46
"6","2007-01-10",9.45
"7","2007-01-11",9.37
"8","2007-01-12",8.73
"9","2007-01-16",9.09
"10","2007-01-17",9.23
"11","2007-01-18",9.09
"12","2007-01-19",9.1
"13","2007-01-22",9.13
"14","2007-01-23",9.27
"15","2007-01-24",9.22
"16","2007-01-25",9.3
"17","2007-01-26",9.22
"18","2007-01-29",9.18
"19","2007-01-30",9.24
"20","2007-01-31",9.2
"21","2007-02-01",9.08
"22","2007-02-02",9.14
"23","2007-02-05",9.19
"24","2007-02-06",9.4
"25","2007-02-07",9.36
"26","2007-02-08",9.33
"27","2007-02-09",9.4
"28","2007-02-12",9.41
"29","2007-02-13",9.7
"30","2007-02-14",9.64
"31","2007-02-15",9.75
"32","2007-02-16",9.85
"33","2007-02-20",10.39
"34","2007-02-21",10.36
"35","2007-02-22",10.29
"36","2007-02-23",10.33
"37","2007-02-26",10.04
"38","2007-02-27",9.83
"39","2007-02-28",9.77
"40","2007-03-01",9.56
"41","2007-03-02",9.71
"42","2007-03-05",9.94
"43","2007-03-06",10.16
"44","2007-03-07",10.15
"45","2007-03-08",9.92
"46","2007-03-09",9.96
"47","2007-03-12",9.68
"48","2007-03-13",8.21
"49","2007-03-14",8
"50","2007-03-15",8.16
"51","2007-03-16",8.01
"52","2007-03-19",8.21
"53","2007-03-20",8.48
"54","2007-03-21",8.85
"55","2007-03-22",9.17
"56","2007-03-23",9.33
"57","2007-03-26",9.09
"58","2007-03-27",8.87
"59","2007-03-28",8.66
"60","2007-03-29",8.65
"61","2007-03-30",8.64
"62","2007-04-02",8.67
"63","2007-04-03",9.05
"64","2007-04-04",9
"65","2007-04-05",9.09
"66","2007-04-09",9.22
"67","2007-04-10",9.37
"68","2007-04-11",9.35
"69","2007-04-12",9.33
"70","2007-04-13",9.39
"71","2007-04-16",9.48
"72","2007-04-17",9.3
"73","2007-04-18",9.28
"74","2007-04-19",9.43
"75","2007-04-20",9.44
"76","2007-04-23",9.63
"77","2007-04-24",9.66
"78","2007-04-25",9.59
"79","2007-04-26",9.59
"80","2007-04-27",9.49
"81","2007-04-30",9.44
"82","2007-05-01",9.3
"83","2007-05-02",9.11
"84","2007-05-03",9.16
"85","2007-05-04",9.11
"86","2007-05-07",9.14
"87","2007-05-08",9.11
"88","2007-05-09",9.13
"89","2007-05-10",9.27
"90","2007-05-11",9.11
"91","2007-05-14",9.1
"92","2007-05-15",9.28
"93","2007-05-16",9.24
"94","2007-05-17",9.26
"95","2007-05-18",9.36
"96","2007-05-21",9.5
"97","2007-05-22",9.3
"98","2007-05-23",9.25
"99","2007-05-24",9.24
"100","2007-05-25",9.4
"101","2007-05-29",9.25
"102","2007-05-30",9.12
"103","2007-05-31",9.03
"104","2007-06-01",9.03
"105","2007-06-04",9.15
"106","2007-06-05",9.11
"107","2007-06-06",9.18
"108","2007-06-07",9.21
"109","2007-06-08",9.25
"110","2007-06-11",9.25
"111","2007-06-12",9.09
"112","2007-06-13",9.12
"113","2007-06-14",9.08
"114","2007-06-15",9.32
"115","2007-06-18",9.36
"116","2007-06-19",9.37
"117","2007-06-20",9.21
"118","2007-06-21",9.25
"119","2007-06-22",9.27
"120","2007-06-25",9.27
"121","2007-06-26",9.25
"122","2007-06-27",9.39
"123","2007-06-28",9.41
"124","2007-06-29",9.39
"125","2007-07-02",9.47
"126","2007-07-03",9.58
"127","2007-07-05",9.55
"128","2007-07-06",9.6
"129","2007-07-09",9.56
"130","2007-07-10",9.58
"131","2007-07-11",9.79
"132","2007-07-12",9.81
"133","2007-07-13",10.25
"134","2007-07-16",10.25
"135","2007-07-17",10.25
"136","2007-07-18",10.38
"137","2007-07-19",10.94
"138","2007-07-20",11.02
"139","2007-07-23",10.98
"140","2007-07-24",11.46
"141","2007-07-25",11.54
"142","2007-07-26",11.46
"143","2007-07-27",11.05
"144","2007-07-30",10.76
"145","2007-07-31",10.72
"146","2007-08-01",11
"147","2007-08-02",10.79
"148","2007-08-03",10.5
"149","2007-08-06",9.55
"150","2007-08-07",9.66
"151","2007-08-08",9.68
"152","2007-08-09",10.02
"153","2007-08-10",9.56
"154","2007-08-13",9.56
"155","2007-08-14",9.99
"156","2007-08-15",9.82
"157","2007-08-16",8.91
"158","2007-08-17",9.79
"159","2007-08-20",9.34
"160","2007-08-21",9.28
"161","2007-08-22",9.69
"162","2007-08-23",9.73
"163","2007-08-24",9.55
"164","2007-08-27",9.2
"165","2007-08-28",8.56
"166","2007-08-29",9.07
"167","2007-08-30",8.85
"168","2007-08-31",9.07
"169","2007-09-04",9.89
"170","2007-09-05",9.99
"171","2007-09-06",10
"172","2007-09-07",10
"173","2007-09-10",10.14
"174","2007-09-11",9.74
"175","2007-09-12",11.06
"176","2007-09-13",10.92
"177","2007-09-14",11.38
"178","2007-09-17",11.38
"179","2007-09-18",11.51
"180","2007-09-19",11.73
"181","2007-09-20",11.61
"182","2007-09-21",11.56
"183","2007-09-24",12.1
"184","2007-09-25",11.9
"185","2007-09-26",12.02
"186","2007-09-27",11.92
"187","2007-09-28",12
"188","2007-10-01",11.84
"189","2007-10-02",11.88
"190","2007-10-03",12.03
"191","2007-10-04",12.14
"192","2007-10-05",11.7
"193","2007-10-08",12.08
"194","2007-10-09",11.82
"195","2007-10-10",12.5
"196","2007-10-11",13.03
"197","2007-10-12",12.29
"198","2007-10-15",12
"199","2007-10-16",12.14
"200","2007-10-17",13.04
"201","2007-10-18",12.67
"202","2007-10-19",12.8
"203","2007-10-22",12.45
"204","2007-10-23",12.8
"205","2007-10-24",12.25
"206","2007-10-25",12.31
"207","2007-10-26",12.37
"208","2007-10-29",11.59
"209","2007-10-30",11.57
"210","2007-10-31",11.62
"211","2007-11-01",11.5
"212","2007-11-02",11.71
"213","2007-11-05",11.34
"214","2007-11-06",11.39
"215","2007-11-07",10.55
"216","2007-11-08",9.91
"217","2007-11-09",9.75
"218","2007-11-12",10.27
"219","2007-11-13",10.92
"220","2007-11-14",11.59
"221","2007-11-15",10.92
"222","2007-11-16",10.46
"223","2007-11-19",10.12
"224","2007-11-20",10.91
"225","2007-11-21",9.78
"226","2007-11-23",10.68
"227","2007-11-26",10.28
"228","2007-11-27",10.29
"229","2007-11-28",10.41
"230","2007-11-29",10.6
"231","2007-11-30",10.28
"232","2007-12-03",10.37
"233","2007-12-04",10.28
"234","2007-12-05",10.4
"235","2007-12-06",10.6
"236","2007-12-07",10.55
"237","2007-12-10",10.6
"238","2007-12-11",10.55
"239","2007-12-12",9.11
