"","date","KIDS"
"1","2017-10-13",18.75
"2","2017-10-16",18.18
"3","2017-10-17",17.75
"4","2017-10-18",17.5
"5","2017-10-19",18
"6","2017-10-20",18.42
"7","2017-10-23",17.84
"8","2017-10-24",18
"9","2017-10-25",17.860001
"10","2017-10-26",17.950001
"11","2017-10-27",18.07
"12","2017-10-30",18.02
"13","2017-10-31",18.26
"14","2017-11-01",18.959999
"15","2017-11-02",19.49
"16","2017-11-03",20.799999
"17","2017-11-06",21.82
"18","2017-11-07",20.51
"19","2017-11-08",18.889999
"20","2017-11-09",18.200001
"21","2017-11-10",19.75
"22","2017-11-13",20.1
"23","2017-11-14",19.18
"24","2017-11-15",19.540001
"25","2017-11-16",18.82
"26","2017-11-17",19.48
"27","2017-11-20",20.02
"28","2017-11-21",20.200001
"29","2017-11-22",20.370001
"30","2017-11-24",20.389999
"31","2017-11-27",20.309999
"32","2017-11-28",21.09
"33","2017-11-29",20.690001
"34","2017-11-30",19.889999
"35","2017-12-01",19.68
"36","2017-12-04",18.43
"37","2017-12-05",19.639999
"38","2017-12-06",19.200001
"39","2017-12-07",19.07
"40","2017-12-08",18.77
"41","2017-12-11",19.09
"42","2017-12-12",19.139999
"43","2017-12-13",18.940001
"44","2017-12-14",18.610001
"45","2017-12-15",18.610001
"46","2017-12-18",18.98
"47","2017-12-19",18.6
"48","2017-12-20",18.5
"49","2017-12-21",18.82
"50","2017-12-22",18.969999
"51","2017-12-26",19.690001
"52","2017-12-27",18.889999
"53","2017-12-28",18.84
"54","2017-12-29",19.190001
"55","2018-01-02",21.73
"56","2018-01-03",20.559999
"57","2018-01-04",19.540001
"58","2018-01-05",20.049999
"59","2018-01-08",19.530001
"60","2018-01-09",19.389999
"61","2018-01-10",19.09
"62","2018-01-11",19.16
"63","2018-01-12",19.1
"64","2018-01-16",19.23
"65","2018-01-17",18.82
"66","2018-01-18",18.620001
"67","2018-01-19",18.709999
"68","2018-01-22",18.91
"69","2018-01-23",18.799999
"70","2018-01-24",18.870001
"71","2018-01-25",18.709999
"72","2018-01-26",18.879999
"73","2018-01-29",17.719999
"74","2018-01-30",17.299999
"75","2018-01-31",17
"76","2018-02-01",17.700001
"77","2018-02-02",17.030001
"78","2018-02-05",16.5
"79","2018-02-06",16.84
"80","2018-02-07",17.139999
"81","2018-02-08",16.48
"82","2018-02-09",16.629999
"83","2018-02-12",16.82
"84","2018-02-13",17.27
"85","2018-02-14",16.65
"86","2018-02-15",17.41
"87","2018-02-16",17.299999
"88","2018-02-20",17.43
"89","2018-02-21",17.68
"90","2018-02-22",18.02
"91","2018-02-23",18.309999
"92","2018-02-26",17.709999
"93","2018-02-27",18.08
"94","2018-02-28",17.65
"95","2018-03-01",16.9
"96","2018-03-02",17
"97","2018-03-05",17.26
"98","2018-03-06",16.83
"99","2018-03-07",16.91
"100","2018-03-08",16.51
"101","2018-03-09",17.5
"102","2018-03-12",17.41
"103","2018-03-13",17.26
"104","2018-03-14",17.139999
"105","2018-03-15",16.690001
"106","2018-03-16",18.02
"107","2018-03-19",17.26
"108","2018-03-20",17.610001
"109","2018-03-21",17.68
"110","2018-03-22",16.76
"111","2018-03-23",16.040001
"112","2018-03-26",15.41
"113","2018-03-27",15.49
"114","2018-03-28",14.9
"115","2018-03-29",15.06
"116","2018-04-02",14.53
"117","2018-04-03",14.56
"118","2018-04-04",15.06
"119","2018-04-05",16.52
"120","2018-04-06",16.34
"121","2018-04-09",15.52
"122","2018-04-10",17.309999
"123","2018-04-11",18.35
"124","2018-04-12",17.92
"125","2018-04-13",19.120001
"126","2018-04-16",19.51
"127","2018-04-17",20.1
"128","2018-04-18",20.16
