"","date","NXRT"
"1","2015-03-19",14.5
"2","2015-03-20",14.5
"3","2015-03-23",13.75
"4","2015-03-24",13.08
"5","2015-03-25",13.45
"6","2015-03-26",14.25
"7","2015-03-27",14.25
"8","2015-03-30",14.45
"9","2015-03-31",14.01
"10","2015-04-01",13.85
"11","2015-04-02",13.91
"12","2015-04-06",14.56
"13","2015-04-07",14.55
"14","2015-04-08",14.44
"15","2015-04-09",14.24
"16","2015-04-10",14.03
"17","2015-04-13",13.86
"18","2015-04-14",13.87
"19","2015-04-15",13.94
"20","2015-04-16",13.95
"21","2015-04-17",13.96
"22","2015-04-20",14.01
"23","2015-04-21",13.94
"24","2015-04-22",13.95
"25","2015-04-23",13.87
"26","2015-04-24",13.97
"27","2015-04-27",13.96
"28","2015-04-28",13.96
"29","2015-04-29",13.93
"30","2015-04-30",14.14
"31","2015-05-01",14.3
"32","2015-05-04",14.27
"33","2015-05-05",14.23
"34","2015-05-06",14.13
"35","2015-05-07",14.06
"36","2015-05-08",14.29
"37","2015-05-11",14.44
"38","2015-05-12",14.42
"39","2015-05-13",14.54
"40","2015-05-14",14.4
"41","2015-05-15",14.57
"42","2015-05-18",14.61
"43","2015-05-19",14.72
"44","2015-05-20",14.7
"45","2015-05-21",14.82
"46","2015-05-22",14.9
"47","2015-05-26",14.91
"48","2015-05-27",15.04
"49","2015-05-28",15.19
"50","2015-05-29",15.14
"51","2015-06-01",15.3
"52","2015-06-02",15.14
"53","2015-06-03",15.04
"54","2015-06-04",14.87
"55","2015-06-05",14.81
"56","2015-06-08",14.94
"57","2015-06-09",15.06
"58","2015-06-10",15
"59","2015-06-11",14.83
"60","2015-06-12",14.66
"61","2015-06-15",14.56
"62","2015-06-16",14.65
"63","2015-06-17",14.71
"64","2015-06-18",14.53
"65","2015-06-19",14.75
"66","2015-06-22",14.51
"67","2015-06-23",14.54
"68","2015-06-24",14.47
"69","2015-06-25",13.99
"70","2015-06-26",14.02
"71","2015-06-29",13.38
"72","2015-06-30",13.43
"73","2015-07-01",13.73
"74","2015-07-02",13.33
"75","2015-07-06",13.37
"76","2015-07-07",13.41
"77","2015-07-08",13.31
"78","2015-07-09",13.32
"79","2015-07-10",13.4
"80","2015-07-13",13.21
"81","2015-07-14",13.16
"82","2015-07-15",13.38
"83","2015-07-16",13.5
"84","2015-07-17",13.59
"85","2015-07-20",13.55
"86","2015-07-21",13.49
