"","date","FLDM"
"1","2011-02-10",14.02
"2","2011-02-11",14.05
"3","2011-02-14",14.4
"4","2011-02-15",14.22
"5","2011-02-16",14.27
"6","2011-02-17",15
"7","2011-02-18",14.39
"8","2011-02-22",13.85
"9","2011-02-23",14.07
"10","2011-02-24",14
"11","2011-02-25",14.4
"12","2011-02-28",14.15
"13","2011-03-01",14.27
"14","2011-03-02",14.01
"15","2011-03-03",14.07
"16","2011-03-04",13.99
"17","2011-03-07",13.7
"18","2011-03-08",14.44
"19","2011-03-09",14.37
"20","2011-03-10",14.35
"21","2011-03-11",14.9
"22","2011-03-14",15.05
"23","2011-03-15",15.7
"24","2011-03-16",15.91
"25","2011-03-17",16.43
"26","2011-03-18",15.59
"27","2011-03-21",15.43
"28","2011-03-22",15.13
"29","2011-03-23",14.58
"30","2011-03-24",14.51
"31","2011-03-25",14.97
"32","2011-03-28",15.7
"33","2011-03-29",15.6
"34","2011-03-30",14.83
"35","2011-03-31",14.31
"36","2011-04-01",14.81
"37","2011-04-04",15.06
"38","2011-04-05",15.34
"39","2011-04-06",15.31
"40","2011-04-07",14.85
"41","2011-04-08",15.12
"42","2011-04-11",15.31
"43","2011-04-12",15.18
"44","2011-04-13",15.24
"45","2011-04-14",15.07
"46","2011-04-15",15.22
"47","2011-04-18",15.36
"48","2011-04-19",15.33
"49","2011-04-20",15.78
"50","2011-04-21",15.77
"51","2011-04-25",15.63
"52","2011-04-26",15.87
"53","2011-04-27",15.99
"54","2011-04-28",16.08
"55","2011-04-29",16.549999
"56","2011-05-02",16.290001
"57","2011-05-03",15.68
"58","2011-05-04",15.5
"59","2011-05-05",15.83
"60","2011-05-06",15.91
"61","2011-05-09",16
"62","2011-05-10",15.95
"63","2011-05-11",15.84
"64","2011-05-12",15.75
"65","2011-05-13",15.8
"66","2011-05-16",15.5
"67","2011-05-17",15.01
"68","2011-05-18",14.6
"69","2011-05-19",14.35
"70","2011-05-20",14.31
"71","2011-05-23",13.86
"72","2011-05-24",14.06
"73","2011-05-25",14.24
"74","2011-05-26",14.63
"75","2011-05-27",14.62
"76","2011-05-31",14.97
"77","2011-06-01",14.67
"78","2011-06-02",14.05
"79","2011-06-03",13.8
"80","2011-06-06",13.91
"81","2011-06-07",13.72
"82","2011-06-08",13.67
"83","2011-06-09",14
"84","2011-06-10",13.99
"85","2011-06-13",13.97
"86","2011-06-14",13.98
"87","2011-06-15",13.83
"88","2011-06-16",14.04
"89","2011-06-17",14
"90","2011-06-20",14.25
"91","2011-06-21",14.05
"92","2011-06-22",13.78
"93","2011-06-23",14.19
"94","2011-06-24",15.74
"95","2011-06-27",15.92
"96","2011-06-28",16.58
"97","2011-06-29",16.540001
"98","2011-06-30",16.77
"99","2011-07-01",16.790001
"100","2011-07-05",16.950001
"101","2011-07-06",18.5
"102","2011-07-07",18.76
"103","2011-07-08",18.76
"104","2011-07-11",18.73
"105","2011-07-12",18.77
"106","2011-07-13",18.68
"107","2011-07-14",17.950001
"108","2011-07-15",18.09
"109","2011-07-18",17.82
"110","2011-07-19",18.51
"111","2011-07-20",18.059999
"112","2011-07-21",19.23
"113","2011-07-22",19.799999
"114","2011-07-25",19.5
"115","2011-07-26",18.860001
"116","2011-07-27",17.219999
"117","2011-07-28",17.200001
"118","2011-07-29",16.959999
"119","2011-08-01",17.48
"120","2011-08-02",17.16
"121","2011-08-03",17.959999
"122","2011-08-04",16.280001
"123","2011-08-05",16.32
"124","2011-08-08",14.01
"125","2011-08-09",15.41
"126","2011-08-10",14.46
"127","2011-08-11",14.63
"128","2011-08-12",13.87
"129","2011-08-15",14.69
"130","2011-08-16",13.84
"131","2011-08-17",13.45
"132","2011-08-18",12.33
"133","2011-08-19",12.15
"134","2011-08-22",11.85
"135","2011-08-23",12.2
"136","2011-08-24",12.44
"137","2011-08-25",12.15
"138","2011-08-26",12.47
"139","2011-08-29",12.98
"140","2011-08-30",13.08
"141","2011-08-31",13.49
"142","2011-09-01",12.89
"143","2011-09-02",12.99
