"","date","KE"
"1","2014-11-03",7.22
"2","2014-11-04",8.75
"3","2014-11-05",10.06
"4","2014-11-06",10.46
"5","2014-11-07",9.96
"6","2014-11-10",10.14
"7","2014-11-11",10.16
"8","2014-11-12",10.03
"9","2014-11-13",10
"10","2014-11-14",10.04
"11","2014-11-17",10.32
"12","2014-11-18",10.64
"13","2014-11-19",10.8
"14","2014-11-20",10.7
"15","2014-11-21",10.74
"16","2014-11-24",10.93
"17","2014-11-25",10.76
"18","2014-11-26",11
"19","2014-11-28",11
"20","2014-12-01",10.59
"21","2014-12-02",10.21
"22","2014-12-03",9.65
"23","2014-12-04",9.79
"24","2014-12-05",9.92
"25","2014-12-08",11.1
"26","2014-12-09",11.06
"27","2014-12-10",11
"28","2014-12-11",11.04
"29","2014-12-12",11.03
"30","2014-12-15",11.03
"31","2014-12-16",11.02
"32","2014-12-17",11.68
"33","2014-12-18",11.88
"34","2014-12-19",11.82
"35","2014-12-22",11.42
"36","2014-12-23",11.4
"37","2014-12-24",11.46
"38","2014-12-26",12
"39","2014-12-29",12.01
"40","2014-12-30",12.3
"41","2014-12-31",12.02
"42","2015-01-02",11.37
"43","2015-01-05",11.15
"44","2015-01-06",11.08
"45","2015-01-07",11.08
"46","2015-01-08",11.21
"47","2015-01-09",11.13
"48","2015-01-12",10.88
"49","2015-01-13",11.02
"50","2015-01-14",10.81
"51","2015-01-15",10.94
"52","2015-01-16",11.5
"53","2015-01-20",10.99
"54","2015-01-21",10.87
"55","2015-01-22",11.1
"56","2015-01-23",10.97
"57","2015-01-26",11.08
"58","2015-01-27",11.01
"59","2015-01-28",10.98
"60","2015-01-29",10.88
"61","2015-01-30",10.18
"62","2015-02-02",10.64
"63","2015-02-03",11.14
"64","2015-02-04",11.05
"65","2015-02-05",11.22
"66","2015-02-06",11.05
"67","2015-02-09",10.95
"68","2015-02-10",11.14
"69","2015-02-11",11.03
"70","2015-02-12",11.81
"71","2015-02-13",11.8
"72","2015-02-17",11.81
"73","2015-02-18",12.36
"74","2015-02-19",12.01
"75","2015-02-20",12.05
"76","2015-02-23",11.72
"77","2015-02-24",12.17
"78","2015-02-25",12.33
"79","2015-02-26",12.32
"80","2015-02-27",12.52
"81","2015-03-02",12.76
"82","2015-03-03",12.78
"83","2015-03-04",12.65
"84","2015-03-05",12.68
"85","2015-03-06",12.21
"86","2015-03-09",12.6
"87","2015-03-10",13.01
"88","2015-03-11",13.03
"89","2015-03-12",13.08
"90","2015-03-13",13.43
"91","2015-03-16",13.32
"92","2015-03-17",13.24
"93","2015-03-18",13.26
"94","2015-03-19",13.13
"95","2015-03-20",13.4
"96","2015-03-23",13.83
"97","2015-03-24",13.7
"98","2015-03-25",13.45
"99","2015-03-26",13.47
"100","2015-03-27",13.45
"101","2015-03-30",13.55
"102","2015-03-31",14.14
"103","2015-04-01",14.28
"104","2015-04-02",14.1
"105","2015-04-06",13.57
"106","2015-04-07",13.44
"107","2015-04-08",13.51
"108","2015-04-09",13
"109","2015-04-10",13.34
"110","2015-04-13",13.4
"111","2015-04-14",13.34
"112","2015-04-15",13.05
"113","2015-04-16",12.85
"114","2015-04-17",13.02
"115","2015-04-20",14.06
"116","2015-04-21",14.17
"117","2015-04-22",14.07
"118","2015-04-23",13.97
"119","2015-04-24",13.67
"120","2015-04-27",13.42
"121","2015-04-28",13.07
"122","2015-04-29",13.2
"123","2015-04-30",12.79
"124","2015-05-01",12.44
"125","2015-05-04",12.72
"126","2015-05-05",12.61
"127","2015-05-06",12.8
