"","date","GTH"
"1","2020-06-15",16
"2","2020-06-16",16
"3","2020-06-17",16
"4","2020-06-18",16
"5","2020-06-19",16
"6","2020-06-22",15.64
"7","2020-06-23",14.36
"8","2020-06-24",12.48
"9","2020-06-25",13.44
"10","2020-06-26",12.81
"11","2020-06-29",11.29
"12","2020-06-30",12.07
"13","2020-07-01",11.84
"14","2020-07-02",13.01
"15","2020-07-06",13.81
"16","2020-07-07",13.81
"17","2020-07-08",13.9
"18","2020-07-09",13.04
"19","2020-07-10",13.78
"20","2020-07-13",14.05
"21","2020-07-14",14.8
"22","2020-07-15",15.69
"23","2020-07-16",15.39
"24","2020-07-17",15.81
"25","2020-07-20",14.84
"26","2020-07-21",15.06
"27","2020-07-22",13.56
"28","2020-07-23",14.29
"29","2020-07-24",13.9
"30","2020-07-27",13.9
"31","2020-07-28",13.52
"32","2020-07-29",13.9
"33","2020-07-30",13.9
"34","2020-07-31",14.3
"35","2020-08-03",13.91
"36","2020-08-04",13.74
"37","2020-08-05",13.82
"38","2020-08-06",13.77
"39","2020-08-07",13.51
"40","2020-08-10",14.08
"41","2020-08-11",13.95
"42","2020-08-12",13.03
"43","2020-08-13",13.08
"44","2020-08-14",13.46
"45","2020-08-17",13.54
"46","2020-08-18",11.96
"47","2020-08-19",12.51
"48","2020-08-20",12.8
"49","2020-08-21",12.51
"50","2020-08-24",12.58
"51","2020-08-25",13
"52","2020-08-26",13.11
"53","2020-08-27",12.48
"54","2020-08-28",11.8
"55","2020-08-31",12.38
"56","2020-09-01",12.22
"57","2020-09-02",12.34
"58","2020-09-03",12.05
"59","2020-09-04",11.79
"60","2020-09-08",11.67
"61","2020-09-09",11.93
"62","2020-09-10",11.79
"63","2020-09-11",11.75
"64","2020-09-14",11.62
"65","2020-09-15",11.67
"66","2020-09-16",11.52
"67","2020-09-17",11.52
"68","2020-09-18",11.44
"69","2020-09-21",10.8
"70","2020-09-22",10.32
"71","2020-09-23",10.2
"72","2020-09-24",9.1
"73","2020-09-25",10.15
"74","2020-09-28",10.22
"75","2020-09-29",9.7
"76","2020-09-30",11.94
"77","2020-10-01",12.26
"78","2020-10-02",12
"79","2020-10-05",11.69
"80","2020-10-06",12
"81","2020-10-07",12.18
"82","2020-10-08",11.55
"83","2020-10-09",11.51
"84","2020-10-12",11.46
"85","2020-10-13",11.55
"86","2020-10-14",11.63
"87","2020-10-15",11.67
"88","2020-10-16",11.79
"89","2020-10-19",11.33
"90","2020-10-20",11.27
"91","2020-10-21",11.55
"92","2020-10-22",11.6
"93","2020-10-23",11.36
"94","2020-10-26",11.53
"95","2020-10-27",11.65
"96","2020-10-28",11.06
"97","2020-10-29",10.09
"98","2020-10-30",10.1
"99","2020-11-02",9.61
"100","2020-11-03",9.46
"101","2020-11-04",9.31
"102","2020-11-05",9.44
"103","2020-11-06",9.84
"104","2020-11-09",10.84
"105","2020-11-10",11.11
"106","2020-11-11",12.2
"107","2020-11-12",11.8
"108","2020-11-13",11.76
"109","2020-11-16",12.27
"110","2020-11-17",11.69
"111","2020-11-18",11.3
"112","2020-11-19",11.6
"113","2020-11-20",11.28
"114","2020-11-23",11.99
"115","2020-11-24",12.23
"116","2020-11-25",13.27
"117","2020-11-27",13.73
