"","date","SSTI"
"1","2017-06-07",14.38
"2","2017-06-08",12.9
"3","2017-06-09",12.34
"4","2017-06-12",12.56
"5","2017-06-13",14.03
"6","2017-06-14",14.48
"7","2017-06-15",13.74
"8","2017-06-16",13.74
"9","2017-06-19",14.45
"10","2017-06-20",14.02
"11","2017-06-21",15.05
"12","2017-06-22",14.46
"13","2017-06-23",14.4
"14","2017-06-26",14.4
"15","2017-06-27",13.85
"16","2017-06-28",12.77
"17","2017-06-29",12.77
"18","2017-06-30",12.79
"19","2017-07-03",13.16
"20","2017-07-05",12.82
"21","2017-07-06",12.8
"22","2017-07-07",12.94
"23","2017-07-10",12.92
"24","2017-07-11",13.18
"25","2017-07-12",13.05
"26","2017-07-13",14.14
"27","2017-07-14",14
"28","2017-07-17",13.53
"29","2017-07-18",13.2
"30","2017-07-19",13.04
"31","2017-07-20",13.03
"32","2017-07-21",12.8
"33","2017-07-24",12.64
"34","2017-07-25",12.36
"35","2017-07-26",12.35
"36","2017-07-27",12.01
"37","2017-07-28",12
"38","2017-07-31",11.965
"39","2017-08-01",10.6
"40","2017-08-02",10.01
"41","2017-08-03",10.53
"42","2017-08-04",11.18
"43","2017-08-07",11.08
"44","2017-08-08",10.75
"45","2017-08-09",11.37
"46","2017-08-10",11.08
"47","2017-08-11",11.5
"48","2017-08-14",12.17
"49","2017-08-15",12.49
"50","2017-08-16",12.11
"51","2017-08-17",11.73
"52","2017-08-18",11.59
"53","2017-08-21",12.12
"54","2017-08-22",11.77
"55","2017-08-23",11.7
"56","2017-08-24",12
"57","2017-08-25",12
"58","2017-08-28",12.35
"59","2017-08-29",12.11
"60","2017-08-30",11.85
"61","2017-08-31",11.5
"62","2017-09-01",11.48
"63","2017-09-05",11.31
"64","2017-09-06",10.94
"65","2017-09-07",11.13
"66","2017-09-08",10.6
"67","2017-09-11",10.86
"68","2017-09-12",11.1
"69","2017-09-13",11.08
"70","2017-09-14",11.17
"71","2017-09-15",10.87
"72","2017-09-18",10.88
"73","2017-09-19",11.84
"74","2017-09-20",11.83
"75","2017-09-21",11.56
"76","2017-09-22",11.7
"77","2017-09-25",11.56
"78","2017-09-26",11.49
"79","2017-09-27",11.84
"80","2017-09-28",12.87
"81","2017-09-29",13.45
"82","2017-10-02",14.37
"83","2017-10-03",17
"84","2017-10-04",16.58
"85","2017-10-05",18.540001
"86","2017-10-06",18.25
"87","2017-10-09",16.700001
"88","2017-10-10",16.110001
"89","2017-10-11",15.79
"90","2017-10-12",15.49
"91","2017-10-13",15.6
"92","2017-10-16",15.66
"93","2017-10-17",16.139999
"94","2017-10-18",16.540001
"95","2017-10-19",16.370001
"96","2017-10-20",16.27
"97","2017-10-23",16.059999
"98","2017-10-24",15.44
"99","2017-10-25",15.12
"100","2017-10-26",15.17
"101","2017-10-27",15.18
"102","2017-10-30",15.71
"103","2017-10-31",17.17
"104","2017-11-01",16.99
"105","2017-11-02",16.92
"106","2017-11-03",16.99
"107","2017-11-06",17.15
"108","2017-11-07",16.67
"109","2017-11-08",18.93
"110","2017-11-09",19.65
"111","2017-11-10",19.559999
"112","2017-11-13",18.35
"113","2017-11-14",17.48
"114","2017-11-15",16.959999
"115","2017-11-16",17.02
"116","2017-11-17",16.690001
"117","2017-11-20",15.36
"118","2017-11-21",15.08
"119","2017-11-22",14.33
"120","2017-11-24",14.38
"121","2017-11-27",13.23
"122","2017-11-28",13.97
"123","2017-11-29",13.01
"124","2017-11-30",13.01
"125","2017-12-01",13.2
"126","2017-12-04",13.54
"127","2017-12-05",13.5
"128","2017-12-06",13.49
"129","2017-12-07",14.94
"130","2017-12-08",13.89
"131","2017-12-11",13.56
"132","2017-12-12",13.83
"133","2017-12-13",14.16
"134","2017-12-14",13.75
"135","2017-12-15",13.91
"136","2017-12-18",14.41
"137","2017-12-19",14.19
"138","2017-12-20",13.97
"139","2017-12-21",13.83
"140","2017-12-22",13.71
"141","2017-12-26",13.97
"142","2017-12-27",14.01
"143","2017-12-28",14.17
"144","2017-12-29",14.05
"145","2018-01-02",14.3
"146","2018-01-03",14.69
"147","2018-01-04",14.66
"148","2018-01-05",15.53
"149","2018-01-08",15.85
"150","2018-01-09",15.72
"151","2018-01-10",16.07
"152","2018-01-11",17.030001
"153","2018-01-12",17.07
