"","date","FPI"
"1","2014-04-11",12.98
"2","2014-04-14",13.1
"3","2014-04-15",13.2
"4","2014-04-16",13.35
"5","2014-04-17",13.45
"6","2014-04-21",13.4
"7","2014-04-22",13.45
"8","2014-04-23",13.45
"9","2014-04-24",13.35
"10","2014-04-25",13.705
"11","2014-04-28",13.6
"12","2014-04-29",13.79
"13","2014-04-30",13.97
"14","2014-05-01",13.875
"15","2014-05-02",13.8
"16","2014-05-05",13.58
"17","2014-05-06",13.03
"18","2014-05-07",13.16
"19","2014-05-08",13.25
"20","2014-05-09",13.09
"21","2014-05-12",12.51
"22","2014-05-13",12.567
"23","2014-05-14",12.53
"24","2014-05-15",12.47
"25","2014-05-16",12.33
"26","2014-05-19",12.2
"27","2014-05-20",12.69
"28","2014-05-21",12.484
"29","2014-05-22",12.72
"30","2014-05-23",13.01
"31","2014-05-27",12.81
"32","2014-05-28",12.81
"33","2014-05-29",12.88
"34","2014-05-30",13.1
"35","2014-06-02",13.08
"36","2014-06-03",13.14
"37","2014-06-04",13.09
"38","2014-06-05",13.09
"39","2014-06-06",13.15
"40","2014-06-09",13.15
"41","2014-06-10",13.01
"42","2014-06-11",13.17
"43","2014-06-12",13.3
"44","2014-06-13",13.34
"45","2014-06-16",13.25
"46","2014-06-17",13.4
"47","2014-06-18",13.25
"48","2014-06-19",13.25
"49","2014-06-20",12.25
"50","2014-06-23",12.5
"51","2014-06-24",12.51
"52","2014-06-25",12.62
"53","2014-06-26",12.7
"54","2014-06-27",12.5
"55","2014-06-30",13.1
"56","2014-07-01",13.26
"57","2014-07-02",13.23
"58","2014-07-03",13.14
"59","2014-07-07",13.17
"60","2014-07-08",13.22
"61","2014-07-09",13.25
"62","2014-07-10",13.17
"63","2014-07-11",13.321
"64","2014-07-14",13.455
"65","2014-07-15",13.428
"66","2014-07-16",13.314
"67","2014-07-17",13.59
"68","2014-07-18",13.508
"69","2014-07-21",13.45
"70","2014-07-22",13.63
"71","2014-07-23",13.05
"72","2014-07-24",12.66
"73","2014-07-25",12.07
"74","2014-07-28",12.01
"75","2014-07-29",12.01
"76","2014-07-30",12.03
"77","2014-07-31",11.82
"78","2014-08-01",10.8
"79","2014-08-04",11
"80","2014-08-05",10.71
"81","2014-08-06",10.76
"82","2014-08-07",10.81
"83","2014-08-08",10.85
"84","2014-08-11",10.91
"85","2014-08-12",10.7
"86","2014-08-13",10.9
"87","2014-08-14",10.56
"88","2014-08-15",10.84
