"","date","PRIM"
"1","2008-08-06",7.35
"2","2008-08-07",7.1
"3","2008-08-08",7.25
"4","2008-08-11",7.24
"5","2008-08-12",7.33
"6","2008-08-13",7.7
"7","2008-08-14",8.19
"8","2008-08-15",8.1
"9","2008-08-18",8.35
"10","2008-08-19",8.1
"11","2008-08-20",8.33
"12","2008-08-21",8.05
"13","2008-08-22",8.11
"14","2008-08-25",8.11
"15","2008-08-26",8.1
"16","2008-08-27",8.15
"17","2008-08-28",8.25
"18","2008-08-29",8.29
"19","2008-09-02",8.25
"20","2008-09-03",8.25
"21","2008-09-04",8
"22","2008-09-05",8.05
"23","2008-09-08",7.98
"24","2008-09-09",8
"25","2008-09-10",7.99
"26","2008-09-11",7.81
"27","2008-09-12",8
"28","2008-09-15",7.88
"29","2008-09-16",7.79
"30","2008-09-17",7.63
"31","2008-09-18",7.33
"32","2008-09-19",7.7
"33","2008-09-22",7.79
"34","2008-09-23",7.7
"35","2008-09-24",7.7
"36","2008-09-25",7.7
"37","2008-09-26",7.65
"38","2008-09-29",7.5
"39","2008-09-30",7.7
"40","2008-10-01",7.52
"41","2008-10-02",7.09
"42","2008-10-03",6.83
"43","2008-10-06",6.7
"44","2008-10-07",6.49
"45","2008-10-08",6.2
"46","2008-10-09",6
"47","2008-10-10",6
"48","2008-10-13",6.25
"49","2008-10-14",6.75
"50","2008-10-15",6.36
"51","2008-10-16",5.92
"52","2008-10-17",6.44
"53","2008-10-20",6.03
"54","2008-10-21",6.03
"55","2008-10-22",5.95
"56","2008-10-23",6.44
"57","2008-10-24",6.43
"58","2008-10-27",6.19
"59","2008-10-28",6.45
"60","2008-10-29",6.44
"61","2008-10-30",6.38
"62","2008-10-31",6.36
"63","2008-11-03",6.25
"64","2008-11-04",6.25
"65","2008-11-05",6.18
"66","2008-11-06",6.18
"67","2008-11-07",6.18
"68","2008-11-10",6.2
"69","2008-11-11",6.19
"70","2008-11-12",6.19
"71","2008-11-13",5.75
"72","2008-11-14",5.66
"73","2008-11-17",6
"74","2008-11-18",5.8
"75","2008-11-19",5.79
"76","2008-11-20",5.32
"77","2008-11-21",5.3
"78","2008-11-24",5.29
"79","2008-11-25",4.64
"80","2008-11-26",4.99
"81","2008-11-28",5.19
"82","2008-12-01",5.14
"83","2008-12-02",5.14
"84","2008-12-03",4.95
"85","2008-12-04",5.14
"86","2008-12-05",4.9
"87","2008-12-08",5.12
"88","2008-12-09",5.69
"89","2008-12-10",6
"90","2008-12-11",6
"91","2008-12-12",5.84
"92","2008-12-15",5.8
