"","date","BMCH"
"1","2013-08-09",14.43
"2","2013-08-12",14.6
"3","2013-08-13",14.3
"4","2013-08-14",14.02
"5","2013-08-15",14.01
"6","2013-08-16",13.51
"7","2013-08-19",12.87
"8","2013-08-20",13
"9","2013-08-21",12.9
"10","2013-08-22",13.07
"11","2013-08-23",13.51
"12","2013-08-26",14.35
"13","2013-08-27",14.01
"14","2013-08-28",14.27
"15","2013-08-29",14.5
"16","2013-08-30",14.24
"17","2013-09-03",13.2
"18","2013-09-04",13.05
"19","2013-09-05",13.34
"20","2013-09-06",13.51
"21","2013-09-09",13.79
"22","2013-09-10",13.66
"23","2013-09-11",13.64
"24","2013-09-12",13.65
"25","2013-09-13",13.66
"26","2013-09-16",13.77
"27","2013-09-17",13.75
"28","2013-09-18",13.97
"29","2013-09-19",13.43
"30","2013-09-20",13.15
"31","2013-09-23",13.34
"32","2013-09-24",13.47
"33","2013-09-25",13.62
"34","2013-09-26",13.64
"35","2013-09-27",13.34
"36","2013-09-30",13.14
"37","2013-10-01",12.65
"38","2013-10-02",12.75
"39","2013-10-03",13.21
"40","2013-10-04",13.58
"41","2013-10-07",13.65
"42","2013-10-08",13.61
"43","2013-10-09",13.58
"44","2013-10-10",13.63
"45","2013-10-11",14.06
"46","2013-10-14",14.08
"47","2013-10-15",14.1
"48","2013-10-16",14
"49","2013-10-17",14.14
"50","2013-10-18",14.52
"51","2013-10-21",14.36
"52","2013-10-22",14.48
"53","2013-10-23",14.59
"54","2013-10-24",14.54
"55","2013-10-25",15.02
"56","2013-10-28",15.13
"57","2013-10-29",15.1
"58","2013-10-30",15.42
"59","2013-10-31",15.4
"60","2013-11-01",15.51
"61","2013-11-04",16.01
"62","2013-11-05",16.040001
"63","2013-11-06",16.209999
"64","2013-11-07",16.049999
"65","2013-11-08",16.190001
"66","2013-11-11",16.24
"67","2013-11-12",16.33
"68","2013-11-13",16.719999
"69","2013-11-14",17
"70","2013-11-15",17.209999
"71","2013-11-18",17.139999
"72","2013-11-19",16.73
"73","2013-11-20",16.459999
"74","2013-11-21",16.93
"75","2013-11-22",16.780001
"76","2013-11-25",16.719999
"77","2013-11-26",16.9
"78","2013-11-27",18.48
"79","2013-11-29",18.309999
"80","2013-12-02",17.530001
"81","2013-12-03",17.27
"82","2013-12-04",17.01
"83","2013-12-05",16.889999
"84","2013-12-06",17.549999
"85","2013-12-09",17.09
"86","2013-12-10",16.780001
"87","2013-12-11",17.09
"88","2013-12-12",17.34
"89","2013-12-13",17.450001
"90","2013-12-16",17.9
"91","2013-12-17",18.25
"92","2013-12-18",18.24
"93","2013-12-19",17.620001
"94","2013-12-20",17.84
"95","2013-12-23",18.57
"96","2013-12-24",18.450001
"97","2013-12-26",18.389999
"98","2013-12-27",18.549999
"99","2013-12-30",18.190001
"100","2013-12-31",18.219999
"101","2014-01-02",17.98
"102","2014-01-03",18.26
"103","2014-01-06",18.280001
"104","2014-01-07",18.360001
"105","2014-01-08",18.610001
"106","2014-01-09",18.32
"107","2014-01-10",18.690001
"108","2014-01-13",17.559999
"109","2014-01-14",17.67
"110","2014-01-15",17.469999
"111","2014-01-16",17.530001
"112","2014-01-17",17.799999
"113","2014-01-21",18.07
"114","2014-01-22",18.309999
"115","2014-01-23",18.59
"116","2014-01-24",18.08
"117","2014-01-27",18.030001
"118","2014-01-28",17.959999
"119","2014-01-29",18.059999
"120","2014-01-30",17.219999
"121","2014-01-31",17.43
"122","2014-02-03",17.309999
