"","date","CCC"
"1","2018-10-29",9.6
"2","2018-10-30",9.6
"3","2018-10-31",9.6
"4","2018-11-01",9.6
"5","2018-11-02",9.61
"6","2018-11-05",9.6
"7","2018-11-06",9.6
"8","2018-11-07",9.6
"9","2018-11-08",9.56
"10","2018-11-09",9.6
"11","2018-11-12",9.6
"12","2018-11-13",9.58
"13","2018-11-14",9.58
"14","2018-11-15",9.58
"15","2018-11-16",9.56
"16","2018-11-19",9.55
"17","2018-11-20",9.56
"18","2018-11-21",9.58
"19","2018-11-23",9.55
"20","2018-11-26",9.56
"21","2018-11-27",9.55
"22","2018-11-28",9.56
"23","2018-11-29",9.55
"24","2018-11-30",9.57
"25","2018-12-03",9.57
"26","2018-12-04",9.57
"27","2018-12-06",9.56
"28","2018-12-07",9.57
"29","2018-12-10",9.54
"30","2018-12-11",9.55
"31","2018-12-12",9.56
"32","2018-12-13",9.56
"33","2018-12-14",9.56
"34","2018-12-17",9.55
"35","2018-12-18",9.54
"36","2018-12-19",9.54
"37","2018-12-20",9.57
"38","2018-12-21",9.54
"39","2018-12-24",9.54
"40","2018-12-26",9.54
"41","2018-12-27",9.57
"42","2018-12-28",9.55
"43","2018-12-31",9.55
"44","2019-01-02",9.58
"45","2019-01-03",9.58
"46","2019-01-04",9.6
"47","2019-01-07",9.58
"48","2019-01-08",9.59
"49","2019-01-09",9.59
"50","2019-01-10",9.6
"51","2019-01-11",9.59
"52","2019-01-14",9.9
"53","2019-01-15",9.93
"54","2019-01-16",10.05
"55","2019-01-17",10.24
"56","2019-01-18",10.44
"57","2019-01-22",10.44
"58","2019-01-23",10.4
"59","2019-01-24",10.4
"60","2019-01-25",10.4
"61","2019-01-28",10.37
"62","2019-01-29",10.37
"63","2019-01-30",10.44
"64","2019-01-31",10.58
"65","2019-02-01",10.74
"66","2019-02-04",10.92
"67","2019-02-05",11.05
"68","2019-02-06",11.29
"69","2019-02-07",11.07
"70","2019-02-08",11.08
"71","2019-02-11",11.05
"72","2019-02-12",11.24
"73","2019-02-13",11.39
"74","2019-02-14",11.51
"75","2019-02-15",11.54
"76","2019-02-19",11.53
"77","2019-02-20",11.25
"78","2019-02-21",11
"79","2019-02-22",11.15
"80","2019-02-25",11.1
"81","2019-02-26",11.15
"82","2019-02-27",11.15
"83","2019-02-28",11.02
"84","2019-03-01",10.94
"85","2019-03-04",10.86
"86","2019-03-05",10.95
"87","2019-03-06",10.92
"88","2019-03-07",10.99
"89","2019-03-08",11.01
"90","2019-03-11",11.06
"91","2019-03-12",11.68
"92","2019-03-13",12.23
"93","2019-03-14",12.26
"94","2019-03-15",12.4
"95","2019-03-18",12.55
"96","2019-03-19",12.48
"97","2019-03-20",12.68
"98","2019-03-21",12.64
"99","2019-03-22",12.66
"100","2019-03-25",12.75
"101","2019-03-26",13.1
"102","2019-03-27",13.59
"103","2019-03-28",13.46
"104","2019-03-29",13.44
"105","2019-04-01",13.54
"106","2019-04-02",13.53
"107","2019-04-03",13.5
"108","2019-04-04",13.59
"109","2019-04-05",13.5
"110","2019-04-08",13.59
"111","2019-04-09",13.52
"112","2019-04-10",13.44
"113","2019-04-11",13.64
"114","2019-04-12",13.6
"115","2019-04-15",13.7
"116","2019-04-16",13.75
"117","2019-04-17",13.9
"118","2019-04-18",13.93
"119","2019-04-22",13.93
"120","2019-04-23",13.94
"121","2019-04-24",13.8
"122","2019-04-25",13.85
"123","2019-04-26",14.06
"124","2019-04-29",14.26
"125","2019-04-30",14.4
"126","2019-05-01",14.38
"127","2019-05-02",14.41
"128","2019-05-03",14.45
"129","2019-05-06",14.41
"130","2019-05-07",14.12
"131","2019-05-08",13.87
"132","2019-05-09",13.73
