"","date","TGH"
"1","2007-10-10",17
"2","2007-10-11",16.299999
"3","2007-10-12",16.42
"4","2007-10-15",16.309999
"5","2007-10-16",16.51
"6","2007-10-17",16.65
"7","2007-10-18",16.48
"8","2007-10-19",16.23
"9","2007-10-22",16.299999
"10","2007-10-23",16.290001
"11","2007-10-24",16
"12","2007-10-25",16.459999
"13","2007-10-26",16.440001
"14","2007-10-29",16.200001
"15","2007-10-30",15.93
"16","2007-10-31",15.86
"17","2007-11-01",15.81
"18","2007-11-02",15.98
"19","2007-11-05",16.120001
"20","2007-11-06",16.24
"21","2007-11-07",15.95
"22","2007-11-08",15.95
"23","2007-11-09",15.47
"24","2007-11-12",14.28
"25","2007-11-13",14.05
"26","2007-11-14",14.02
"27","2007-11-15",13.42
"28","2007-11-16",13.85
"29","2007-11-19",14.14
"30","2007-11-20",14.27
"31","2007-11-21",13.65
"32","2007-11-23",13.94
"33","2007-11-26",13.84
"34","2007-11-27",13.8
"35","2007-11-28",14.45
"36","2007-11-29",15.81
"37","2007-11-30",16.35
"38","2007-12-03",16.139999
"39","2007-12-04",16.139999
"40","2007-12-05",16.389999
"41","2007-12-06",16.309999
"42","2007-12-07",16.5
"43","2007-12-10",16.540001
"44","2007-12-11",16.370001
"45","2007-12-12",16.32
"46","2007-12-13",16.34
"47","2007-12-14",16.309999
"48","2007-12-17",16.120001
"49","2007-12-18",15.85
"50","2007-12-19",15.83
"51","2007-12-20",14.86
"52","2007-12-21",14.25
"53","2007-12-24",14.52
"54","2007-12-26",15.33
"55","2007-12-27",14.59
"56","2007-12-28",14.52
"57","2007-12-31",14.53
"58","2008-01-02",14.59
"59","2008-01-03",14.51
"60","2008-01-04",14.5
"61","2008-01-07",14.4
"62","2008-01-08",14.01
"63","2008-01-09",13.35
"64","2008-01-10",13.25
"65","2008-01-11",13.2
"66","2008-01-14",13.18
"67","2008-01-15",12.88
"68","2008-01-16",12.67
"69","2008-01-17",11.8
"70","2008-01-18",11.7
"71","2008-01-22",11.12
"72","2008-01-23",11.64
"73","2008-01-24",11.19
"74","2008-01-25",11.25
"75","2008-01-28",11.9
"76","2008-01-29",11.86
"77","2008-01-30",11.29
"78","2008-01-31",10.8
"79","2008-02-01",10.9
"80","2008-02-04",10.8
"81","2008-02-05",10.67
"82","2008-02-06",11.21
"83","2008-02-07",12.59
"84","2008-02-08",14.21
"85","2008-02-11",13.76
"86","2008-02-12",13.39
"87","2008-02-13",13.91
"88","2008-02-14",13.83
"89","2008-02-15",13.46
"90","2008-02-19",13.06
"91","2008-02-20",13.03
"92","2008-02-21",13.62
"93","2008-02-22",14.37
"94","2008-02-25",14.32
"95","2008-02-26",14.39
"96","2008-02-27",14.32
"97","2008-02-28",14.72
"98","2008-02-29",14.74
"99","2008-03-03",14.94
"100","2008-03-04",15.07
"101","2008-03-05",14.99
"102","2008-03-06",15.05
"103","2008-03-07",14.83
"104","2008-03-10",14.99
"105","2008-03-11",15.16
"106","2008-03-12",15.65
"107","2008-03-13",16.09
"108","2008-03-14",16.1
"109","2008-03-17",15.23
"110","2008-03-18",15.9
"111","2008-03-19",15.45
"112","2008-03-20",15.52
"113","2008-03-24",15.78
"114","2008-03-25",15.75
"115","2008-03-26",15.75
"116","2008-03-27",15.65
"117","2008-03-28",15.09
"118","2008-03-31",15.08
"119","2008-04-01",15.3
"120","2008-04-02",15.9
"121","2008-04-03",15.35
"122","2008-04-04",15.75
"123","2008-04-07",15.65
"124","2008-04-08",15.87
"125","2008-04-09",15.68
"126","2008-04-10",15.95
"127","2008-04-11",15.69
"128","2008-04-14",15.71
"129","2008-04-15",16.27
"130","2008-04-16",16.709999
"131","2008-04-17",18.370001
"132","2008-04-18",18.67
"133","2008-04-21",17.559999
"134","2008-04-22",17.01
"135","2008-04-23",17.35
"136","2008-04-24",17.24
"137","2008-04-25",17.16
"138","2008-04-28",16.84
"139","2008-04-29",16.950001
"140","2008-04-30",17.1
"141","2008-05-01",18.76
"142","2008-05-02",18.73
"143","2008-05-05",19
"144","2008-05-06",18.530001
"145","2008-05-07",18.700001
"146","2008-05-08",18.959999
"147","2008-05-09",18.75
"148","2008-05-12",18.280001
"149","2008-05-13",19
"150","2008-05-14",19.75
"151","2008-05-15",19.790001
"152","2008-05-16",19.16
"153","2008-05-19",18.92
"154","2008-05-20",19.4
"155","2008-05-21",20.98
"156","2008-05-22",20.9
"157","2008-05-23",21.110001
"158","2008-05-27",20.889999
"159","2008-05-28",21.99
"160","2008-05-29",22.35
"161","2008-05-30",22.42
"162","2008-06-02",21.959999
"163","2008-06-03",21.32
"164","2008-06-04",21.42
"165","2008-06-05",21.950001
"166","2008-06-06",21.32
"167","2008-06-09",20.620001
"168","2008-06-10",19.469999
"169","2008-06-11",18.75
"170","2008-06-12",19.5
"171","2008-06-13",20.67
"172","2008-06-16",19.84
"173","2008-06-17",19.85
"174","2008-06-18",20.02
"175","2008-06-19",19.16
"176","2008-06-20",18.98
"177","2008-06-23",18.620001
"178","2008-06-24",18.9
"179","2008-06-25",18.93
"180","2008-06-26",18.120001
"181","2008-06-27",18.98
"182","2008-06-30",19.530001
"183","2008-07-01",19.25
"184","2008-07-02",19.01
"185","2008-07-03",18.860001
"186","2008-07-07",19.129999
"187","2008-07-08",18
"188","2008-07-09",17.52
"189","2008-07-10",18.790001
"190","2008-07-11",19.5
"191","2008-07-14",18.77
"192","2008-07-15",18.51
"193","2008-07-16",19.370001
"194","2008-07-17",19.5
"195","2008-07-18",19.440001
"196","2008-07-21",19.209999
"197","2008-07-22",19.65
"198","2008-07-23",19.77
"199","2008-07-24",19.18
"200","2008-07-25",19.35
"201","2008-07-28",19.200001
"202","2008-07-29",18.950001
"203","2008-07-30",19.33
"204","2008-07-31",18.719999
"205","2008-08-01",18.16
"206","2008-08-04",18.16
"207","2008-08-05",18.450001
"208","2008-08-06",18.440001
"209","2008-08-07",18
"210","2008-08-08",18.549999
"211","2008-08-11",18.42
"212","2008-08-12",18.07
"213","2008-08-13",18.120001
"214","2008-08-14",18.02
"215","2008-08-15",17.99
"216","2008-08-18",17.58
"217","2008-08-19",17.27
"218","2008-08-20",17.440001
"219","2008-08-21",17.1
"220","2008-08-22",17.74
"221","2008-08-25",17.780001
"222","2008-08-26",17.809999
"223","2008-08-27",18.01
"224","2008-08-28",18.25
"225","2008-08-29",17.98
"226","2008-09-02",18.01
"227","2008-09-03",18.030001
"228","2008-09-04",17.82
"229","2008-09-05",17.25
"230","2008-09-08",17.690001
"231","2008-09-09",17.51
"232","2008-09-10",17.559999
"233","2008-09-11",17.190001
"234","2008-09-12",17.639999
"235","2008-09-15",17.389999
"236","2008-09-16",16.93
"237","2008-09-17",15.4
"238","2008-09-18",16.860001
"239","2008-09-19",17.059999
"240","2008-09-22",16.43
"241","2008-09-23",15.95
"242","2008-09-24",15.31
"243","2008-09-25",16.07
"244","2008-09-26",17.25
"245","2008-09-29",14.35
"246","2008-09-30",15.19
"247","2008-10-01",14.63
"248","2008-10-02",13.55
"249","2008-10-03",13.4
"250","2008-10-06",11.78
"251","2008-10-07",10.2
"252","2008-10-08",9.83
"253","2008-10-09",8.76
"254","2008-10-10",9.34
"255","2008-10-13",11.01
"256","2008-10-14",10.2
"257","2008-10-15",9.62
"258","2008-10-16",11.12
"259","2008-10-17",9.92
"260","2008-10-20",11.02
"261","2008-10-21",10.67
"262","2008-10-22",10.19
"263","2008-10-23",9.83
"264","2008-10-24",9.35
"265","2008-10-27",8.77
"266","2008-10-28",9.23
"267","2008-10-29",9.52
"268","2008-10-30",10.15
"269","2008-10-31",11.03
"270","2008-11-03",11.5
"271","2008-11-04",11.57
"272","2008-11-05",10.53
"273","2008-11-06",9.71
"274","2008-11-07",10.56
"275","2008-11-10",10.14
"276","2008-11-11",9.17
"277","2008-11-12",8.49
"278","2008-11-13",9.89
"279","2008-11-14",9.12
"280","2008-11-17",8.86
"281","2008-11-18",8.32
"282","2008-11-19",7.1
"283","2008-11-20",6.36
"284","2008-11-21",6.99
"285","2008-11-24",8.28
"286","2008-11-25",9.48
"287","2008-11-26",9.99
"288","2008-11-28",10.13
"289","2008-12-01",6.91
"290","2008-12-02",8.72
"291","2008-12-03",7.86
"292","2008-12-04",6.91
"293","2008-12-05",7.24
"294","2008-12-08",8.94
"295","2008-12-09",9.12
"296","2008-12-10",9.08
"297","2008-12-11",7.96
"298","2008-12-12",8.55
"299","2008-12-15",8.13
"300","2008-12-16",9.4
"301","2008-12-17",9.21
"302","2008-12-18",8.34
"303","2008-12-19",8.79
"304","2008-12-22",8.97
"305","2008-12-23",8.39
"306","2008-12-24",8.24
"307","2008-12-26",9.1
"308","2008-12-29",8.61
"309","2008-12-30",9.45
