"","date","MKTX"
"1","2007-01-03",13.48
"2","2007-01-04",13.4
"3","2007-01-05",12.98
"4","2007-01-08",13.04
"5","2007-01-09",12.9
"6","2007-01-10",12.88
"7","2007-01-11",12.94
"8","2007-01-12",12.96
"9","2007-01-16",12.8
"10","2007-01-17",12.9
"11","2007-01-18",12.74
"12","2007-01-19",12.76
"13","2007-01-22",12.8
"14","2007-01-23",13.13
"15","2007-01-24",12.97
"16","2007-01-25",12.82
"17","2007-01-26",12.76
"18","2007-01-29",12.75
"19","2007-01-30",12.8
"20","2007-01-31",12.67
"21","2007-02-01",12.68
"22","2007-02-02",12.46
"23","2007-02-05",12.41
"24","2007-02-06",12.76
"25","2007-02-07",13.41
"26","2007-02-08",13.69
"27","2007-02-09",13.46
"28","2007-02-12",13.65
"29","2007-02-13",13.95
"30","2007-02-14",14.06
"31","2007-02-15",14.17
"32","2007-02-16",14.24
"33","2007-02-20",14.55
"34","2007-02-21",14.48
"35","2007-02-22",14.71
"36","2007-02-23",14.75
"37","2007-02-26",14.35
"38","2007-02-27",13.99
"39","2007-02-28",14.02
"40","2007-03-01",13.81
"41","2007-03-02",14.58
"42","2007-03-05",14.3
"43","2007-03-06",14.99
"44","2007-03-07",14.4
"45","2007-03-08",14.34
"46","2007-03-09",14.98
"47","2007-03-12",14.98
"48","2007-03-13",14.14
"49","2007-03-14",14.5
"50","2007-03-15",15
"51","2007-03-16",14.84
"52","2007-03-19",15
"53","2007-03-20",15.04
"54","2007-03-21",15.68
"55","2007-03-22",16.76
"56","2007-03-23",16.950001
"57","2007-03-26",16.700001
"58","2007-03-27",16.5
"59","2007-03-28",16.27
"60","2007-03-29",16.610001
"61","2007-03-30",16.74
"62","2007-04-02",16.799999
"63","2007-04-03",16.959999
"64","2007-04-04",16.889999
"65","2007-04-05",16.950001
"66","2007-04-09",16.42
"67","2007-04-10",16.24
"68","2007-04-11",16.24
"69","2007-04-12",16.23
"70","2007-04-13",16.200001
"71","2007-04-16",17.5
"72","2007-04-17",16.67
"73","2007-04-18",16.969999
"74","2007-04-19",16.33
"75","2007-04-20",17.110001
"76","2007-04-23",16.809999
"77","2007-04-24",16.870001
"78","2007-04-25",17.07
"79","2007-04-26",17
"80","2007-04-27",16.709999
"81","2007-04-30",16.379999
"82","2007-05-01",16.65
"83","2007-05-02",16.040001
"84","2007-05-03",16.59
"85","2007-05-04",17.48
"86","2007-05-07",17.17
"87","2007-05-08",17.6
"88","2007-05-09",17.639999
"89","2007-05-10",16.26
"90","2007-05-11",17.209999
"91","2007-05-14",16.27
"92","2007-05-15",16
"93","2007-05-16",16.17
"94","2007-05-17",16.01
"95","2007-05-18",16.209999
"96","2007-05-21",16.49
"97","2007-05-22",16.68
"98","2007-05-23",16.190001
"99","2007-05-24",16.23
"100","2007-05-25",16.450001
"101","2007-05-29",16.66
"102","2007-05-30",17.459999
"103","2007-05-31",17.67
"104","2007-06-01",17.870001
"105","2007-06-04",17.67
"106","2007-06-05",17.799999
"107","2007-06-06",17.889999
"108","2007-06-07",17.68
"109","2007-06-08",18
"110","2007-06-11",17.32
"111","2007-06-12",16.73
"112","2007-06-13",16.780001
"113","2007-06-14",17.139999
"114","2007-06-15",17.440001
"115","2007-06-18",17.639999
"116","2007-06-19",17.33
"117","2007-06-20",17.01
"118","2007-06-21",17.059999
"119","2007-06-22",17.02
"120","2007-06-25",17.65
"121","2007-06-26",18.1
"122","2007-06-27",18.200001
"123","2007-06-28",18.040001
"124","2007-06-29",17.99
"125","2007-07-02",18.08
"126","2007-07-03",18.75
"127","2007-07-05",18.879999
"128","2007-07-06",18.940001
"129","2007-07-09",19.1
"130","2007-07-10",18.9
"131","2007-07-11",18.860001
"132","2007-07-12",19.139999
"133","2007-07-13",19.200001
"134","2007-07-16",19.139999
"135","2007-07-17",19.32
"136","2007-07-18",19.24
"137","2007-07-19",19.290001
"138","2007-07-20",18.9
"139","2007-07-23",18.9
"140","2007-07-24",18.559999
"141","2007-07-25",18.65
"142","2007-07-26",18.26
"143","2007-07-27",17.85
"144","2007-07-30",17.440001
"145","2007-07-31",16.610001
"146","2007-08-01",17.120001
"147","2007-08-02",17.889999
"148","2007-08-03",16.99
"149","2007-08-06",17.620001
"150","2007-08-07",18.18
"151","2007-08-08",17.65
"152","2007-08-09",17.6
"153","2007-08-10",17.450001
"154","2007-08-13",16.5
"155","2007-08-14",15.45
"156","2007-08-15",15.42
"157","2007-08-16",17.4
"158","2007-08-17",17.59
"159","2007-08-20",17.620001
"160","2007-08-21",17.51
"161","2007-08-22",17.280001
"162","2007-08-23",17.17
"163","2007-08-24",17.85
"164","2007-08-27",17.200001
"165","2007-08-28",16.67
"166","2007-08-29",16.950001
"167","2007-08-30",17.389999
"168","2007-08-31",17.43
