"","date","MTBCP"
"1","2015-11-04",25
"2","2015-11-05",25
"3","2015-11-06",25.02
"4","2015-11-09",25.02
"5","2015-11-10",NA
"6","2015-11-11",NA
"7","2015-11-12",NA
"8","2015-11-13",25.15
"9","2015-11-16",25.02
"10","2015-11-17",25.02
"11","2015-11-18",25.02
"12","2015-11-19",25.02
"13","2015-11-20",25.02
"14","2015-11-23",25.02
"15","2015-11-24",25.02
"16","2015-11-25",25.02
"17","2015-11-27",25.02
"18","2015-11-30",25.02
"19","2015-12-01",27.5
"20","2015-12-02",27.5
"21","2015-12-03",28
"22","2015-12-04",28
"23","2015-12-07",28
"24","2015-12-08",28
"25","2015-12-09",28
"26","2015-12-10",28
"27","2015-12-11",28
"28","2015-12-14",28
"29","2015-12-15",28
"30","2015-12-16",28
"31","2015-12-17",26.01
"32","2015-12-18",25.799999
"33","2015-12-21",25.799999
"34","2015-12-22",25.49
"35","2015-12-23",24.85
"36","2015-12-24",24.85
"37","2015-12-28",24.85
"38","2015-12-29",24.85
"39","2015-12-30",24.85
"40","2015-12-31",24.85
"41","2016-01-04",24.85
"42","2016-01-05",24.85
"43","2016-01-06",24.85
"44","2016-01-07",24.85
"45","2016-01-08",24.85
"46","2016-01-11",24.85
"47","2016-01-12",24.85
"48","2016-01-13",24.85
"49","2016-01-14",24.85
"50","2016-01-15",24.85
"51","2016-01-19",24.85
"52","2016-01-20",24.85
"53","2016-01-21",24.85
"54","2016-01-22",24.85
"55","2016-01-25",24.85
"56","2016-01-26",24.85
"57","2016-01-27",24.85
"58","2016-01-28",24.370001
"59","2016-01-29",24.370001
"60","2016-02-01",24.370001
"61","2016-02-02",24.370001
"62","2016-02-03",24.370001
"63","2016-02-04",24.370001
"64","2016-02-05",24.370001
"65","2016-02-08",24.370001
"66","2016-02-09",24.370001
"67","2016-02-10",24.370001
"68","2016-02-11",24.370001
"69","2016-02-12",24.370001
"70","2016-02-16",24.370001
"71","2016-02-17",24.370001
"72","2016-02-18",24.370001
"73","2016-02-19",24.370001
"74","2016-02-22",24.370001
"75","2016-02-23",24.370001
"76","2016-02-24",24.370001
"77","2016-02-25",24.370001
"78","2016-02-26",24.370001
"79","2016-02-29",24.370001
"80","2016-03-01",24.370001
"81","2016-03-02",24.370001
"82","2016-03-03",24.370001
"83","2016-03-04",24.370001
"84","2016-03-07",25
"85","2016-03-08",25
"86","2016-03-09",25
"87","2016-03-10",25
"88","2016-03-11",25
"89","2016-03-14",25
"90","2016-03-15",25
"91","2016-03-16",25
"92","2016-03-17",25
"93","2016-03-18",25
"94","2016-03-21",25
"95","2016-03-22",25
"96","2016-03-23",25
"97","2016-03-24",25
"98","2016-03-28",25
"99","2016-03-29",25
"100","2016-03-30",25
"101","2016-03-31",25
"102","2016-04-01",25
"103","2016-04-04",25
"104","2016-04-05",25
"105","2016-04-06",25
