"","date","HOME"
"1","2016-08-04",15
"2","2016-08-05",15.31
"3","2016-08-08",15
"4","2016-08-09",15.21
"5","2016-08-10",15.38
"6","2016-08-11",15.73
"7","2016-08-12",15.26
"8","2016-08-15",15.24
"9","2016-08-16",15.29
"10","2016-08-17",15.01
"11","2016-08-18",15.15
"12","2016-08-19",15.08
"13","2016-08-22",15
"14","2016-08-23",16.35
"15","2016-08-24",16.24
"16","2016-08-25",16.08
"17","2016-08-26",16.08
"18","2016-08-29",15.8
"19","2016-08-30",15.64
"20","2016-08-31",15.25
"21","2016-09-01",15.33
"22","2016-09-02",15.37
"23","2016-09-06",14.63
"24","2016-09-07",12.95
"25","2016-09-08",12.1
"26","2016-09-09",12.06
"27","2016-09-12",11.72
"28","2016-09-13",12.45
"29","2016-09-14",12.63
"30","2016-09-15",12.59
"31","2016-09-16",13.45
"32","2016-09-19",13.87
"33","2016-09-20",14.01
"34","2016-09-21",14.75
"35","2016-09-22",14.7
"36","2016-09-23",14.66
"37","2016-09-26",14.53
"38","2016-09-27",14.53
"39","2016-09-28",14.79
"40","2016-09-29",15.07
"41","2016-09-30",15.15
"42","2016-10-03",13.99
"43","2016-10-04",13.41
"44","2016-10-05",13.71
"45","2016-10-06",13.6
"46","2016-10-07",13.6
"47","2016-10-10",13.69
"48","2016-10-11",13.4
"49","2016-10-12",13.04
"50","2016-10-13",12.95
"51","2016-10-14",12.64
"52","2016-10-17",12.81
"53","2016-10-18",12.89
"54","2016-10-19",12.68
"55","2016-10-20",12.51
"56","2016-10-21",12.18
"57","2016-10-24",12.49
"58","2016-10-25",11.8
"59","2016-10-26",11.26
"60","2016-10-27",11.18
"61","2016-10-28",11.25
"62","2016-10-31",11.2
"63","2016-11-01",11.31
"64","2016-11-02",11.08
"65","2016-11-03",10.74
"66","2016-11-04",10.6
"67","2016-11-07",10.88
"68","2016-11-08",10.53
"69","2016-11-09",10.78
"70","2016-11-10",11
"71","2016-11-11",11.25
"72","2016-11-14",11.4
"73","2016-11-15",11.44
"74","2016-11-16",11.21
"75","2016-11-17",11.35
"76","2016-11-18",11.76
"77","2016-11-21",12.05
"78","2016-11-22",12.13
"79","2016-11-23",12.19
"80","2016-11-25",12.6
"81","2016-11-28",12.34
"82","2016-11-29",12.68
"83","2016-11-30",12.88
"84","2016-12-01",12.46
"85","2016-12-02",12.73
"86","2016-12-05",13.61
"87","2016-12-06",14.13
"88","2016-12-07",14.14
"89","2016-12-08",14.15
"90","2016-12-09",14.18
"91","2016-12-12",14.07
"92","2016-12-13",13.81
"93","2016-12-14",13.59
"94","2016-12-15",13.89
"95","2016-12-16",14.46
"96","2016-12-19",14.6
"97","2016-12-20",15.24
"98","2016-12-21",14.91
"99","2016-12-22",14.43
"100","2016-12-23",14.67
"101","2016-12-27",14.9
"102","2016-12-28",14.65
"103","2016-12-29",14.78
"104","2016-12-30",14.63
"105","2017-01-03",14.37
"106","2017-01-04",14.43
"107","2017-01-05",14.23
"108","2017-01-06",13.66
"109","2017-01-09",14.08
"110","2017-01-10",14.74
"111","2017-01-11",14.96
"112","2017-01-12",14.35
"113","2017-01-13",14.47
"114","2017-01-17",14.71
"115","2017-01-18",15.02
"116","2017-01-19",14.99
"117","2017-01-20",15.28
"118","2017-01-23",15.34
"119","2017-01-24",16.059999
"120","2017-01-25",16.07
"121","2017-01-26",15.77
"122","2017-01-27",15.14
"123","2017-01-30",15.17
"124","2017-01-31",15.24
"125","2017-02-01",14.91
"126","2017-02-02",15.44
"127","2017-02-03",15.9
"128","2017-02-06",15.48
"129","2017-02-07",15.02
"130","2017-02-08",15.16
"131","2017-02-09",15.71
"132","2017-02-10",15.83
"133","2017-02-13",15.57
"134","2017-02-14",15.67
"135","2017-02-15",16.129999
"136","2017-02-16",15.98
"137","2017-02-17",15.75
"138","2017-02-21",15.84
"139","2017-02-22",15.49
"140","2017-02-23",14.92
"141","2017-02-24",15.05
"142","2017-02-27",15.38
"143","2017-02-28",15.03
"144","2017-03-01",14.91
"145","2017-03-02",14.84
"146","2017-03-03",14.8
"147","2017-03-06",14.41
"148","2017-03-07",14.57
"149","2017-03-08",14.11
"150","2017-03-09",14.15
"151","2017-03-10",14.38
"152","2017-03-13",14.41
"153","2017-03-14",15.05
"154","2017-03-15",15.23
"155","2017-03-16",15.67
"156","2017-03-17",15.62
"157","2017-03-20",15.39
"158","2017-03-21",14.75
"159","2017-03-22",14.97
"160","2017-03-23",15.23
"161","2017-03-24",15.61
"162","2017-03-27",15.62
"163","2017-03-28",15.28
"164","2017-03-29",15.48
"165","2017-03-30",15.29
"166","2017-03-31",15.16
"167","2017-04-03",15.03
"168","2017-04-04",15.08
"169","2017-04-05",15.04
"170","2017-04-06",15.21
"171","2017-04-07",15.51
"172","2017-04-10",15.96
"173","2017-04-11",15.95
"174","2017-04-12",15.47
"175","2017-04-13",14.92
"176","2017-04-17",14.99
"177","2017-04-18",15.69
"178","2017-04-19",16.200001
"179","2017-04-20",16.5
"180","2017-04-21",16.469999
"181","2017-04-24",16.73
"182","2017-04-25",16.84
"183","2017-04-26",17.299999
"184","2017-04-27",17.549999
"185","2017-04-28",17.51
"186","2017-05-01",17.290001
