"","date","MUSA"
"1","2013-08-19",38.849998
"2","2013-08-20",38.130001
"3","2013-08-21",37.5
"4","2013-08-22",37.200001
"5","2013-08-23",37.25
"6","2013-08-26",37.299999
"7","2013-08-27",36.849998
"8","2013-08-28",36.459999
"9","2013-08-29",36.599998
"10","2013-08-30",36.950001
"11","2013-09-03",37.509998
"12","2013-09-04",38.43
"13","2013-09-05",38.380001
"14","2013-09-06",39.599998
"15","2013-09-09",39.849998
"16","2013-09-10",39.419998
"17","2013-09-11",38.880001
"18","2013-09-12",40.200001
"19","2013-09-13",40.549999
"20","2013-09-16",40.639999
"21","2013-09-17",40.490002
"22","2013-09-18",40.950001
"23","2013-09-19",40.450001
"24","2013-09-20",40.689999
"25","2013-09-23",40.330002
"26","2013-09-24",40.98
"27","2013-09-25",40.470001
"28","2013-09-26",41.150002
"29","2013-09-27",41.009998
"30","2013-09-30",40.389999
"31","2013-10-01",40.529999
"32","2013-10-02",40.580002
"33","2013-10-03",40.5
"34","2013-10-04",40.310001
"35","2013-10-07",40
"36","2013-10-08",39.650002
"37","2013-10-09",39.959999
"38","2013-10-10",40.990002
"39","2013-10-11",41.32
"40","2013-10-14",41.360001
"41","2013-10-15",40.830002
"42","2013-10-16",40.98
"43","2013-10-17",40.639999
"44","2013-10-18",41.27
"45","2013-10-21",41.509998
"46","2013-10-22",41.48
"47","2013-10-23",41
"48","2013-10-24",40.82
"49","2013-10-25",40.880001
"50","2013-10-28",40.5
"51","2013-10-29",40.720001
"52","2013-10-30",40.529999
"53","2013-10-31",40.580002
"54","2013-11-01",41.200001
"55","2013-11-04",40.709999
"56","2013-11-05",41.060001
"57","2013-11-06",41.700001
"58","2013-11-07",42.139999
"59","2013-11-08",42.060001
"60","2013-11-11",42.290001
"61","2013-11-12",42.759998
"62","2013-11-13",42.709999
"63","2013-11-14",42.98
"64","2013-11-15",43.599998
"65","2013-11-18",43.919998
"66","2013-11-19",44
"67","2013-11-20",44.259998
"68","2013-11-21",45.369999
"69","2013-11-22",46.310001
"70","2013-11-25",44.880001
"71","2013-11-26",45.259998
"72","2013-11-27",46.040001
"73","2013-11-29",45.25
"74","2013-12-02",46.02
"75","2013-12-03",45.830002
"76","2013-12-04",44.98
"77","2013-12-05",45.349998
"78","2013-12-06",45.619999
"79","2013-12-09",45.580002
"80","2013-12-10",44.810001
"81","2013-12-11",43.279999
"82","2013-12-12",42.439999
"83","2013-12-13",42.299999
"84","2013-12-16",42.130001
"85","2013-12-17",42.32
