"","date","ET"
"1","2007-01-03",7.7375
"2","2007-01-04",7.7625
"3","2007-01-05",7.7375
"4","2007-01-08",7.725
"5","2007-01-09",7.6675
"6","2007-01-10",7.625
"7","2007-01-11",7.635
"8","2007-01-12",7.66
"9","2007-01-16",7.6625
"10","2007-01-17",7.715
"11","2007-01-18",7.7075
"12","2007-01-19",7.71
"13","2007-01-22",7.7375
"14","2007-01-23",7.8625
"15","2007-01-24",7.9725
"16","2007-01-25",7.8125
"17","2007-01-26",7.9625
"18","2007-01-29",7.9375
"19","2007-01-30",7.975
"20","2007-01-31",7.9975
"21","2007-02-01",8
"22","2007-02-02",8.045
"23","2007-02-05",8.06
"24","2007-02-06",8.12
"25","2007-02-07",8.21
"26","2007-02-08",8.175
"27","2007-02-09",8.2125
"28","2007-02-12",8.205
"29","2007-02-13",8.235
"30","2007-02-14",8.2925
"31","2007-02-15",8.3275
"32","2007-02-16",8.35
"33","2007-02-20",8.26
"34","2007-02-21",8.3025
"35","2007-02-22",8.2625
"36","2007-02-23",8.2625
"37","2007-02-26",8.3075
"38","2007-02-27",8.2375
"39","2007-02-28",8.425
"40","2007-03-01",8.825
"41","2007-03-02",8.875
"42","2007-03-05",8.7175
"43","2007-03-06",8.7525
"44","2007-03-07",8.715
"45","2007-03-08",8.805
"46","2007-03-09",9.075
"47","2007-03-12",8.9325
"48","2007-03-13",8.905
"49","2007-03-14",8.9
"50","2007-03-15",8.85
"51","2007-03-16",8.9625
"52","2007-03-19",8.9625
"53","2007-03-20",8.9875
"54","2007-03-21",9.115
"55","2007-03-22",9.0975
"56","2007-03-23",9.205
"57","2007-03-26",9.25
"58","2007-03-27",9.23
"59","2007-03-28",9.2
"60","2007-03-29",9.1875
"61","2007-03-30",9.175
"62","2007-04-02",9.1325
"63","2007-04-03",9.145
"64","2007-04-04",9.15
"65","2007-04-05",9.155
"66","2007-04-09",9.205
"67","2007-04-10",9.175
"68","2007-04-11",9.1525
"69","2007-04-12",9.11
"70","2007-04-13",9.135
"71","2007-04-16",9.12
"72","2007-04-17",9.225
"73","2007-04-18",9.3875
"74","2007-04-19",9.3875
"75","2007-04-20",9.45
"76","2007-04-23",9.46
"77","2007-04-24",9.48
"78","2007-04-25",9.515
"79","2007-04-26",9.45
"80","2007-04-27",9.43
"81","2007-04-30",9.4775
"82","2007-05-01",9.4225
"83","2007-05-02",9.4325
"84","2007-05-03",9.41
"85","2007-05-04",9.3525
"86","2007-05-07",9.2625
"87","2007-05-08",9.9775
"88","2007-05-09",9.975
"89","2007-05-10",9.9825
"90","2007-05-11",9.975
"91","2007-05-14",9.98
"92","2007-05-15",10.055
"93","2007-05-16",10.0275
"94","2007-05-17",10.01
"95","2007-05-18",9.9975
"96","2007-05-21",10.005
"97","2007-05-22",9.965
"98","2007-05-23",9.9525
"99","2007-05-24",9.9375
"100","2007-05-25",9.9975
"101","2007-05-29",10.0075
"102","2007-05-30",10.11
"103","2007-05-31",10.1725
"104","2007-06-01",10.1875
"105","2007-06-04",10.255
"106","2007-06-05",10.365
"107","2007-06-06",10.2725
"108","2007-06-07",10.16
"109","2007-06-08",10.165
"110","2007-06-11",10.19
"111","2007-06-12",10.16
"112","2007-06-13",10.2575
"113","2007-06-14",10.25
"114","2007-06-15",10.1825
"115","2007-06-18",10.125
"116","2007-06-19",10.1225
"117","2007-06-20",10.2875
"118","2007-06-21",10.445
"119","2007-06-22",10.6175
"120","2007-06-25",10.555
"121","2007-06-26",10.62
"122","2007-06-27",10.73
"123","2007-06-28",10.5375
"124","2007-06-29",10.6225
"125","2007-07-02",10.6625
"126","2007-07-03",10.66
"127","2007-07-05",10.62
"128","2007-07-06",10.6775
"129","2007-07-09",10.6125
"130","2007-07-10",10.55
"131","2007-07-11",10.5225
"132","2007-07-12",10.325
"133","2007-07-13",10.2775
"134","2007-07-16",10.2575
"135","2007-07-17",10.225
"136","2007-07-18",10.21
"137","2007-07-19",10.2175
"138","2007-07-20",10.2325
"139","2007-07-23",10.175
"140","2007-07-24",10.1475
"141","2007-07-25",10.1325
"142","2007-07-26",9.9475
"143","2007-07-27",9.8475
"144","2007-07-30",9.6075
"145","2007-07-31",9.6425
"146","2007-08-01",9.6075
"147","2007-08-02",9.1
"148","2007-08-03",9.135
"149","2007-08-06",9.0375
"150","2007-08-07",9.08
"151","2007-08-08",9.085
"152","2007-08-09",8.8625
"153","2007-08-10",8.7675
"154","2007-08-13",8.85
"155","2007-08-14",8.8875
"156","2007-08-15",8.585
"157","2007-08-16",8.9625
"158","2007-08-17",8.9675
"159","2007-08-20",8.99
"160","2007-08-21",8.9875
"161","2007-08-22",9.1125
"162","2007-08-23",9.2425
"163","2007-08-24",9.2475
"164","2007-08-27",9.24
"165","2007-08-28",9.225
"166","2007-08-29",9.2125
"167","2007-08-30",9.125
"168","2007-08-31",9.1875
"169","2007-09-04",9.25
"170","2007-09-05",9.2075
"171","2007-09-06",9.23
"172","2007-09-07",9.2325
"173","2007-09-10",9.21
"174","2007-09-11",9.1925
"175","2007-09-12",9.08
"176","2007-09-13",9.0275
"177","2007-09-14",9.0975
"178","2007-09-17",9
"179","2007-09-18",9.015
"180","2007-09-19",9.0275
"181","2007-09-20",9
"182","2007-09-21",8.98
"183","2007-09-24",8.9325
"184","2007-09-25",8.745
