"","date","MFC"
"1","2007-01-03",33.740002
"2","2007-01-04",33.77
"3","2007-01-05",33.419998
"4","2007-01-08",33.43
"5","2007-01-09",33.189999
"6","2007-01-10",33.18
"7","2007-01-11",33.099998
"8","2007-01-12",33.639999
"9","2007-01-16",33.57
"10","2007-01-17",33.360001
"11","2007-01-18",33.32
"12","2007-01-19",33.630001
"13","2007-01-22",33.439999
"14","2007-01-23",33.689999
"15","2007-01-24",33.900002
"16","2007-01-25",33.52
"17","2007-01-26",33.619999
"18","2007-01-29",33.360001
"19","2007-01-30",33.389999
"20","2007-01-31",33.709999
"21","2007-02-01",34.349998
"22","2007-02-02",34.029999
"23","2007-02-05",34.5
"24","2007-02-06",34.59
"25","2007-02-07",34.619999
"26","2007-02-08",34.77
"27","2007-02-09",34.599998
"28","2007-02-12",34.610001
"29","2007-02-13",34.880001
"30","2007-02-14",34.400002
"31","2007-02-15",34.709999
"32","2007-02-16",34.779999
"33","2007-02-20",34.790001
"34","2007-02-21",34.860001
"35","2007-02-22",34.52
"36","2007-02-23",34.540001
"37","2007-02-26",34.650002
"38","2007-02-27",33.540001
"39","2007-02-28",33.57
"40","2007-03-01",33.389999
"41","2007-03-02",33.330002
"42","2007-03-05",32.970001
"43","2007-03-06",33.52
"44","2007-03-07",33.439999
"45","2007-03-08",33.700001
"46","2007-03-09",34.259998
"47","2007-03-12",34.34
"48","2007-03-13",33.41
"49","2007-03-14",33.169998
"50","2007-03-15",33.279999
"51","2007-03-16",33.400002
"52","2007-03-19",33.91
"53","2007-03-20",34.200001
"54","2007-03-21",34.889999
"55","2007-03-22",34.110001
"56","2007-03-23",34.549999
"57","2007-03-26",34.700001
"58","2007-03-27",34.57
"59","2007-03-28",34.119999
"60","2007-03-29",34.5
"61","2007-03-30",34.450001
"62","2007-04-02",34.650002
"63","2007-04-03",34.869999
"64","2007-04-04",35.009998
"65","2007-04-05",35.27
"66","2007-04-09",35.400002
"67","2007-04-10",35
