"","date","RNA"
"1","2020-06-12",28.5
"2","2020-06-15",28.9
"3","2020-06-16",29.799999
"4","2020-06-17",29
"5","2020-06-18",26.98
"6","2020-06-19",30.07
"7","2020-06-22",31.5
"8","2020-06-23",31.4
"9","2020-06-24",28.74
"10","2020-06-25",28
"11","2020-06-26",26.620001
"12","2020-06-29",27.040001
"13","2020-06-30",28.26
"14","2020-07-01",25.870001
"15","2020-07-02",26.870001
"16","2020-07-06",27.59
"17","2020-07-07",28.1
"18","2020-07-08",28.110001
"19","2020-07-09",27.25
"20","2020-07-10",26.940001
"21","2020-07-13",27.84
"22","2020-07-14",27.219999
"23","2020-07-15",26.360001
"24","2020-07-16",25.389999
"25","2020-07-17",25.889999
"26","2020-07-20",23.35
"27","2020-07-21",23.98
"28","2020-07-22",23.709999
"29","2020-07-23",23.68
"30","2020-07-24",23.73
"31","2020-07-27",25.049999
"32","2020-07-28",28.549999
"33","2020-07-29",27.450001
"34","2020-07-30",28.01
"35","2020-07-31",28.190001
"36","2020-08-03",27.969999
"37","2020-08-04",26.540001
"38","2020-08-05",28.559999
"39","2020-08-06",28.299999
"40","2020-08-07",28.73
"41","2020-08-10",28.41
"42","2020-08-11",29.280001
"43","2020-08-12",29.870001
"44","2020-08-13",29.389999
"45","2020-08-14",28.98
"46","2020-08-17",28.51
"47","2020-08-18",30.219999
"48","2020-08-19",31.129999
"49","2020-08-20",32.279999
"50","2020-08-21",30.450001
"51","2020-08-24",29
"52","2020-08-25",28.59
"53","2020-08-26",28.610001
"54","2020-08-27",28.530001
"55","2020-08-28",28.52
"56","2020-08-31",28.799999
"57","2020-09-01",28.9
"58","2020-09-02",29
"59","2020-09-03",28.889999
"60","2020-09-04",28.700001
"61","2020-09-08",30.35
"62","2020-09-09",32.939999
"63","2020-09-10",32.32
"64","2020-09-11",33.490002
"65","2020-09-14",35.939999
"66","2020-09-15",34.669998
"67","2020-09-16",34.389999
"68","2020-09-17",33.369999
"69","2020-09-18",34.310001
"70","2020-09-21",33.18
"71","2020-09-22",33.950001
"72","2020-09-23",29.870001
"73","2020-09-24",29.559999
"74","2020-09-25",29.15
"75","2020-09-28",29.83
"76","2020-09-29",28.889999
"77","2020-09-30",28.15
"78","2020-10-01",28.51
"79","2020-10-02",28.620001
"80","2020-10-05",29.924999
"81","2020-10-06",29.809999
"82","2020-10-07",29.99
"83","2020-10-08",28.629999
"84","2020-10-09",27.67
"85","2020-10-12",27.85
"86","2020-10-13",29.379999
"87","2020-10-14",27.549999
"88","2020-10-15",27.82
"89","2020-10-16",28.5
"90","2020-10-19",27.379999
"91","2020-10-20",27.129999
"92","2020-10-21",27.559999
"93","2020-10-22",28.84
"94","2020-10-23",27.959999
"95","2020-10-26",27.32
"96","2020-10-27",27.299999
"97","2020-10-28",26.49
"98","2020-10-29",26.25
"99","2020-10-30",24.73
"100","2020-11-02",26.190001
"101","2020-11-03",27
"102","2020-11-04",28.48
"103","2020-11-05",28.049999
"104","2020-11-06",27.98
"105","2020-11-09",29.34
"106","2020-11-10",29.780001
"107","2020-11-11",29.040001
"108","2020-11-12",29.5
"109","2020-11-13",29.200001
"110","2020-11-16",28.809999
"111","2020-11-17",28.219999
"112","2020-11-18",28.4
"113","2020-11-19",29.9
"114","2020-11-20",29.66
"115","2020-11-23",30.879999
"116","2020-11-24",29.200001
"117","2020-11-25",30.030001
"118","2020-11-27",30.73
