"","date","EURN"
"1","2015-01-26",12.2
"2","2015-01-27",12.32
"3","2015-01-28",12.1
"4","2015-01-29",12.3
"5","2015-01-30",11.67
"6","2015-02-02",11.31
"7","2015-02-03",11.33
"8","2015-02-04",10.95
"9","2015-02-05",11.29
"10","2015-02-06",11.48
"11","2015-02-09",11.13
"12","2015-02-10",11.2
"13","2015-02-11",11.78
"14","2015-02-12",11.85
"15","2015-02-13",11.7
"16","2015-02-17",11.9
"17","2015-02-18",12.12
"18","2015-02-19",12.01
"19","2015-02-20",12.36
"20","2015-02-23",12.4
"21","2015-02-24",12.53
"22","2015-02-25",12.4
"23","2015-02-26",12.31
"24","2015-02-27",12.27
"25","2015-03-02",11.93
"26","2015-03-03",12.09
"27","2015-03-04",11.93
"28","2015-03-05",11.81
"29","2015-03-06",11.64
"30","2015-03-09",11.44
"31","2015-03-10",11.07
"32","2015-03-11",11.39
"33","2015-03-12",11.48
"34","2015-03-13",11.52
"35","2015-03-16",11.66
"36","2015-03-17",11.76
"37","2015-03-18",11.93
"38","2015-03-19",12.03
"39","2015-03-20",12.15
"40","2015-03-23",12.41
"41","2015-03-24",12.46
"42","2015-03-25",12.3
"43","2015-03-26",12.39
"44","2015-03-27",12.54
"45","2015-03-30",12.15
"46","2015-03-31",12.06
"47","2015-04-01",12.61
"48","2015-04-02",12.82
"49","2015-04-06",12.88
"50","2015-04-07",12.85
"51","2015-04-08",12.9
"52","2015-04-09",12.82
"53","2015-04-10",13.22
"54","2015-04-13",13.25
"55","2015-04-14",13.46
"56","2015-04-15",13.5
"57","2015-04-16",13.56
"58","2015-04-17",13.59
"59","2015-04-20",13.83
"60","2015-04-21",13.97
"61","2015-04-22",14.06
"62","2015-04-23",13.87
"63","2015-04-24",13.7
"64","2015-04-27",13.8
"65","2015-04-28",13.81
"66","2015-04-29",13.53
"67","2015-04-30",13.48
"68","2015-05-01",13.71
"69","2015-05-04",13.87
"70","2015-05-05",13.6
"71","2015-05-06",13.51
"72","2015-05-07",13.18
"73","2015-05-08",13.57
"74","2015-05-11",13.04
"75","2015-05-12",12.99
"76","2015-05-13",13.39
"77","2015-05-14",13.8
"78","2015-05-15",14.22
"79","2015-05-18",14.12
"80","2015-05-19",13.94
"81","2015-05-20",13.9
"82","2015-05-21",13.93
"83","2015-05-22",13.95
"84","2015-05-26",13.68
"85","2015-05-27",13.69
"86","2015-05-28",13.81
"87","2015-05-29",13.66
"88","2015-06-01",13.55
"89","2015-06-02",13.93
"90","2015-06-03",14.09
"91","2015-06-04",14.02
"92","2015-06-05",14.24
"93","2015-06-08",14.39
"94","2015-06-09",14.49
"95","2015-06-10",14.97
"96","2015-06-11",15.03
"97","2015-06-12",14.79
"98","2015-06-15",14.75
"99","2015-06-16",14.61
"100","2015-06-17",14.74
"101","2015-06-18",14.95
"102","2015-06-19",15.16
"103","2015-06-22",15.44
"104","2015-06-23",15.31
"105","2015-06-24",15.17
"106","2015-06-25",14.79
"107","2015-06-26",14.81
"108","2015-06-29",14.79
"109","2015-06-30",14.81
"110","2015-07-01",15.16
"111","2015-07-02",15.33
"112","2015-07-06",15.11
