"","date","RLH"
"1","2007-01-03",12.85
"2","2007-01-04",12.92
"3","2007-01-05",12.86
"4","2007-01-08",12.81
"5","2007-01-09",12.81
"6","2007-01-10",12.74
"7","2007-01-11",12.68
"8","2007-01-12",12.7
"9","2007-01-16",12.61
"10","2007-01-17",12.56
"11","2007-01-18",12.55
"12","2007-01-19",12.51
"13","2007-01-22",12.25
"14","2007-01-23",12.05
"15","2007-01-24",12.01
"16","2007-01-25",12
"17","2007-01-26",12.05
"18","2007-01-29",11.92
"19","2007-01-30",11.85
"20","2007-01-31",12.03
"21","2007-02-01",12.24
"22","2007-02-02",12.25
"23","2007-02-05",12.25
"24","2007-02-06",12.07
"25","2007-02-07",12.06
"26","2007-02-08",12.01
"27","2007-02-09",11.79
"28","2007-02-12",11.41
"29","2007-02-13",11.34
"30","2007-02-14",11.2
"31","2007-02-15",10.62
"32","2007-02-16",11.15
"33","2007-02-20",11.44
"34","2007-02-21",12.03
"35","2007-02-22",11.95
"36","2007-02-23",12.09
"37","2007-02-26",12.15
"38","2007-02-27",11.95
"39","2007-02-28",12.25
"40","2007-03-01",12.09
"41","2007-03-02",12
"42","2007-03-05",11.64
"43","2007-03-06",11.59
"44","2007-03-07",11.56
"45","2007-03-08",11.69
"46","2007-03-09",11.57
"47","2007-03-12",11.5
"48","2007-03-13",11.49
"49","2007-03-14",11.35
"50","2007-03-15",11.49
"51","2007-03-16",11.4
"52","2007-03-19",11.33
"53","2007-03-20",11.25
"54","2007-03-21",11.21
"55","2007-03-22",11.27
"56","2007-03-23",11.84
"57","2007-03-26",12.24
"58","2007-03-27",12.17
"59","2007-03-28",12.17
"60","2007-03-29",12.4
"61","2007-03-30",12.44
"62","2007-04-02",12.83
"63","2007-04-03",12.39
"64","2007-04-04",12.34
"65","2007-04-05",12.35
"66","2007-04-09",12.34
"67","2007-04-10",12.22
"68","2007-04-11",12.1
"69","2007-04-12",12.25
"70","2007-04-13",12.28
"71","2007-04-16",12.26
"72","2007-04-17",12.33
"73","2007-04-18",12.25
"74","2007-04-19",12.29
"75","2007-04-20",12.23
"76","2007-04-23",12.18
"77","2007-04-24",12.43
"78","2007-04-25",12.28
"79","2007-04-26",12.32
"80","2007-04-27",12.39
"81","2007-04-30",12.75
"82","2007-05-01",12.44
"83","2007-05-02",13
"84","2007-05-03",12.91
"85","2007-05-04",13.04
"86","2007-05-07",12.93
"87","2007-05-08",13
"88","2007-05-09",13.02
"89","2007-05-10",12.75
"90","2007-05-11",12.71
