"","date","FLR"
"1","2007-01-03",40.365002
"2","2007-01-04",40.025002
"3","2007-01-05",39.185001
"4","2007-01-08",38.75
"5","2007-01-09",37.959999
"6","2007-01-10",38.32
"7","2007-01-11",38.549999
"8","2007-01-12",38.23
"9","2007-01-16",38.595001
"10","2007-01-17",38.93
"11","2007-01-18",38.715
"12","2007-01-19",39.16
"13","2007-01-22",38.705002
"14","2007-01-23",40.599998
"15","2007-01-24",40.470001
"16","2007-01-25",40.555
"17","2007-01-26",40.375
"18","2007-01-29",40.5
"19","2007-01-30",40.965
"20","2007-01-31",41.299999
"21","2007-02-01",42.950001
"22","2007-02-02",43.084999
"23","2007-02-05",42.685001
"24","2007-02-06",42.990002
"25","2007-02-07",42.755001
"26","2007-02-08",43.494999
"27","2007-02-09",42.974998
"28","2007-02-12",42.970001
"29","2007-02-13",42.380001
"30","2007-02-14",42.715
"31","2007-02-15",43.215
"32","2007-02-16",42.830002
"33","2007-02-20",43.825001
"34","2007-02-21",43.790001
"35","2007-02-22",44.025002
"36","2007-02-23",43.939999
"37","2007-02-26",43.860001
"38","2007-02-27",41.950001
"39","2007-02-28",42.205002
"40","2007-03-01",42.82
"41","2007-03-02",42.849998
"42","2007-03-05",43.099998
"43","2007-03-06",44.705002
"44","2007-03-07",44.799999
"45","2007-03-08",45.075001
"46","2007-03-09",45.09
"47","2007-03-12",45.110001
"48","2007-03-13",44.224998
"49","2007-03-14",43.884998
"50","2007-03-15",43.860001
"51","2007-03-16",44.035
"52","2007-03-19",45.310001
"53","2007-03-20",45.459999
"54","2007-03-21",46.490002
"55","2007-03-22",46.775002
"56","2007-03-23",46.215
"57","2007-03-26",46.25
"58","2007-03-27",45.900002
"59","2007-03-28",44.889999
"60","2007-03-29",44.939999
"61","2007-03-30",44.860001
"62","2007-04-02",45.025002
"63","2007-04-03",45.884998
"64","2007-04-04",45.93
"65","2007-04-05",45.860001
"66","2007-04-09",45.860001
"67","2007-04-10",46.174999
"68","2007-04-11",46.275002
"69","2007-04-12",46.724998
"70","2007-04-13",47.185001
"71","2007-04-16",47.075001
"72","2007-04-17",47.919998
"73","2007-04-18",47.52
"74","2007-04-19",47.334999
"75","2007-04-20",47.955002
"76","2007-04-23",48.369999
"77","2007-04-24",48.009998
"78","2007-04-25",48.830002
"79","2007-04-26",49.290001
"80","2007-04-27",48.945
"81","2007-04-30",47.810001
"82","2007-05-01",48.009998
"83","2007-05-02",48.555
"84","2007-05-03",48.419998
"85","2007-05-04",49.375
"86","2007-05-07",49.375
"87","2007-05-08",50.209999
"88","2007-05-09",51.389999
"89","2007-05-10",51.25
"90","2007-05-11",52.209999
"91","2007-05-14",51.154999
"92","2007-05-15",50.654999
"93","2007-05-16",50
"94","2007-05-17",49.945
"95","2007-05-18",50
"96","2007-05-21",50.244999
"97","2007-05-22",50.849998
"98","2007-05-23",51.264999
"99","2007-05-24",50.294998
"100","2007-05-25",50.459999
"101","2007-05-29",50.93
"102","2007-05-30",52
"103","2007-05-31",52.049999
"104","2007-06-01",52.459999
"105","2007-06-04",52.715
"106","2007-06-05",52.445
"107","2007-06-06",52.16
"108","2007-06-07",50.154999
"109","2007-06-08",51.16
"110","2007-06-11",52
"111","2007-06-12",51.325001
"112","2007-06-13",53.09
"113","2007-06-14",54.060001
"114","2007-06-15",54.834999
"115","2007-06-18",54.490002
"116","2007-06-19",54.224998
"117","2007-06-20",53.105
"118","2007-06-21",53.900002
"119","2007-06-22",52.855
"120","2007-06-25",51.540001
"121","2007-06-26",51.325001
"122","2007-06-27",52.060001
"123","2007-06-28",52.740002
"124","2007-06-29",55.685001
"125","2007-07-02",56.650002
"126","2007-07-03",57.099998
"127","2007-07-05",56.865002
"128","2007-07-06",57.509998
"129","2007-07-09",58.349998
"130","2007-07-10",57.389999
