"","date","SPPI"
"1","2007-01-03",5.56
"2","2007-01-04",5.6
"3","2007-01-05",5.6
"4","2007-01-08",5.76
"5","2007-01-09",5.69
"6","2007-01-10",5.68
"7","2007-01-11",5.61
"8","2007-01-12",5.67
"9","2007-01-16",5.82
"10","2007-01-17",5.87
"11","2007-01-18",5.76
"12","2007-01-19",5.73
"13","2007-01-22",5.76
"14","2007-01-23",5.73
"15","2007-01-24",5.83
"16","2007-01-25",5.88
"17","2007-01-26",6.16
"18","2007-01-29",6.25
"19","2007-01-30",6.29
"20","2007-01-31",6.44
"21","2007-02-01",6.51
"22","2007-02-02",6.49
"23","2007-02-05",6.43
"24","2007-02-06",6.65
"25","2007-02-07",6.58
"26","2007-02-08",6.6
"27","2007-02-09",6.56
"28","2007-02-12",6.44
"29","2007-02-13",6.49
"30","2007-02-14",6.45
"31","2007-02-15",6.36
"32","2007-02-16",6.56
"33","2007-02-20",6.87
"34","2007-02-21",7.07
"35","2007-02-22",6.97
"36","2007-02-23",6.8
"37","2007-02-26",6.4
"38","2007-02-27",6.09
"39","2007-02-28",5.97
"40","2007-03-01",5.68
"41","2007-03-02",5.44
"42","2007-03-05",5.39
"43","2007-03-06",5.48
"44","2007-03-07",5.57
"45","2007-03-08",5.61
"46","2007-03-09",5.81
"47","2007-03-12",5.89
"48","2007-03-13",5.74
"49","2007-03-14",5.59
"50","2007-03-15",5.63
"51","2007-03-16",5.77
"52","2007-03-19",5.78
"53","2007-03-20",5.82
"54","2007-03-21",6.04
"55","2007-03-22",6.05
"56","2007-03-23",6.08
"57","2007-03-26",6.21
"58","2007-03-27",6.32
"59","2007-03-28",6.15
"60","2007-03-29",6.17
"61","2007-03-30",6.27
"62","2007-04-02",6.47
"63","2007-04-03",6.51
"64","2007-04-04",6.51
"65","2007-04-05",6.63
"66","2007-04-09",6.89
"67","2007-04-10",6.79
"68","2007-04-11",6.85
"69","2007-04-12",7.25
"70","2007-04-13",7.35
"71","2007-04-16",7.3
"72","2007-04-17",7.36
"73","2007-04-18",7.37
"74","2007-04-19",7.03
"75","2007-04-20",7.16
"76","2007-04-23",7.2
"77","2007-04-24",6.91
"78","2007-04-25",6.99
