"","date","GE"
"1","2007-01-03",36.509617
"2","2007-01-04",36.298077
"3","2007-01-05",36.115383
"4","2007-01-08",36.10577
"5","2007-01-09",36.10577
"6","2007-01-10",36.115383
"7","2007-01-11",36.46154
"8","2007-01-12",36.432693
"9","2007-01-16",36.64423
"10","2007-01-17",36.51923
"11","2007-01-18",36.53846
"12","2007-01-19",35.528847
"13","2007-01-22",35.33654
"14","2007-01-23",35.14423
"15","2007-01-24",35.23077
"16","2007-01-25",34.942307
"17","2007-01-26",34.682693
"18","2007-01-29",34.798077
"19","2007-01-30",34.64423
"20","2007-01-31",34.66346
"21","2007-02-01",34.83654
"22","2007-02-02",34.875
"23","2007-02-05",34.971153
"24","2007-02-06",34.91346
"25","2007-02-07",34.71154
"26","2007-02-08",34.365383
"27","2007-02-09",34.16346
"28","2007-02-12",34.26923
"29","2007-02-13",34.39423
"30","2007-02-14",35.067307
"31","2007-02-15",34.75
"32","2007-02-16",34.490383
"33","2007-02-20",34.721153
"34","2007-02-21",34.528847
"35","2007-02-22",34.03846
"36","2007-02-23",33.75
"37","2007-02-26",33.98077
"38","2007-02-27",33.326923
"39","2007-02-28",33.567307
"40","2007-03-01",33.653847
"41","2007-03-02",33.528847
"42","2007-03-05",33.221153
"43","2007-03-06",33.384617
"44","2007-03-07",33.009617
"45","2007-03-08",33.125
"46","2007-03-09",33
"47","2007-03-12",33.115383
"48","2007-03-13",32.778847
"49","2007-03-14",32.990383
"50","2007-03-15",33.192307
"51","2007-03-16",33.03846
"52","2007-03-19",33.33654
"53","2007-03-20",33.432693
"54","2007-03-21",34.115383
"55","2007-03-22",34.432693
"56","2007-03-23",34.442307
"57","2007-03-26",34.615383
"58","2007-03-27",34.41346
"59","2007-03-28",34.182693
"60","2007-03-29",34.182693
"61","2007-03-30",34
"62","2007-04-02",33.932693
"63","2007-04-03",33.96154
"64","2007-04-04",33.759617
"65","2007-04-05",33.673077
"66","2007-04-09",33.442307
"67","2007-04-10",33.53846
"68","2007-04-11",33.60577
"69","2007-04-12",33.826923
"70","2007-04-13",34.01923
"71","2007-04-16",34
"72","2007-04-17",33.846153
"73","2007-04-18",33.778847
"74","2007-04-19",33.653847
"75","2007-04-20",33.778847
"76","2007-04-23",33.46154
"77","2007-04-24",33.423077
"78","2007-04-25",34.048077
