"","date","SPRO"
"1","2017-11-02",11.5
"2","2017-11-03",11.56
"3","2017-11-06",12
"4","2017-11-07",12.4
"5","2017-11-08",12.61
"6","2017-11-09",13.25
"7","2017-11-10",14.15
"8","2017-11-13",14.75
"9","2017-11-14",14.29
"10","2017-11-15",13.36
"11","2017-11-16",13.43
"12","2017-11-17",14.49
"13","2017-11-20",12.72
"14","2017-11-21",13.4
"15","2017-11-22",13.7
"16","2017-11-24",13.86
"17","2017-11-27",14.07
"18","2017-11-28",13.625
"19","2017-11-29",12.78
"20","2017-11-30",11.95
"21","2017-12-01",12.14
"22","2017-12-04",12.28
"23","2017-12-05",11.27
"24","2017-12-06",11.44
"25","2017-12-07",10.51
"26","2017-12-08",10.5
"27","2017-12-11",10.79
"28","2017-12-12",10.96
"29","2017-12-13",11.63
"30","2017-12-14",11.43
"31","2017-12-15",10.82
"32","2017-12-18",10.43
"33","2017-12-19",10.7
"34","2017-12-20",11.46
"35","2017-12-21",12.08
"36","2017-12-22",11.88
"37","2017-12-26",11.41
"38","2017-12-27",12
"39","2017-12-28",11.61
"40","2017-12-29",11.75
"41","2018-01-02",12.14
"42","2018-01-03",12.26
"43","2018-01-04",12.14
"44","2018-01-05",11.59
"45","2018-01-08",11.59
"46","2018-01-09",11.41
"47","2018-01-10",11.99
"48","2018-01-11",12.35
"49","2018-01-12",12.25
"50","2018-01-16",12.25
"51","2018-01-17",12.1
"52","2018-01-18",11.59
"53","2018-01-19",12.06
"54","2018-01-22",12.2
"55","2018-01-23",12.3
"56","2018-01-24",12.03
"57","2018-01-25",12.1
"58","2018-01-26",12.23
"59","2018-01-29",12.29
"60","2018-01-30",12.4
"61","2018-01-31",12.1
"62","2018-02-01",12.55
"63","2018-02-02",12.09
"64","2018-02-05",11.79
"65","2018-02-06",11.99
"66","2018-02-07",11.81
"67","2018-02-08",11.97
"68","2018-02-09",11.88
"69","2018-02-12",11.56
"70","2018-02-13",11.2
"71","2018-02-14",10
"72","2018-02-15",9.96
"73","2018-02-16",10.04
"74","2018-02-20",10.03
"75","2018-02-21",10
"76","2018-02-22",9.98
"77","2018-02-23",10.51
"78","2018-02-26",10.49
"79","2018-02-27",11.26
"80","2018-02-28",10.58
"81","2018-03-01",10.74
"82","2018-03-02",11.55
"83","2018-03-05",11.77
"84","2018-03-06",11.81
"85","2018-03-07",11.47
"86","2018-03-08",11.75
"87","2018-03-09",12
"88","2018-03-12",12.52
"89","2018-03-13",12.69
"90","2018-03-14",13.65
"91","2018-03-15",14.2
"92","2018-03-16",14.61
"93","2018-03-19",14.5
"94","2018-03-20",14.23
"95","2018-03-21",14.29
"96","2018-03-22",14.35
"97","2018-03-23",13.75
"98","2018-03-26",14.35
"99","2018-03-27",14.07
"100","2018-03-28",14.19
"101","2018-03-29",14.25
"102","2018-04-02",14.2
"103","2018-04-03",13.9
"104","2018-04-04",14.3
"105","2018-04-05",14.26
"106","2018-04-06",13.86
"107","2018-04-09",14.76
"108","2018-04-10",14.8
"109","2018-04-11",14.99
"110","2018-04-12",17.85
"111","2018-04-13",15.49
"112","2018-04-16",13.52
"113","2018-04-17",13.45
"114","2018-04-18",13.09
"115","2018-04-19",13.16
"116","2018-04-20",12.91
"117","2018-04-23",12.57
"118","2018-04-24",13.04
"119","2018-04-25",13.41
"120","2018-04-26",13.15
"121","2018-04-27",12.45
"122","2018-04-30",12.11
"123","2018-05-01",13.11
"124","2018-05-02",12.77
"125","2018-05-03",12.64
"126","2018-05-04",12.4
"127","2018-05-07",12.37
"128","2018-05-08",12.01
"129","2018-05-09",12.19
"130","2018-05-10",11.59
"131","2018-05-11",12.04
"132","2018-05-14",11.41
"133","2018-05-15",12.23
"134","2018-05-16",12.09
"135","2018-05-17",12.14
"136","2018-05-18",12.1
"137","2018-05-21",12.14
"138","2018-05-22",11.94
"139","2018-05-23",11.2
"140","2018-05-24",10.58
"141","2018-05-25",10.41
"142","2018-05-29",10.85
"143","2018-05-30",10.83
"144","2018-05-31",10.64
"145","2018-06-01",11.4
"146","2018-06-04",11.25
"147","2018-06-05",11.54
"148","2018-06-06",11.83
"149","2018-06-07",11.49
"150","2018-06-08",10.94
"151","2018-06-11",11.54
"152","2018-06-12",11.43
"153","2018-06-13",11.78
"154","2018-06-14",12.33
"155","2018-06-15",11.95
"156","2018-06-18",11.39
"157","2018-06-19",13.5
"158","2018-06-20",14.5
"159","2018-06-21",13.3
"160","2018-06-22",14.65
"161","2018-06-25",15.13
"162","2018-06-26",14.73
"163","2018-06-27",13.99
"164","2018-06-28",14.58
"165","2018-06-29",14.67
"166","2018-07-02",15.84
"167","2018-07-03",16.08
"168","2018-07-05",17.790001
"169","2018-07-06",16.889999
"170","2018-07-09",17.389999
"171","2018-07-10",13.85
"172","2018-07-11",13.19
"173","2018-07-12",13.29
"174","2018-07-13",12.14
"175","2018-07-16",11.7
"176","2018-07-17",11.7
"177","2018-07-18",11.43
"178","2018-07-19",11.46
"179","2018-07-20",11.07
"180","2018-07-23",11.42
"181","2018-07-24",11.08
"182","2018-07-25",11.38
"183","2018-07-26",11.32
"184","2018-07-27",11.03
"185","2018-07-30",11.01
"186","2018-07-31",11.52
"187","2018-08-01",11.42
"188","2018-08-02",11.62
"189","2018-08-03",11.34
"190","2018-08-06",11.65
"191","2018-08-07",11.79
"192","2018-08-08",11.48
"193","2018-08-09",11.3
"194","2018-08-10",11.27
"195","2018-08-13",11.1
"196","2018-08-14",10.95
"197","2018-08-15",10.5
"198","2018-08-16",10.5
"199","2018-08-17",10.62
"200","2018-08-20",10.84
"201","2018-08-21",11.37
"202","2018-08-22",11.52
"203","2018-08-23",11.31
"204","2018-08-24",11.17
"205","2018-08-27",11.38
"206","2018-08-28",11.33
"207","2018-08-29",11.31
"208","2018-08-30",11.45
"209","2018-08-31",11.41
"210","2018-09-04",11.11
"211","2018-09-05",11.09
"212","2018-09-06",11
"213","2018-09-07",11.01
"214","2018-09-10",10.6
"215","2018-09-11",10.29
"216","2018-09-12",9.99
"217","2018-09-13",9.76
"218","2018-09-14",9.69
"219","2018-09-17",10.01
"220","2018-09-18",10.16
"221","2018-09-19",10.37
"222","2018-09-20",10.83
"223","2018-09-21",10.25
"224","2018-09-24",10.95
"225","2018-09-25",10.89
"226","2018-09-26",10.85
"227","2018-09-27",10.59
"228","2018-09-28",10.51
"229","2018-10-01",10.72
"230","2018-10-02",10.91
"231","2018-10-03",11.28
"232","2018-10-04",11.06
"233","2018-10-05",11.15
"234","2018-10-08",10.4
"235","2018-10-09",10.24
"236","2018-10-10",10
"237","2018-10-11",10.08
"238","2018-10-12",9.6
"239","2018-10-15",9.76
"240","2018-10-16",8.51
"241","2018-10-17",8.59
"242","2018-10-18",8.535
"243","2018-10-19",8.52
"244","2018-10-22",8.41
"245","2018-10-23",8.25
"246","2018-10-24",8.01
"247","2018-10-25",8.56
