"","date","INOV"
"1","2015-02-12",27
"2","2015-02-13",29
"3","2015-02-17",30.07
"4","2015-02-18",29.42
"5","2015-02-19",30.1
"6","2015-02-20",29.84
"7","2015-02-23",30.530001
"8","2015-02-24",30.969999
"9","2015-02-25",31.75
"10","2015-02-26",31.4
"11","2015-02-27",31.059999
"12","2015-03-02",31.01
"13","2015-03-03",30.57
"14","2015-03-04",30.879999
"15","2015-03-05",30.639999
"16","2015-03-06",30.530001
"17","2015-03-09",29.76
"18","2015-03-10",27.549999
"19","2015-03-11",27.51
"20","2015-03-12",27.6
"21","2015-03-13",27.879999
"22","2015-03-16",29.290001
"23","2015-03-17",29.059999
"24","2015-03-18",29.059999
"25","2015-03-19",30
"26","2015-03-20",31.91
"27","2015-03-23",30.799999
"28","2015-03-24",31.559999
"29","2015-03-25",30.34
"30","2015-03-26",31.700001
"31","2015-03-27",30.940001
"32","2015-03-30",29.68
"33","2015-03-31",30.209999
"34","2015-04-01",29.01
"35","2015-04-02",28.959999
"36","2015-04-06",28.59
"37","2015-04-07",26.99
"38","2015-04-08",27.33
"39","2015-04-09",27.66
"40","2015-04-10",28.459999
"41","2015-04-13",28.889999
"42","2015-04-14",28.139999
"43","2015-04-15",27.67
"44","2015-04-16",26.93
"45","2015-04-17",26.389999
"46","2015-04-20",26.23
"47","2015-04-21",25.66
"48","2015-04-22",25.83
"49","2015-04-23",26.99
"50","2015-04-24",26.67
"51","2015-04-27",26.43
"52","2015-04-28",26.26
"53","2015-04-29",25.690001
"54","2015-04-30",25.25
"55","2015-05-01",25.139999
"56","2015-05-04",25.700001
"57","2015-05-05",25.280001
"58","2015-05-06",24.67
"59","2015-05-07",23.440001
"60","2015-05-08",24.190001
"61","2015-05-11",24
"62","2015-05-12",22.9
"63","2015-05-13",22.85
"64","2015-05-14",23.950001
"65","2015-05-15",25.700001
"66","2015-05-18",26.1
"67","2015-05-19",26.1
"68","2015-05-20",26.709999
"69","2015-05-21",26.889999
"70","2015-05-22",27.58
"71","2015-05-26",28.01
"72","2015-05-27",27.639999
"73","2015-05-28",27.799999
"74","2015-05-29",26.58
"75","2015-06-01",26.35
"76","2015-06-02",27.17
"77","2015-06-03",27.34
"78","2015-06-04",27.23
"79","2015-06-05",27.799999
"80","2015-06-08",27.799999
"81","2015-06-09",27.82
"82","2015-06-10",28.049999
"83","2015-06-11",28
"84","2015-06-12",27.43
"85","2015-06-15",27.700001
"86","2015-06-16",27.98
"87","2015-06-17",28
"88","2015-06-18",28.66
"89","2015-06-19",27.57
"90","2015-06-22",28.34
"91","2015-06-23",28.27
"92","2015-06-24",27.440001
"93","2015-06-25",27.709999
"94","2015-06-26",28.139999
"95","2015-06-29",27.200001
"96","2015-06-30",27.9
"97","2015-07-01",26.469999
"98","2015-07-02",26.049999
"99","2015-07-06",27
"100","2015-07-07",27.65
"101","2015-07-08",27.290001
"102","2015-07-09",26.690001
"103","2015-07-10",27.01
"104","2015-07-13",27
"105","2015-07-14",26.24
"106","2015-07-15",26.26
"107","2015-07-16",27.01
"108","2015-07-17",26.280001
"109","2015-07-20",26.370001
"110","2015-07-21",26.5
"111","2015-07-22",26.01
"112","2015-07-23",26.01
"113","2015-07-24",25.809999
"114","2015-07-27",25.360001
"115","2015-07-28",25.15
"116","2015-07-29",24.870001
"117","2015-07-30",24.74
"118","2015-07-31",24.16
"119","2015-08-03",23.73
"120","2015-08-04",25.030001
"121","2015-08-05",25.4
"122","2015-08-06",19.530001
"123","2015-08-07",21.559999
"124","2015-08-10",21.92
"125","2015-08-11",21.48
"126","2015-08-12",21.309999
"127","2015-08-13",21.459999
"128","2015-08-14",21.48
"129","2015-08-17",21.26
"130","2015-08-18",21.57
"131","2015-08-19",21.459999
"132","2015-08-20",21.209999
"133","2015-08-21",20.950001
"134","2015-08-24",20.610001
"135","2015-08-25",20.98
"136","2015-08-26",20.91
"137","2015-08-27",21.190001
"138","2015-08-28",21.73
"139","2015-08-31",21.889999
"140","2015-09-01",21.76
"141","2015-09-02",21.76
"142","2015-09-03",21.43
"143","2015-09-04",20.93
"144","2015-09-08",21.459999
"145","2015-09-09",21.120001
"146","2015-09-10",21.190001
"147","2015-09-11",21.690001
"148","2015-09-14",21.91
"149","2015-09-15",22.15
"150","2015-09-16",21.9
"151","2015-09-17",22.799999
