"","date","QTNT"
"1","2014-04-25",7.45
"2","2014-04-28",7.4
"3","2014-04-29",7.45
"4","2014-04-30",7.05
"5","2014-05-01",7
"6","2014-05-02",7
"7","2014-05-05",7
"8","2014-05-06",6.98
"9","2014-05-07",6.75
"10","2014-05-08",6.5
"11","2014-05-09",6.8
"12","2014-05-12",7.05
"13","2014-05-13",7.2
"14","2014-05-14",7.09
"15","2014-05-15",6.9
"16","2014-05-16",6.71
"17","2014-05-19",7.15
"18","2014-05-20",7.24
"19","2014-05-21",7.1
"20","2014-05-22",6.85
"21","2014-05-23",6.61
"22","2014-05-27",6.6
"23","2014-05-28",6.99
"24","2014-05-29",6.3
"25","2014-05-30",6.74
"26","2014-06-02",7.38
"27","2014-06-03",7.24
"28","2014-06-04",7.4
"29","2014-06-05",7.45
"30","2014-06-06",8.05
"31","2014-06-09",8.2
"32","2014-06-10",8.59
"33","2014-06-11",8.4
"34","2014-06-12",8.2
"35","2014-06-13",8.65
"36","2014-06-16",7.92
"37","2014-06-17",8.1
"38","2014-06-18",8
"39","2014-06-19",8.05
"40","2014-06-20",8
"41","2014-06-23",8.34
"42","2014-06-24",8
"43","2014-06-25",8.15
"44","2014-06-26",8.25
"45","2014-06-27",8.3
"46","2014-06-30",8.36
"47","2014-07-01",7.97
"48","2014-07-02",8
"49","2014-07-03",8.5
"50","2014-07-07",8.65
"51","2014-07-08",8.8
"52","2014-07-09",8.8
"53","2014-07-10",8.8
"54","2014-07-11",8.82
"55","2014-07-14",8.8
"56","2014-07-15",8.5
"57","2014-07-16",8.75
"58","2014-07-17",8.8
"59","2014-07-18",8.8
"60","2014-07-21",8.89
"61","2014-07-22",8.89
"62","2014-07-23",8.54
"63","2014-07-24",8.76
"64","2014-07-25",8.75
"65","2014-07-28",8.8
"66","2014-07-29",9
"67","2014-07-30",9
"68","2014-07-31",9.1
"69","2014-08-01",9.17
"70","2014-08-04",9.5
"71","2014-08-05",9.26
"72","2014-08-06",9.2
"73","2014-08-07",9
"74","2014-08-08",9.07
"75","2014-08-11",8.9
"76","2014-08-12",9
"77","2014-08-13",9.69
"78","2014-08-14",9.85
"79","2014-08-15",9.82
"80","2014-08-18",10.1
"81","2014-08-19",9.02
"82","2014-08-20",8.84
"83","2014-08-21",8.74
"84","2014-08-22",8.84
"85","2014-08-25",8.81
"86","2014-08-26",8.81
"87","2014-08-27",8.75
"88","2014-08-28",8.81
"89","2014-08-29",8.85
"90","2014-09-02",9.26
"91","2014-09-03",9.28
"92","2014-09-04",9.55
"93","2014-09-05",9.4
"94","2014-09-08",9.83
"95","2014-09-09",9.6
"96","2014-09-10",9.8
"97","2014-09-11",9.79
"98","2014-09-12",9.48
"99","2014-09-15",9.2
"100","2014-09-16",9.21
"101","2014-09-17",9.23
"102","2014-09-18",9.9
"103","2014-09-19",9.79
"104","2014-09-22",9.65
"105","2014-09-23",9.77
"106","2014-09-24",9.77
"107","2014-09-25",9.63
"108","2014-09-26",9.5
"109","2014-09-29",9.48
"110","2014-09-30",9.43
"111","2014-10-01",9.43
"112","2014-10-02",9.52
"113","2014-10-03",9.99
"114","2014-10-06",9.84
"115","2014-10-07",9.7
"116","2014-10-08",9.6
"117","2014-10-09",9.5
"118","2014-10-10",9.39
"119","2014-10-13",9.37
"120","2014-10-14",9.27
"121","2014-10-15",9.27
"122","2014-10-16",9.5
"123","2014-10-17",9.58
"124","2014-10-20",9.58
"125","2014-10-21",9.55
"126","2014-10-22",9.92
"127","2014-10-23",10
"128","2014-10-24",10.1
"129","2014-10-27",10
"130","2014-10-28",10
"131","2014-10-29",9.95
"132","2014-10-30",9.95
"133","2014-10-31",10
"134","2014-11-03",9.88
"135","2014-11-04",9.89
"136","2014-11-05",9.84
"137","2014-11-06",10.04
"138","2014-11-07",10.28
"139","2014-11-10",10.52
"140","2014-11-11",10.62
"141","2014-11-12",10.5
"142","2014-11-13",10.52
"143","2014-11-14",10.95
"144","2014-11-17",11.15
"145","2014-11-18",12.99
"146","2014-11-19",12.87
"147","2014-11-20",13.28
"148","2014-11-21",13.13
"149","2014-11-24",13.87
"150","2014-11-25",15.94
"151","2014-11-26",12.55
"152","2014-11-28",11.99
"153","2014-12-01",11.68
"154","2014-12-02",11.59
"155","2014-12-03",11.86
"156","2014-12-04",11.84
"157","2014-12-05",11.97
"158","2014-12-08",12.5
"159","2014-12-09",14
"160","2014-12-10",14
"161","2014-12-11",13.31
"162","2014-12-12",15.36
"163","2014-12-15",15.14
"164","2014-12-16",14.76
"165","2014-12-17",14.9
"166","2014-12-18",14.1
"167","2014-12-19",14.42
"168","2014-12-22",14.99
"169","2014-12-23",14.88
"170","2014-12-24",14.78
"171","2014-12-26",15.77
"172","2014-12-29",16.5
"173","2014-12-30",17.5
"174","2014-12-31",18
"175","2015-01-02",17.25
"176","2015-01-05",16.809999
"177","2015-01-06",16.01
"178","2015-01-07",15.54
"179","2015-01-08",15.91
"180","2015-01-09",15.89
