"","date","AN"
"1","2007-01-03",21.27
"2","2007-01-04",21.18
"3","2007-01-05",20.870001
"4","2007-01-08",20.879999
"5","2007-01-09",21.15
"6","2007-01-10",21.08
"7","2007-01-11",21.559999
"8","2007-01-12",21.559999
"9","2007-01-16",21.5
"10","2007-01-17",21.530001
"11","2007-01-18",21.66
"12","2007-01-19",21.889999
"13","2007-01-22",21.85
"14","2007-01-23",21.950001
"15","2007-01-24",22.389999
"16","2007-01-25",22.280001
"17","2007-01-26",21.950001
"18","2007-01-29",22.25
"19","2007-01-30",22.200001
"20","2007-01-31",22.450001
"21","2007-02-01",22.6
"22","2007-02-02",22.9
"23","2007-02-05",22.65
"24","2007-02-06",22.809999
"25","2007-02-07",22.959999
"26","2007-02-08",22.93
"27","2007-02-09",22.74
"28","2007-02-12",22.809999
"29","2007-02-13",23.08
"30","2007-02-14",23.030001
"31","2007-02-15",23.049999
"32","2007-02-16",22.9
"33","2007-02-20",22.9
"34","2007-02-21",22.74
"35","2007-02-22",22.74
"36","2007-02-23",22.73
"37","2007-02-26",22.74
"38","2007-02-27",22.139999
"39","2007-02-28",21.959999
"40","2007-03-01",21.92
"41","2007-03-02",21.83
"42","2007-03-05",21.379999
"43","2007-03-06",21.469999
"44","2007-03-07",21.629999
"45","2007-03-08",21.6
"46","2007-03-09",21.67
"47","2007-03-12",21.639999
"48","2007-03-13",21.23
"49","2007-03-14",21
"50","2007-03-15",21.15
"51","2007-03-16",21
"52","2007-03-19",21.190001
"53","2007-03-20",21.200001
"54","2007-03-21",21.41
"55","2007-03-22",21.549999
"56","2007-03-23",21.709999
"57","2007-03-26",21.639999
"58","2007-03-27",21.450001
"59","2007-03-28",21.219999
"60","2007-03-29",21.059999
"61","2007-03-30",21.24
"62","2007-04-02",21.129999
"63","2007-04-03",21.35
"64","2007-04-04",20.959999
"65","2007-04-05",21.02
"66","2007-04-09",20.950001
"67","2007-04-10",20.9
"68","2007-04-11",20.74
"69","2007-04-12",20.77
"70","2007-04-13",20.76
"71","2007-04-16",21.16
"72","2007-04-17",21.34
"73","2007-04-18",21.530001
"74","2007-04-19",21.52
"75","2007-04-20",22
"76","2007-04-23",21.860001
"77","2007-04-24",21.620001
"78","2007-04-25",21.82
"79","2007-04-26",21.610001
"80","2007-04-27",21.23
"81","2007-04-30",20.440001
"82","2007-05-01",20.51
"83","2007-05-02",20.809999
"84","2007-05-03",20.82
"85","2007-05-04",20.83
"86","2007-05-07",20.83
"87","2007-05-08",20.780001
"88","2007-05-09",21.07
"89","2007-05-10",20.870001
"90","2007-05-11",20.959999
"91","2007-05-14",20.780001
"92","2007-05-15",20.889999
"93","2007-05-16",20.969999
"94","2007-05-17",21.08
"95","2007-05-18",21.629999
"96","2007-05-21",21.360001
"97","2007-05-22",21.57
"98","2007-05-23",21.559999
"99","2007-05-24",21.450001
"100","2007-05-25",21.700001
"101","2007-05-29",21.629999
"102","2007-05-30",21.85
"103","2007-05-31",22.120001
"104","2007-06-01",22.49
"105","2007-06-04",22.540001
"106","2007-06-05",22.49
"107","2007-06-06",22.469999
"108","2007-06-07",22.01
"109","2007-06-08",22.23
"110","2007-06-11",22.379999
"111","2007-06-12",22.27
"112","2007-06-13",22.57
"113","2007-06-14",22.469999
"114","2007-06-15",22.549999
"115","2007-06-18",22.52
"116","2007-06-19",22.59
"117","2007-06-20",22.559999
"118","2007-06-21",22.809999
"119","2007-06-22",22.5
"120","2007-06-25",22.549999
"121","2007-06-26",22.280001
"122","2007-06-27",22.41
"123","2007-06-28",22.540001
"124","2007-06-29",22.440001
"125","2007-07-02",22.59
"126","2007-07-03",22.68
"127","2007-07-05",22.52
"128","2007-07-06",22.450001
"129","2007-07-09",22.43
"130","2007-07-10",22.049999
"131","2007-07-11",22.219999
"132","2007-07-12",22.43
"133","2007-07-13",21.889999
"134","2007-07-16",21.84
"135","2007-07-17",21.879999
"136","2007-07-18",21.67
"137","2007-07-19",21.75
"138","2007-07-20",21.4
"139","2007-07-23",21.290001
"140","2007-07-24",20.75
"141","2007-07-25",20.67
"142","2007-07-26",20.040001
"143","2007-07-27",19.209999
"144","2007-07-30",19.290001
"145","2007-07-31",19.48
"146","2007-08-01",19.440001
"147","2007-08-02",19.440001
"148","2007-08-03",18.790001
"149","2007-08-06",19.41
"150","2007-08-07",19.889999
