"","date","ASRT"
"1","2007-01-03",3.5
"2","2007-01-04",3.72
"3","2007-01-05",3.61
"4","2007-01-08",3.77
"5","2007-01-09",3.77
"6","2007-01-10",3.92
"7","2007-01-11",4.01
"8","2007-01-12",4.1
"9","2007-01-16",4.04
"10","2007-01-17",3.93
"11","2007-01-18",3.77
"12","2007-01-19",3.83
"13","2007-01-22",3.61
"14","2007-01-23",3.7
"15","2007-01-24",3.53
"16","2007-01-25",3.4
"17","2007-01-26",3.34
"18","2007-01-29",3.37
"19","2007-01-30",3.52
"20","2007-01-31",3.54
"21","2007-02-01",3.59
"22","2007-02-02",3.58
"23","2007-02-05",3.51
"24","2007-02-06",3.46
"25","2007-02-07",3.46
"26","2007-02-08",3.61
"27","2007-02-09",3.64
"28","2007-02-12",3.73
"29","2007-02-13",3.79
"30","2007-02-14",3.63
"31","2007-02-15",3.51
"32","2007-02-16",3.68
"33","2007-02-20",3.64
"34","2007-02-21",3.57
"35","2007-02-22",3.63
"36","2007-02-23",3.99
"37","2007-02-26",3.73
"38","2007-02-27",3.52
"39","2007-02-28",3.47
"40","2007-03-01",3.44
"41","2007-03-02",3.31
"42","2007-03-05",3.21
"43","2007-03-06",3.35
"44","2007-03-07",3.24
"45","2007-03-08",3.26
"46","2007-03-09",3.29
"47","2007-03-12",3.3
"48","2007-03-13",3.26
"49","2007-03-14",3.22
"50","2007-03-15",3.61
"51","2007-03-16",3.52
"52","2007-03-19",3.46
"53","2007-03-20",3.5
"54","2007-03-21",3.59
"55","2007-03-22",3.8
"56","2007-03-23",3.69
"57","2007-03-26",3.69
"58","2007-03-27",3.6
"59","2007-03-28",3.58
"60","2007-03-29",3.59
"61","2007-03-30",3.57
"62","2007-04-02",3.49
"63","2007-04-03",3.62
"64","2007-04-04",3.65
"65","2007-04-05",3.62
"66","2007-04-09",3.79
"67","2007-04-10",3.78
"68","2007-04-11",3.86
"69","2007-04-12",4
"70","2007-04-13",3.98
"71","2007-04-16",3.95
"72","2007-04-17",4
"73","2007-04-18",3.88
"74","2007-04-19",3.89
"75","2007-04-20",3.95
"76","2007-04-23",3.98
"77","2007-04-24",3.9
"78","2007-04-25",3.9
"79","2007-04-26",3.89
"80","2007-04-27",3.96
"81","2007-04-30",3.44
"82","2007-05-01",3.63
"83","2007-05-02",3.52
"84","2007-05-03",3.56
"85","2007-05-04",3.5
"86","2007-05-07",3.58
"87","2007-05-08",3.49
"88","2007-05-09",3.68
"89","2007-05-10",3.47
"90","2007-05-11",3.67
"91","2007-05-14",3.91
"92","2007-05-15",3.8
"93","2007-05-16",3.85
"94","2007-05-17",3.95
"95","2007-05-18",4
"96","2007-05-21",4.07
"97","2007-05-22",4.41
"98","2007-05-23",4.63
"99","2007-05-24",4.68
"100","2007-05-25",4.42
"101","2007-05-29",4.39
"102","2007-05-30",4.39
"103","2007-05-31",4.37
"104","2007-06-01",4.19
"105","2007-06-04",4.25
"106","2007-06-05",4.16
"107","2007-06-06",4.08
"108","2007-06-07",4
"109","2007-06-08",4.3
"110","2007-06-11",4.37
"111","2007-06-12",4.31
"112","2007-06-13",4.46
"113","2007-06-14",5
"114","2007-06-15",4.92
"115","2007-06-18",5
"116","2007-06-19",5.01
"117","2007-06-20",4.93
"118","2007-06-21",4.92
"119","2007-06-22",4.77
"120","2007-06-25",4.8
"121","2007-06-26",4.72
"122","2007-06-27",4.73
"123","2007-06-28",4.75
"124","2007-06-29",4.77
"125","2007-07-02",4.82
"126","2007-07-03",4.92
"127","2007-07-05",4.85
"128","2007-07-06",4.94
"129","2007-07-09",4.93
"130","2007-07-10",2
"131","2007-07-11",2.41
"132","2007-07-12",2.37
"133","2007-07-13",2.2
"134","2007-07-16",2.12
"135","2007-07-17",2.16
"136","2007-07-18",2.24
"137","2007-07-19",2.28
"138","2007-07-20",2.34
"139","2007-07-23",2.52
"140","2007-07-24",2.36
"141","2007-07-25",2.4
"142","2007-07-26",2.3
"143","2007-07-27",2.23
"144","2007-07-30",2.18
"145","2007-07-31",2.29
"146","2007-08-01",2.14
"147","2007-08-02",2.18
"148","2007-08-03",2.19
"149","2007-08-06",2.26
"150","2007-08-07",2.19
"151","2007-08-08",2.35
"152","2007-08-09",2.23
"153","2007-08-10",2.2
"154","2007-08-13",2.07
"155","2007-08-14",2.05
"156","2007-08-15",2.06
"157","2007-08-16",2.02
"158","2007-08-17",2.02
"159","2007-08-20",2.03
"160","2007-08-21",1.99
"161","2007-08-22",1.99
"162","2007-08-23",1.97
"163","2007-08-24",1.98
