"","date","PRS"
"1","2018-08-22",24.98
"2","2018-08-23",24.940001
"3","2018-08-24",24.969999
"4","2018-08-27",24.98
"5","2018-08-28",24.99
"6","2018-08-29",25.030001
"7","2018-08-30",25.030001
"8","2018-08-31",25.1
"9","2018-09-04",25.01
"10","2018-09-05",24.98
"11","2018-09-06",24.969999
"12","2018-09-07",24.889999
"13","2018-09-10",24.969999
"14","2018-09-11",24.940001
"15","2018-09-12",24.870001
"16","2018-09-13",24.889999
"17","2018-09-14",24.83
"18","2018-09-17",24.77
"19","2018-09-18",24.719999
"20","2018-09-19",24.690001
"21","2018-09-20",24.67
"22","2018-09-21",24.709999
"23","2018-09-24",24.719999
"24","2018-09-25",24.65
"25","2018-09-26",24.74
"26","2018-09-27",24.73
"27","2018-09-28",24.77
"28","2018-10-01",24.68
"29","2018-10-02",24.66
"30","2018-10-03",24.51
"31","2018-10-04",24.299999
"32","2018-10-05",24.1
"33","2018-10-08",24.07
"34","2018-10-09",24.17
"35","2018-10-10",24.09
"36","2018-10-11",24.07
"37","2018-10-12",24.23
"38","2018-10-15",24.209999
"39","2018-10-16",24.35
"40","2018-10-17",24.35
"41","2018-10-18",24.32
"42","2018-10-19",24.35
"43","2018-10-22",24.459999
"44","2018-10-23",24.360001
"45","2018-10-24",24.370001
"46","2018-10-25",24.469999
"47","2018-10-26",24.469999
"48","2018-10-29",24.540001
"49","2018-10-30",24.52
"50","2018-10-31",24.110001
"51","2018-11-01",24.129999
"52","2018-11-02",24.120001
"53","2018-11-05",24.139999
"54","2018-11-06",24.190001
"55","2018-11-07",24.280001
"56","2018-11-08",24.42
"57","2018-11-09",24.379999
"58","2018-11-12",24.49
"59","2018-11-13",24.52
"60","2018-11-14",24.450001
"61","2018-11-15",24.360001
"62","2018-11-16",24.389999
"63","2018-11-19",24.209999
"64","2018-11-20",24.01
"65","2018-11-21",24.110001
"66","2018-11-23",24.08
"67","2018-11-26",24.1
"68","2018-11-27",24.1
"69","2018-11-28",24.040001
"70","2018-11-29",23.809999
"71","2018-11-30",23.68
"72","2018-12-03",23.73
"73","2018-12-04",23.6
"74","2018-12-06",23.5
"75","2018-12-07",23.74
"76","2018-12-10",23.52
"77","2018-12-11",23.65
"78","2018-12-12",23.790001
"79","2018-12-13",23.860001
"80","2018-12-14",23.85
"81","2018-12-17",23.76
"82","2018-12-18",23.83
"83","2018-12-19",23.709999
"84","2018-12-20",23.389999
"85","2018-12-21",23.43
"86","2018-12-24",23.32
"87","2018-12-26",23.299999
"88","2018-12-27",22.93
"89","2018-12-28",23.02
"90","2018-12-31",23.639999
"91","2019-01-02",24.15
"92","2019-01-03",24.35
"93","2019-01-04",24.459999
"94","2019-01-07",24.620001
"95","2019-01-08",24.65
"96","2019-01-09",24.719999
"97","2019-01-10",24.709999
"98","2019-01-11",24.57
"99","2019-01-14",24.6
"100","2019-01-15",24.530001
"101","2019-01-16",24.360001
"102","2019-01-17",24.780001
"103","2019-01-18",24.84
"104","2019-01-22",24.67
"105","2019-01-23",24.719999
"106","2019-01-24",24.51
"107","2019-01-25",24.629999
"108","2019-01-28",24.799999
"109","2019-01-29",24.870001
"110","2019-01-30",24.99
"111","2019-01-31",25.1
"112","2019-02-01",24.85
"113","2019-02-04",24.98
"114","2019-02-05",24.99
"115","2019-02-06",24.860001
"116","2019-02-07",24.65
"117","2019-02-08",24.799999
"118","2019-02-11",24.92
"119","2019-02-12",24.99
"120","2019-02-13",24.9
