"","date","MRAM"
"1","2016-10-07",8.02
"2","2016-10-10",8
"3","2016-10-11",7.5
"4","2016-10-12",7.5
"5","2016-10-13",6.78
"6","2016-10-14",6.5
"7","2016-10-17",6.69
"8","2016-10-18",6.62
"9","2016-10-19",6.56
"10","2016-10-20",6.61
"11","2016-10-21",6.5
"12","2016-10-24",6.46
"13","2016-10-25",6.33
"14","2016-10-26",7.36
"15","2016-10-27",7.5
"16","2016-10-28",6.82
"17","2016-10-31",6.66
"18","2016-11-01",7.25
"19","2016-11-02",6.98
"20","2016-11-03",6.59
"21","2016-11-04",6.87
"22","2016-11-07",6.84
"23","2016-11-08",7.04
"24","2016-11-09",6.92
"25","2016-11-10",7.03
"26","2016-11-11",6.8
"27","2016-11-14",6.93
"28","2016-11-15",6.91
"29","2016-11-16",6.96
"30","2016-11-17",6.86
"31","2016-11-18",7.2
"32","2016-11-21",7.22
"33","2016-11-22",7.23
"34","2016-11-23",7.07
"35","2016-11-25",7.29
"36","2016-11-28",7.23
"37","2016-11-29",7.33
"38","2016-11-30",7.34
"39","2016-12-01",7.5
"40","2016-12-02",7.37
"41","2016-12-05",7.39
"42","2016-12-06",7.3
"43","2016-12-07",7.35
"44","2016-12-08",7.35
"45","2016-12-09",7.34
"46","2016-12-12",7.44
"47","2016-12-13",7.44
"48","2016-12-14",7.25
"49","2016-12-15",7.17
"50","2016-12-16",6.63
"51","2016-12-19",6.91
"52","2016-12-20",7.09
"53","2016-12-21",7.07
"54","2016-12-22",7.35
"55","2016-12-23",7.33
"56","2016-12-27",7.29
"57","2016-12-28",7.28
"58","2016-12-29",7.38
"59","2016-12-30",8.29
"60","2017-01-03",7.63
"61","2017-01-04",7.61
"62","2017-01-05",7.58
"63","2017-01-06",7.66
"64","2017-01-09",8
"65","2017-01-10",7.775
"66","2017-01-11",8.41
"67","2017-01-12",8.03
"68","2017-01-13",8.05
"69","2017-01-17",8.11
"70","2017-01-18",8.26
"71","2017-01-19",8.24
"72","2017-01-20",8.32
"73","2017-01-23",8.25
"74","2017-01-24",8.03
"75","2017-01-25",8.18
"76","2017-01-26",8.26
"77","2017-01-27",8.24
"78","2017-01-30",8.24
"79","2017-01-31",8.11
"80","2017-02-01",7.99
"81","2017-02-02",7.97
"82","2017-02-03",8.05
"83","2017-02-06",8.01
"84","2017-02-07",8
"85","2017-02-08",7.92
"86","2017-02-09",7.85
"87","2017-02-10",7.99
"88","2017-02-13",7.95
"89","2017-02-14",8.7
"90","2017-02-15",9.09
"91","2017-02-16",9.04
"92","2017-02-17",9.33
"93","2017-02-21",9.99
"94","2017-02-22",10.13
"95","2017-02-23",9.91
"96","2017-02-24",10.15
"97","2017-02-27",9.87
"98","2017-02-28",10.03
"99","2017-03-01",9.78
"100","2017-03-02",10.03
"101","2017-03-03",9.01
"102","2017-03-06",8.99
"103","2017-03-07",9
"104","2017-03-08",8.95
"105","2017-03-09",8.79
"106","2017-03-10",8.51
"107","2017-03-13",8.5
"108","2017-03-14",8.3
"109","2017-03-15",7.56
"110","2017-03-16",8.04
"111","2017-03-17",8.09
"112","2017-03-20",8.03
"113","2017-03-21",7.5
"114","2017-03-22",7.73
"115","2017-03-23",7.8
"116","2017-03-24",7.88
"117","2017-03-27",7.65
"118","2017-03-28",7.7
"119","2017-03-29",7.82
"120","2017-03-30",7.93
"121","2017-03-31",8.38
"122","2017-04-03",8.31
"123","2017-04-04",8.15
"124","2017-04-05",7.95
"125","2017-04-06",8.89
"126","2017-04-07",8.7
"127","2017-04-10",8.5
"128","2017-04-11",8.38
"129","2017-04-12",8.59
"130","2017-04-13",8.46
"131","2017-04-17",8.741
"132","2017-04-18",8.68
"133","2017-04-19",9.16
"134","2017-04-20",9.27
"135","2017-04-21",9.15
"136","2017-04-24",9.29
"137","2017-04-25",9.41
"138","2017-04-26",9.74
"139","2017-04-27",9.3
"140","2017-04-28",10
"141","2017-05-01",10.02
"142","2017-05-02",9.63
"143","2017-05-03",9.34
"144","2017-05-04",9.31
"145","2017-05-05",9.21
"146","2017-05-08",9.44
"147","2017-05-09",9.5
"148","2017-05-10",9.4
"149","2017-05-11",9.11
"150","2017-05-12",10.06
"151","2017-05-15",10.16
"152","2017-05-16",10.29
"153","2017-05-17",9.34
"154","2017-05-18",9.85
"155","2017-05-19",9.9
"156","2017-05-22",11.08
"157","2017-05-23",12.49
"158","2017-05-24",13.2
"159","2017-05-25",12.97
"160","2017-05-26",13.02
"161","2017-05-30",14.57
"162","2017-05-31",17.98
"163","2017-06-01",17.85
"164","2017-06-02",16.639999
"165","2017-06-05",16.32
"166","2017-06-06",15.96
"167","2017-06-07",15.33
"168","2017-06-08",18.030001
"169","2017-06-09",18.219999
"170","2017-06-12",17.76
"171","2017-06-13",18.59
"172","2017-06-14",17.74
"173","2017-06-15",17.43
"174","2017-06-16",18.809999
"175","2017-06-19",20
"176","2017-06-20",21.9
"177","2017-06-21",22.549999
"178","2017-06-22",21.98
"179","2017-06-23",21.379999
"180","2017-06-26",21.65
"181","2017-06-27",21.200001
"182","2017-06-28",21.889999
"183","2017-06-29",20.530001
"184","2017-06-30",19.98
"185","2017-07-03",21.18
"186","2017-07-05",23.110001
"187","2017-07-06",22.35
"188","2017-07-07",22.16
"189","2017-07-10",24.01
"190","2017-07-11",23.98
"191","2017-07-12",23.07
"192","2017-07-13",23.940001
"193","2017-07-14",23.82
"194","2017-07-17",24.879999
"195","2017-07-18",23.360001
"196","2017-07-19",21.91
"197","2017-07-20",20.67
"198","2017-07-21",21.16
"199","2017-07-24",18.469999
"200","2017-07-25",18.309999
"201","2017-07-26",20.84
"202","2017-07-27",19.809999
"203","2017-07-28",21.280001
"204","2017-07-31",19.440001
"205","2017-08-01",19.32
"206","2017-08-02",18.52
"207","2017-08-03",17.889999
"208","2017-08-04",17.6
"209","2017-08-07",17.76
"210","2017-08-08",18.639999
"211","2017-08-09",17.98
"212","2017-08-10",15.23
"213","2017-08-11",14.48
"214","2017-08-14",15.3
"215","2017-08-15",14.75
"216","2017-08-16",15.11
"217","2017-08-17",14.7
"218","2017-08-18",15.57
"219","2017-08-21",14.92
"220","2017-08-22",15.22
"221","2017-08-23",16.91
"222","2017-08-24",16.459999
"223","2017-08-25",15.17
"224","2017-08-28",15.4
"225","2017-08-29",15.41
"226","2017-08-30",15.59
"227","2017-08-31",16.299999
"228","2017-09-01",16.25
"229","2017-09-05",16.02
"230","2017-09-06",15.82
"231","2017-09-07",16.01
"232","2017-09-08",15.89
"233","2017-09-11",15.84
"234","2017-09-12",16.52
"235","2017-09-13",16.030001
"236","2017-09-14",16
"237","2017-09-15",16.950001
"238","2017-09-18",17.120001
"239","2017-09-19",17.709999
"240","2017-09-20",18.58
"241","2017-09-21",17.615
"242","2017-09-22",16.65
"243","2017-09-25",15.98
"244","2017-09-26",15.92
"245","2017-09-27",16.389999
"246","2017-09-28",17
"247","2017-09-29",17.09
"248","2017-10-02",15.51
"249","2017-10-03",15.92
"250","2017-10-04",15.65
"251","2017-10-05",15.33
"252","2017-10-06",13.37
"253","2017-10-09",12.66
"254","2017-10-10",11.72
"255","2017-10-11",12.6
"256","2017-10-12",12.52
"257","2017-10-13",11.7
"258","2017-10-16",11.31
"259","2017-10-17",10.87
"260","2017-10-18",10.81
"261","2017-10-19",10.8
"262","2017-10-20",11.17
"263","2017-10-23",11.15
"264","2017-10-24",11.78
"265","2017-10-25",10.92
"266","2017-10-26",10.53
"267","2017-10-27",10.62
"268","2017-10-30",10.35
"269","2017-10-31",10.29
"270","2017-11-01",9.49
"271","2017-11-02",8.3
"272","2017-11-03",8.12
"273","2017-11-06",8.49
"274","2017-11-07",8.89
"275","2017-11-08",9.36
"276","2017-11-09",8.9
"277","2017-11-10",9.15
"278","2017-11-13",9.62
"279","2017-11-14",8.26
"280","2017-11-15",7.8
"281","2017-11-16",7.65
"282","2017-11-17",7.98
"283","2017-11-20",8.2
"284","2017-11-21",9.02
"285","2017-11-22",8.76
"286","2017-11-24",8.82
"287","2017-11-27",8.4
"288","2017-11-28",8.31
"289","2017-11-29",7.86
"290","2017-11-30",8.04
"291","2017-12-01",7.74
"292","2017-12-04",7.6
"293","2017-12-05",7.61
"294","2017-12-06",7.49
