"","date","LIVX"
"1","2017-08-18",90
"2","2017-08-21",90
"3","2017-08-22",90
"4","2017-08-23",90
"5","2017-08-24",90
"6","2017-08-25",90
"7","2017-08-28",90
"8","2017-08-29",90
"9","2017-08-30",90
"10","2017-08-31",90
"11","2017-09-01",90
"12","2017-09-05",90
"13","2017-09-06",90
"14","2017-09-07",90
"15","2017-09-08",90
"16","2017-09-11",90
"17","2017-09-12",90
"18","2017-09-13",90
"19","2017-09-14",90
"20","2017-09-15",90
"21","2017-09-18",90
"22","2017-09-19",90
"23","2017-09-20",90
"24","2017-09-21",90
"25","2017-09-22",90
"26","2017-09-25",90
"27","2017-09-26",90
"28","2017-09-27",90
"29","2017-09-28",90
"30","2017-09-29",90
"31","2017-10-02",90
"32","2017-10-03",90
"33","2017-10-04",90
"34","2017-10-05",90
"35","2017-10-06",90
"36","2017-10-09",90
"37","2017-10-10",90
"38","2017-10-11",90
"39","2017-10-12",90
"40","2017-10-13",90
"41","2017-10-16",90
"42","2017-10-17",90
"43","2017-10-18",90
"44","2017-10-19",90
"45","2017-10-20",90
"46","2017-10-23",90
"47","2017-10-24",90
"48","2017-10-25",90
"49","2017-10-26",90
"50","2017-10-27",90
"51","2017-10-30",90
"52","2017-10-31",90
"53","2017-11-01",30
"54","2017-11-02",30
"55","2017-11-03",30
"56","2017-11-06",30
"57","2017-11-07",30
"58","2017-11-08",30
"59","2017-11-09",30
"60","2017-11-10",30
"61","2017-11-13",30
"62","2017-11-14",30
"63","2017-11-15",30
"64","2017-11-16",30
"65","2017-11-17",30
"66","2017-11-20",30
"67","2017-11-21",30
"68","2017-11-22",30
"69","2017-11-24",30
"70","2017-11-27",30
"71","2017-11-28",30
"72","2017-11-29",30
"73","2017-11-30",30
"74","2017-12-01",30
"75","2017-12-04",30
"76","2017-12-05",30
"77","2017-12-06",30
"78","2017-12-07",30
"79","2017-12-08",30
"80","2017-12-11",30
"81","2017-12-12",30
"82","2017-12-13",30
"83","2017-12-14",7
"84","2017-12-15",7.25
"85","2017-12-18",7.5
"86","2017-12-19",7
"87","2017-12-20",7
"88","2017-12-21",7
"89","2017-12-22",4
"90","2017-12-26",4.1
"91","2017-12-27",4
"92","2017-12-28",4.4
"93","2017-12-29",4.4
"94","2018-01-02",4.2
"95","2018-01-03",4
"96","2018-01-04",4
"97","2018-01-05",4
"98","2018-01-08",4.15
"99","2018-01-09",4.2
"100","2018-01-10",4.2
"101","2018-01-11",4.05
"102","2018-01-12",4.24
"103","2018-01-16",4.05
"104","2018-01-17",4.1
"105","2018-01-18",4.05
"106","2018-01-19",4.239
"107","2018-01-22",4.05
"108","2018-01-23",4.1
"109","2018-01-24",4
"110","2018-01-25",4
"111","2018-01-26",4
"112","2018-01-29",4
"113","2018-01-30",4
"114","2018-01-31",4
"115","2018-02-01",4.05
"116","2018-02-02",4
"117","2018-02-05",4.08
"118","2018-02-06",3.86
"119","2018-02-07",3.98
"120","2018-02-08",3.98
"121","2018-02-09",3.98
"122","2018-02-12",4
"123","2018-02-13",3.95
"124","2018-02-14",3.9
"125","2018-02-15",3.9
"126","2018-02-16",4.05
"127","2018-02-20",4.05
"128","2018-02-21",4.05
"129","2018-02-22",3.825
"130","2018-02-23",4
"131","2018-02-26",3.97
"132","2018-02-27",4.08
"133","2018-02-28",4
"134","2018-03-01",4.04
"135","2018-03-02",4.02
"136","2018-03-05",4.01
"137","2018-03-06",4.18
"138","2018-03-07",3.89
"139","2018-03-08",3.95
"140","2018-03-09",3.9
"141","2018-03-12",3.87
"142","2018-03-13",4
"143","2018-03-14",4
"144","2018-03-15",3.9
"145","2018-03-16",3.86
"146","2018-03-19",4
"147","2018-03-20",3.88
"148","2018-03-21",3.46
"149","2018-03-22",3.97
"150","2018-03-23",3.95
"151","2018-03-26",3.9
"152","2018-03-27",3.9
"153","2018-03-28",3.85
"154","2018-03-29",3.8
"155","2018-04-02",3.75
"156","2018-04-03",3.9
"157","2018-04-04",3.86
"158","2018-04-05",3.75
"159","2018-04-06",3.82
"160","2018-04-09",3.82
"161","2018-04-10",3.72
"162","2018-04-11",3.7
"163","2018-04-12",3.77
"164","2018-04-13",3.82
"165","2018-04-16",3.83
