"","date","BPTH"
"1","2008-03-04",180
"2","2008-03-05",104
"3","2008-03-06",104
"4","2008-03-07",180
"5","2008-03-10",180
"6","2008-03-11",180
"7","2008-03-12",180
"8","2008-03-13",180
"9","2008-03-14",180
"10","2008-03-17",180
"11","2008-03-18",180
"12","2008-03-19",180
"13","2008-03-20",180
"14","2008-03-24",180
"15","2008-03-25",180
"16","2008-03-26",180
"17","2008-03-27",180
"18","2008-03-28",180
"19","2008-03-31",180
"20","2008-04-01",180
"21","2008-04-02",180
"22","2008-04-03",180
"23","2008-04-04",180
"24","2008-04-07",180
"25","2008-04-08",180
"26","2008-04-09",180
"27","2008-04-10",180
"28","2008-04-11",180
"29","2008-04-14",180
"30","2008-04-15",180
"31","2008-04-16",180
"32","2008-04-17",180
"33","2008-04-18",180
"34","2008-04-21",180
"35","2008-04-22",180
"36","2008-04-23",180
"37","2008-04-24",180
"38","2008-04-25",180
"39","2008-04-28",202
"40","2008-04-29",202
"41","2008-04-30",202
"42","2008-05-01",202
"43","2008-05-02",202
"44","2008-05-05",210
"45","2008-05-06",250
"46","2008-05-07",420
"47","2008-05-08",550
"48","2008-05-09",650
"49","2008-05-12",850
"50","2008-05-13",1148
"51","2008-05-14",900
"52","2008-05-15",780
"53","2008-05-16",1000
"54","2008-05-19",1000
"55","2008-05-20",1000
"56","2008-05-21",700
"57","2008-05-22",800
"58","2008-05-23",850
"59","2008-05-27",850
"60","2008-05-28",800
"61","2008-05-29",800
"62","2008-05-30",800
"63","2008-06-02",800
"64","2008-06-03",800
"65","2008-06-04",800
"66","2008-06-05",700
"67","2008-06-06",700
"68","2008-06-09",650
"69","2008-06-10",650
"70","2008-06-11",650
"71","2008-06-12",630
"72","2008-06-13",630
"73","2008-06-16",650
"74","2008-06-17",550
"75","2008-06-18",550
"76","2008-06-19",600
"77","2008-06-20",552
"78","2008-06-23",552
"79","2008-06-24",552
"80","2008-06-25",520
"81","2008-06-26",480
"82","2008-06-27",480
"83","2008-06-30",480
"84","2008-07-01",520
"85","2008-07-02",520
"86","2008-07-03",520
"87","2008-07-07",500
"88","2008-07-08",500
"89","2008-07-09",500
"90","2008-07-10",500
"91","2008-07-11",460
"92","2008-07-14",460
"93","2008-07-15",460
"94","2008-07-16",452
"95","2008-07-17",452
"96","2008-07-18",452
"97","2008-07-21",450
"98","2008-07-22",450
"99","2008-07-23",450
"100","2008-07-24",400
"101","2008-07-25",400
"102","2008-07-28",400
"103","2008-07-29",400
"104","2008-07-30",400
"105","2008-07-31",360
"106","2008-08-01",360
"107","2008-08-04",400
"108","2008-08-05",400
"109","2008-08-06",400
"110","2008-08-07",400
"111","2008-08-08",400
"112","2008-08-11",420
"113","2008-08-12",420
"114","2008-08-13",420
"115","2008-08-14",340
"116","2008-08-15",340
"117","2008-08-18",340
"118","2008-08-19",340
"119","2008-08-20",360
"120","2008-08-21",360
"121","2008-08-22",360
"122","2008-08-25",360
"123","2008-08-26",360
"124","2008-08-27",350
"125","2008-08-28",340
"126","2008-08-29",340
"127","2008-09-02",340
"128","2008-09-03",340
"129","2008-09-04",420
"130","2008-09-05",340
"131","2008-09-08",340
"132","2008-09-09",340
"133","2008-09-10",330
"134","2008-09-11",400
"135","2008-09-12",400
"136","2008-09-15",400
"137","2008-09-16",400
"138","2008-09-17",400
"139","2008-09-18",400
"140","2008-09-19",400
"141","2008-09-22",260
"142","2008-09-23",340
"143","2008-09-24",300
"144","2008-09-25",280
"145","2008-09-26",330
"146","2008-09-29",280
"147","2008-09-30",280
"148","2008-10-01",280
"149","2008-10-02",280
"150","2008-10-03",280
"151","2008-10-06",280
"152","2008-10-07",280
"153","2008-10-08",280
"154","2008-10-09",280
"155","2008-10-10",280
"156","2008-10-13",280
"157","2008-10-14",240
"158","2008-10-15",240
"159","2008-10-16",240
"160","2008-10-17",240
"161","2008-10-20",240
"162","2008-10-21",240
"163","2008-10-22",240
"164","2008-10-23",240
"165","2008-10-24",240
"166","2008-10-27",240
"167","2008-10-28",240
"168","2008-10-29",240
"169","2008-10-30",240
"170","2008-10-31",240
"171","2008-11-03",240
