"","date","LQDA"
"1","2018-07-26",11.1
"2","2018-07-27",10.99
"3","2018-07-30",11
"4","2018-07-31",10.96
"5","2018-08-01",11
"6","2018-08-02",11.1
"7","2018-08-03",10.98
"8","2018-08-06",11.59
"9","2018-08-07",11.37
"10","2018-08-08",11.8
"11","2018-08-09",12.94
"12","2018-08-10",13.12
"13","2018-08-13",13.4
"14","2018-08-14",14.83
"15","2018-08-15",14.4
"16","2018-08-16",14
"17","2018-08-17",14.9
"18","2018-08-20",16.35
"19","2018-08-21",16.24
"20","2018-08-22",16.790001
"21","2018-08-23",16.48
"22","2018-08-24",16.77
"23","2018-08-27",15.88
"24","2018-08-28",15.7
"25","2018-08-29",15.92
"26","2018-08-30",15.37
"27","2018-08-31",15.34
"28","2018-09-04",17.389999
"29","2018-09-05",17.58
"30","2018-09-06",16.82
"31","2018-09-07",17.15
"32","2018-09-10",18.969999
"33","2018-09-11",19.58
"34","2018-09-12",19.25
"35","2018-09-13",19.459999
"36","2018-09-14",18.370001
"37","2018-09-17",19.360001
"38","2018-09-18",19.57
"39","2018-09-19",18.5
"40","2018-09-20",18.879999
"41","2018-09-21",19.93
"42","2018-09-24",20.559999
"43","2018-09-25",22.690001
"44","2018-09-26",25.120001
"45","2018-09-27",28.9
"46","2018-09-28",27.43
"47","2018-10-01",26.58
"48","2018-10-02",30
"49","2018-10-03",33.91
"50","2018-10-04",32.959999
"51","2018-10-05",31.209999
"52","2018-10-08",30.959999
"53","2018-10-09",37.18
"54","2018-10-10",34.009998
"55","2018-10-11",32.189999
"56","2018-10-12",28.870001
"57","2018-10-15",28.299999
"58","2018-10-16",28.84
"59","2018-10-17",28.01
"60","2018-10-18",27.5
"61","2018-10-19",26.98
"62","2018-10-22",24.549999
"63","2018-10-23",22.629999
"64","2018-10-24",22.120001
"65","2018-10-25",19.190001
"66","2018-10-26",20.700001
"67","2018-10-29",19.459999
"68","2018-10-30",18.73
"69","2018-10-31",16.379999
"70","2018-11-01",17.01
"71","2018-11-02",19.6
"72","2018-11-05",18.49
"73","2018-11-06",18.700001
"74","2018-11-07",18.700001
"75","2018-11-08",18.23
"76","2018-11-09",19.08
"77","2018-11-12",18.68
"78","2018-11-13",19.32
"79","2018-11-14",22.15
"80","2018-11-15",22.58
"81","2018-11-16",22.280001
"82","2018-11-19",21.610001
"83","2018-11-20",21
"84","2018-11-21",19.51
"85","2018-11-23",19.940001
"86","2018-11-26",21.27
"87","2018-11-27",20.91
"88","2018-11-28",22.790001
"89","2018-11-29",22.309999
"90","2018-11-30",22.360001
"91","2018-12-03",24.450001
"92","2018-12-04",24.59
"93","2018-12-06",21.790001
"94","2018-12-07",20.959999
"95","2018-12-10",22.32
"96","2018-12-11",22.139999
"97","2018-12-12",21.469999
"98","2018-12-13",21.450001
"99","2018-12-14",21.360001
"100","2018-12-17",20.51
"101","2018-12-18",21.950001
"102","2018-12-19",21.709999
"103","2018-12-20",20.26
"104","2018-12-21",21.200001
"105","2018-12-24",22.610001
"106","2018-12-26",27.440001
"107","2018-12-27",24.799999
