"","date","ADUS"
"1","2009-10-28",8.49
"2","2009-10-29",9
"3","2009-10-30",9.15
"4","2009-11-02",8.64
"5","2009-11-03",8.47
"6","2009-11-04",8.4
"7","2009-11-05",8.4
"8","2009-11-06",8.51
"9","2009-11-09",8.41
"10","2009-11-10",7.99
"11","2009-11-11",7.95
"12","2009-11-12",8.4
"13","2009-11-13",8.03
"14","2009-11-16",8.03
"15","2009-11-17",7.7
"16","2009-11-18",7.85
"17","2009-11-19",8.06
"18","2009-11-20",8
"19","2009-11-23",8.15
"20","2009-11-24",8.16
"21","2009-11-25",8.14
"22","2009-11-27",8.03
"23","2009-11-30",8.25
"24","2009-12-01",8.34
"25","2009-12-02",8.06
"26","2009-12-03",8.1
"27","2009-12-04",8.31
"28","2009-12-07",8.22
"29","2009-12-08",8.35
"30","2009-12-09",8.2
"31","2009-12-10",8.3
"32","2009-12-11",8.26
"33","2009-12-14",8.35
"34","2009-12-15",8.55
"35","2009-12-16",8.57
"36","2009-12-17",8.55
"37","2009-12-18",8
"38","2009-12-21",8.09
"39","2009-12-22",8.46
"40","2009-12-23",8.61
"41","2009-12-24",8.73
"42","2009-12-28",9.1
"43","2009-12-29",9.01
"44","2009-12-30",9.01
"45","2009-12-31",9.2
"46","2010-01-04",9.32
"47","2010-01-05",9.04
"48","2010-01-06",9.31
"49","2010-01-07",9.51
"50","2010-01-08",9.47
"51","2010-01-11",9.5
"52","2010-01-12",9.24
"53","2010-01-13",9.32
"54","2010-01-14",9.09
"55","2010-01-15",9.31
"56","2010-01-19",9.72
"57","2010-01-20",9.63
"58","2010-01-21",9.57
"59","2010-01-22",8.76
"60","2010-01-25",8.87
"61","2010-01-26",9
"62","2010-01-27",8.76
"63","2010-01-28",8.82
"64","2010-01-29",8.82
"65","2010-02-01",8.78
"66","2010-02-02",8.59
"67","2010-02-03",8.5
"68","2010-02-04",8.43
"69","2010-02-05",8.38
"70","2010-02-08",8.63
"71","2010-02-09",8.31
"72","2010-02-10",8.23
"73","2010-02-11",8.4
"74","2010-02-12",8.44
"75","2010-02-16",8.75
"76","2010-02-17",8.71
"77","2010-02-18",8.45
"78","2010-02-19",8.4
"79","2010-02-22",8.15
"80","2010-02-23",8.1
"81","2010-02-24",8
"82","2010-02-25",8.01
"83","2010-02-26",7.9
"84","2010-03-01",8.02
"85","2010-03-02",8
"86","2010-03-03",8.07
"87","2010-03-04",8
"88","2010-03-05",8
"89","2010-03-08",8.1
"90","2010-03-09",8.04
"91","2010-03-10",7.95
"92","2010-03-11",7.96
"93","2010-03-12",8.2
"94","2010-03-15",8.34
"95","2010-03-16",8.37
"96","2010-03-17",8.5
"97","2010-03-18",8.9
"98","2010-03-19",6.3
"99","2010-03-22",6.4
"100","2010-03-23",6.34
"101","2010-03-24",6.37
"102","2010-03-25",6.3
"103","2010-03-26",6.2
"104","2010-03-29",5.94
"105","2010-03-30",5.77
"106","2010-03-31",6.04
"107","2010-04-01",5.62
"108","2010-04-05",5.53
"109","2010-04-06",5.7
"110","2010-04-07",5.73
"111","2010-04-08",5.85
"112","2010-04-09",5.87
"113","2010-04-12",5.85
"114","2010-04-13",5.9
"115","2010-04-14",5.89
"116","2010-04-15",5.72
"117","2010-04-16",5.56
"118","2010-04-19",5.6
"119","2010-04-20",5.66
"120","2010-04-21",5.55
"121","2010-04-22",5.61
"122","2010-04-23",5.57
"123","2010-04-26",5.5
"124","2010-04-27",5
"125","2010-04-28",4.77
"126","2010-04-29",4.9
"127","2010-04-30",4.84
"128","2010-05-03",4.95
"129","2010-05-04",4.85
"130","2010-05-05",4.94
"131","2010-05-06",5.15
"132","2010-05-07",5.27
"133","2010-05-10",5.25
"134","2010-05-11",5.46
"135","2010-05-12",5.55
"136","2010-05-13",5.83
"137","2010-05-14",6
"138","2010-05-17",5.98
"139","2010-05-18",6.08
"140","2010-05-19",6.05
"141","2010-05-20",6.08
"142","2010-05-21",6.05
"143","2010-05-24",6.08
"144","2010-05-25",6.17
"145","2010-05-26",6.23
"146","2010-05-27",6.26
"147","2010-05-28",6.18
"148","2010-06-01",6.05
"149","2010-06-02",6.1
"150","2010-06-03",6.1
"151","2010-06-04",6.05
"152","2010-06-07",6
"153","2010-06-08",6.01
"154","2010-06-09",5.74
"155","2010-06-10",5.76
"156","2010-06-11",5.84
"157","2010-06-14",5.78
"158","2010-06-15",5.67
"159","2010-06-16",5.53
"160","2010-06-17",5.64
"161","2010-06-18",5.92
"162","2010-06-21",5.83
"163","2010-06-22",5.83
